link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/33172592/,Update in COVID-19 in the intensive care unit from the 2020 HELLENIC Athens International symposium,"The 2020 International Web Scientific Event in COVID-19 pandemic in critically ill patients aimed at updating the information and knowledge on the COVID-19 pandemic in the intensive care unit. Experts reviewed the latest literature relating to the COVID-19 pandemic in critically ill patients, such as epidemiology, pathophysiology, phenotypes of infection, COVID-19 as a systematic infection, molecular diagnosis, mechanical ventilation, thromboprophylaxis, COVID-19 associated co-infections, immunotherapy, plasma treatment, catheter-related bloodstream infections, artificial intelligence for COVID-19, and vaccination. Antiviral therapy and co-infections are out of the scope of this review. In this review, each of these issues is discussed with key messages regarding management and further research being presented after a brief review of available evidence.",ARDS; Acute respiratory failure; COVID-19; Intensive care; Pneumonia; SARS-CoV-2.,Jordi Rello;Mirko Belliato;Meletios-Athanasios Dimopoulos;Evangelos J Giamarellos-Bourboulis;Vladimir Jaksic;Ignacio Martin-Loeches;Iosif Mporas;Paolo Pelosi;Garyphallia Poulakou;Spyridon Pournaras;Maximiliano Tamae-Kakazu;Jean-François Timsit;Grant Waterer;Sofia Tejada;George Dimopoulos
https://pubmed.ncbi.nlm.nih.gov/33187528/,Rapid SARS-CoV-2 antigen detection assay in comparison with real-time RT-PCR assay for laboratory diagnosis of COVID-19 in Thailand,"Background: The Coronavirus disease 2019 (COVID-19) pandemic continues to spread across the world. Hence, there is an urgent need for rapid, simple, and accurate tests to diagnose severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection. Performance characteristics of the rapid SARS-CoV-2 antigen detection test should be evaluated and compared with the gold standard real-time reverse transcription-polymerase chain reaction (RT-PCR) test for diagnosis of COVID-19 cases.",COVID-19; RT-PCR; Rapid antigen; SARS-CoV-2; Thailand.,Chutikarn Chaimayo;Bualan Kaewnaphan;Nattaya Tanlieng;Niracha Athipanyasilp;Rujipas Sirijatuphat;Methee Chayakulkeeree;Nasikarn Angkasekwinai;Ruengpung Sutthent;Nattawut Puangpunngam;Theerawoot Tharmviboonsri;Orawan Pongraweewan;Suebwong Chuthapisith;Yongyut Sirivatanauksorn;Wannee Kantakamalakul;Navin Horthongkham
https://pubmed.ncbi.nlm.nih.gov/33113040/,Recurrence of SARS-CoV-2 viral RNA in recovered COVID-19 patients: a narrative review,"Many studies have shown that re-positive tests for SARS-CoV-2 by RT-PCR in recovered COVID-19 patients are very common. We aim to conduct this review to summarize the clinical and epidemiological characteristics of these patients and discuss the potential explanations for recurrences, the contagiousness of re-detectable positive SARS-CoV-2 virus, and the management of COVID-19 patients after discharge from hospital. The proportion of re-positive tests in discharged COVID-19 patients varied from 2.4 to 69.2% and persisted from 1 to 38 days after discharge, depending on population size, age of patients, and type of specimens. Currently, several causes of re-positive tests for SARS-CoV-2 in recovered COVID-19 patients are suggested, including false-negative, false-positive RT-PCR tests; reactivation; and re-infection with SARS-CoV-2, but the mechanism leading to these re-positive cases is still unclear. The prevention of re-positive testing in discharged patients is a fundamental measure to control the spread of the pandemic. In order to reduce the percentage of false-negative tests prior to discharge, we recommend performing more than two tests, according to the standard sampling and microbiological assay protocol. In addition, specimens should be collected from multiple body parts if possible, to identify SARS-CoV-2 viral RNA before discharge. Further studies should be conducted to develop novel assays that target a crucial region of the RNA genome in order to improve its sensitivity and specificity.",COVID-19; Discharge; False-negative; False-positive; PCR; Recovery; Recurrence; SARS-CoV-2.,Thi Loi Dao;Van Thuan Hoang;Philippe Gautret
https://pubmed.ncbi.nlm.nih.gov/33410425/,"COVID-19: Advances in diagnostic tools, treatment strategies, and vaccine development","An unprecedented worldwide spread of the SARS-CoV-2 has imposed severe challenges on healthcare facilities and medical infrastructure. The global research community faces urgent calls for the development of rapid diagnostic tools, effective treatment protocols, and most importantly, vaccines against the pathogen. Pooling together expertise across broad domains to innovate effective solutions is the need of the hour. With these requirements in mind, in this review, we provide detailed critical accounts on the leading efforts at developing diagnostics tools, therapeutic agents, and vaccine candidates. Importantly, we furnish the reader with a multidisciplinary perspective on how conventional methods like serology and RT-PCR, as well as cutting-edge technologies like CRISPR/Cas and artificial intelligence/machine learning, are being employed to inform and guide such investigations. We expect this narrative to serve a broad audience of both active and aspiring researchers in the field of biomedical sciences and engineering and help inspire radical new approaches towards effective detection, treatment, and prevention of this global pandemic.",,M Sreepadmanabh;Amit Kumar Sahu;Ajit Chande
https://pubmed.ncbi.nlm.nih.gov/33189872/,Field evaluation of a rapid antigen test (Panbio™ COVID-19 Ag Rapid Test Device) for COVID-19 diagnosis in primary healthcare centres,Objectives: To our knowledge no previous study has assessed the performance of a rapid antigen diagnostic immunoassay (RAD) conducted at the point of care (POC). We evaluated the Panbio™ COVID-19 Ag Rapid Test Device for diagnosis of coronavirus 2019 disease (COVID-19) in symptomatic patients (n = 412) attending primary healthcare centres.,COVID-19; Early diagnosis; Primary healthcare centre; Rapid antigen detection test (RAD); SARS-CoV-2.,Eliseo Albert;Ignacio Torres;Felipe Bueno;Dixie Huntley;Estefanía Molla;Miguel Ángel Fernández-Fuentes;Mireia Martínez;Sandrine Poujois;Lorena Forqué;Arantxa Valdivia;Carlos Solano de la Asunción;Josep Ferrer;Javier Colomina;David Navarro
https://pubmed.ncbi.nlm.nih.gov/33394144/,Detection technologies and recent developments in the diagnosis of COVID-19 infection,"COVID-19 is a disease caused by SARS-CoV-2 capable of causing mild to severe infections in humans. Since its first appearance in China in December 2019, the pandemic has spread rapidly throughout the world. Despite considerable efforts made to contain the disease, the virus has continued its prevalence in many countries with varying degrees of clinical manifestations. To contain this pandemic, collaborative approach involving accurate diagnosis, epidemiology, surveillance, and prophylaxis is essential. However, proper diagnosis using rapid technologies plays a crucial role. With increasing incidence of COVID-19 cases, the accurate and early detection of the SARS-CoV-2 is need of the hour for effective prevention and management of COVID-19 cases as well as to curb its spread. RT-qPCR assay is considered to be the gold standard for the early detection of virus, but this protocol has limited application to use as bedside test because of its technical complexity. To address these challenges, several POC assays have been developed to facilitate the COVID-19 diagnosis outside the centralized testing laboratories as well to accelerate the clinical decision making with a least turnaround time. Hence, in this report, we review different nucleic acid-based and serological techniques available for the diagnosis and effective prevention of COVID-19. KEY POINTS : • Provides comprehensive information on the different diagnostic tools available for COVID-19 • Nucleic acid based tests or antigen detection tests are used for diagnostic purpose • Accurate diagnosis is essential for the efficient management of COVID-19.",COVID-19; Diagnosis; RT-LAMP; RT-qPCR; SARS-CoV-2; Serology.,Praveen Rai;Ballamoole Krishna Kumar;Vijaya Kumar Deekshit;Indrani Karunasagar;Iddya Karunasagar
https://pubmed.ncbi.nlm.nih.gov/33308664/,Benefits and limitations of serological assays in COVID-19 infection,"Accurate and rapid diagnostic tests are critical for achieving control of coronavirus disease 2019 (covid-19), a pandemic illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Diagnostic tests for covid-19 fall into two main categories: molecular tests that detect viral RNA, and serological tests that detect anti-SARS-CoV-2 immunoglobulins. Reverse transcriptase polymerase chain reaction (RT-PCR), a molecular test, has become the gold standard for diagnosis of covid-19; however, this test has many limitations that include potential false negative results, changes in diagnostic accuracy over the disease course, and precarious availability of test materials. Serological tests have generated substantial interest as an alternative or complement to RT-PCR and other Nucleic acid tests in the diagnosis of acute infection, as some might be cheaper and easier to implement at the point of care. A clear advantage of these tests over RT-PCR is that they can identify individuals previously infected by SARS-CoV-2, even if they never underwent testing while acutely ill. Many serological tests for covid-19 have become available in a short period, including some marketed for use as rapid, point-of-care tests. The pace of development has, however, exceeded that of rigorous evaluation, and important uncertainty about test accuracy remains.",COVID-19; IgG; IgM; SARS CoV-2; Serology.,Zeeshan Sidiq;M Hanif;Kaushal Kumar Dwivedi;K K Chopra
https://pubmed.ncbi.nlm.nih.gov/32761898/,A systematic review and meta-analysis of children with coronavirus disease 2019 (COVID-19),"To provide a comprehensive and systematic analysis of demographic characteristics, clinical symptoms, laboratory findings, and imaging features of coronavirus disease 2019 (COVID-19) in pediatric patients. A meta-analysis was carried out to identify studies on COVID-19 from 25 December 2019 to 30 April 2020. A total of 48 studies with 5829 pediatric patients were included. Children of all ages were at risk for COVID-19. The main illness classification ranged as: 20% (95% confidence interval [CI]: 14%-26%; I2 = 91.4%) asymptomatic, 33% (95% CI: 23%-43%; I2 = 95.6%) mild and 51% (95% CI: 42%-61%; I2 = 93.4%) moderate. The typical clinical manifestations were fever 51% (95% CI: 45%-57%; I2 = 78.9%) and cough 41% (95% CI: 35%-47%, I2 = 81.0%). The common laboratory findings were normal white blood cell 69% (95% CI: 64%-75%; I2 = 58.5%), lymphopenia 16% (95% CI: 11%-21%; I2 = 76.9%) and elevated creatine-kinase MB 37% (95% CI: 25%-48%; I2 = 59.0%). The frequent imaging features were normal images 41% (95% CI: 30%-52%; I2 = 93.4%) and ground-glass opacity 36% (95% CI: 25%-47%; I2 = 92.9%). Among children under 1 year old, critical cases account for 14% (95% CI: 13%-34%; I2 = 37.3%) that should be of concern. In addition, vomiting occurred in 33% (95% CI: 18%-67%; I2 = 0.0%) cases that may also need attention. Pediatric patients with COVID-19 may experience milder illness with atypical clinical manifestations and rare lymphopenia. High incidence of critical illness and vomiting symptoms reward attention in children under 1 year old.",2019-nCoV; COVID-19; SARS-CoV-2; children; coronavirus; meta-analysis.,Xiaojian Cui;Zhihu Zhao;Tongqiang Zhang;Wei Guo;Wenwei Guo;Jiafeng Zheng;Jiayi Zhang;Cuicui Dong;Ren Na;Lisheng Zheng;Wenliang Li;Zihui Liu;Jia Ma;Jinhu Wang;Sijia He;Yongsheng Xu;Ping Si;Yongming Shen;Chunquan Cai
https://pubmed.ncbi.nlm.nih.gov/33008761/,Effectiveness of COVID-19 diagnosis and management tools: A review,Objective: To review the available literature concerning the effectiveness of the COVID-19 diagnostic tools.,Artificial intelligence; CT scan; Consolidation; Crazy-paving; Ground-glass opacification; RT-PCR.,W Alsharif;A Qurashi
https://pubmed.ncbi.nlm.nih.gov/32383182/,Should RT-PCR be considered a gold standard in the diagnosis of COVID-19?,"To face the new Covid‐19 pandemic, the need for early and accurate diagnosis of the disease among suspected cases quickly became obvious for effective management, and for better control of the spread of the disease in the population. Since the beginning of this disease epidemic caused by the severe acute respiratory syndrome coronavirus‐2 (SARS‐CoV‐2), reverse transcriptase polymerase chain reaction (RT‐PCR) has routinely been used to confirm diagnosis. However, several authors have pointed out the poor performance of this technique, particularly in terms of sensitivity.1,2",COVID-19; RT-PCR; diagnosis; gold standard; serology.,Moustapha Dramé;Maturin Tabue Teguo;Emeline Proye;Fanny Hequet;Maxime Hentzien;Lukshe Kanagaratnam;Lidvine Godaert
