link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/30228871/,Understanding myocardial infarction,"Over the last 40 years, our understanding of the pathogenesis of myocardial infarction has evolved and allowed new treatment strategies that have greatly improved survival. Over the years, there has been a radical shift in therapy from passive healing of the infarction through weeks of bed rest to early discharge usually within 2 to 3 days as a result of immediate reperfusion strategies and other guideline-directed medical therapies. Nevertheless, challenges remain. Patients who develop cardiogenic shock still face a high 30-day mortality of at least 40%. Perhaps even more important is how do we identify and prevent patients from developing myocardial infarction in the first place? This article discusses these milestones of therapy and considers important issues for progress in the future.",CAD; Myocardial Infarction; cardiogenic shock.,Moussa Saleh;John A Ambrose
https://pubmed.ncbi.nlm.nih.gov/10918673/,The acute myocardial infarction,"Cardiovascular death is the number one cause of death in the United States, with a rate that is more than double that for cancer. Over half of these cardiovascular deaths are due to acute myocardial infarction. Management of the patient with acute myocardial infarction during and after hospitalization is discussed with an emphasis on primary and secondary prevention, patient autonomy and decision making. There is also a review of the directions that treatment of acute myocardial infarction will take in the future.",,T J Pollard
https://pubmed.ncbi.nlm.nih.gov/31902409/,Acute Myocardial Infarction in Young Individuals,"Globally, cardiovascular disease remains a major cause of adverse outcomes in young individuals, unlike its decline in other age groups. This group is not well studied and has a unique risk profile with less traditional cardiovascular risk factors compared with older populations. Plaque rupture still remains the most common etiology of myocardial infarction, but unique syndromes such as plaque erosion, coronary microvascular dysfunction, spontaneous coronary artery dissection, and coronary spasm related to drug use are more prevalent in this age group. Such diversity of diagnosis and presentation, along with therapeutic implications, underscore the need to study the profile of myocardial infarction in young persons. We searched PubMed for articles published from 1980 to 218 using the terms acute myocardial infarction, young, plaque rupture, plaque erosion, spontaneous coronary artery dissection (SCAD), coronary vasospasm, variant or Prinzmetal angina, drug-induced myocardial infarction, myocarditis, coronary embolism, microvascular dysfunction, MINOCA, and myocardial infarction in pregnancy and reviewed all the published studies. With the data from this search, we aim to inform readers of the prevalence, risk factors, presentation, and management of acute myocardial infarction in young patients and elaborate on special subgroups with diagnostic and therapeutic challenges. We also outline a parsimonious method designed to simplify management of these complex patients.",,Rajiv Gulati;Atta Behfar;Jagat Narula;Ardaas Kanwar;Amir Lerman;Leslie Cooper;Mandeep Singh
https://pubmed.ncbi.nlm.nih.gov/25638347/,Myocardial Infarction: Symptoms and Treatments,"Myocardial infarction (MI) is a term used for an event of heart attack which is due to formation of plaques in the interior walls of the arteries resulting in reduced blood flow to the heart and injuring heart muscles because of lack of oxygen supply. The symptoms of MI include chest pain, which travels from left arm to neck, shortness of breath, sweating, nausea, vomiting, abnormal heart beating, anxiety, fatigue, weakness, stress, depression, and other factors. The immediate treatment of MI include, taking aspirin, which prevents blood from clotting, and nitro-glycerin to treat chest pain and oxygen. The heart attack can be prevented by taking an earlier action to lower those risks by controlling diet, fat, cholesterol, salt, smoking, nicotine, alcohol, drugs, monitoring of blood pressure every week, doing exercise every day, and loosing body weight. The treatment of MI includes, aspirin tablets, and to dissolve arterial blockage injection of thrombolytic or clot dissolving drugs such as tissue plasminogen activator, streptokinase or urokinase in blood within 3 h of the onset of a heart attack. The painkillers such as morphine or meperidine can be administered to relieve pain. Nitroglycerin and antihypertensive drugs such as beta-blockers, ACE inhibitors or calcium channel blockers may also be used to lower blood pressure and to improve the oxygen demand of heart. The ECG, coronary angiography and X-ray of heart and blood vessels can be performed to observe the narrowing of coronary arteries. In this article the causes, symptoms and treatments of MI are described.",Antihypertensive drugs; Coronary angiography; Myocardial infarction.,Lei Lu;Min Liu;RongRong Sun;Yi Zheng;Peiying Zhang
https://pubmed.ncbi.nlm.nih.gov/30975302/,Type 2 Myocardial Infarction: JACC Review Topic of the Week,"Acute myocardial infarction (MI) can occur from increased myocardial oxygen demand and/or reduced supply in the absence of acute atherothrombotic plaque disruption; a condition called type 2 myocardial infarction (T2MI). As with any MI subtype, there must be clinical evidence of myocardial ischemia to make the diagnosis. This condition is increasingly diagnosed due to the increasing sensitivity of cardiac troponin assays and is associated with adverse short-term and long-term prognoses. Limited data exist defining optimal management strategies because T2MI is a heterogeneous entity with varying etiologies and triggers. Thus, these patients require individualized care. A major barrier is the absence of a uniform definition that can be operationalized with high reproducibility. This document provides a synthesis of the data about T2MI to assist clinicians' understanding of its pathobiology, when to deploy the diagnosis, and its associated treatments. It also clarifies prognosis, identifies gaps in knowledge, and provides recommendations for moving forward.",Universal Definition of Myocardial Infarction; acute myocardial infarction; cardiac troponin; myocardial injury; type 2 myocardial infarction.,Yader Sandoval;Allan S Jaffe
https://pubmed.ncbi.nlm.nih.gov/26811316/,Acute Myocardial Infarction in Women: A Scientific Statement From the American Heart Association,"Cardiovascular disease is the leading cause of mortality in American women. Since 1984, the annual cardiovascular disease mortality rate has remained greater for women than men; however, over the last decade, there have been marked reductions in cardiovascular disease mortality in women. The dramatic decline in mortality rates for women is attributed partly to an increase in awareness, a greater focus on women and cardiovascular disease risk, and the increased application of evidence-based treatments for established coronary heart disease. This is the first scientific statement from the American Heart Association on acute myocardial infarction in women. Sex-specific differences exist in the presentation, pathophysiological mechanisms, and outcomes in patients with acute myocardial infarction. This statement provides a comprehensive review of the current evidence of the clinical presentation, pathophysiology, treatment, and outcomes of women with acute myocardial infarction.",AHA Scientific Statements; cardiovascular diseases; coronary disease; myocardial infarction; women.,"Laxmi S Mehta;Theresa M Beckie;Holli A DeVon;Cindy L Grines;Harlan M Krumholz;Michelle N Johnson;Kathryn J Lindley;Viola Vaccarino;Tracy Y Wang;Karol E Watson;Nanette K Wenger;American Heart Association Cardiovascular Disease in Women and Special Populations Committee of the Council on Clinical Cardiology, Council on Epidemiology and Prevention, Council on Cardiovascular and Stroke Nursing, and Council on Quality of Care and Outcomes Research"
https://pubmed.ncbi.nlm.nih.gov/31530951/,"[Myocardial infarction with non-obstructive coronary arteries (MINOCA): diagnosis, pathogenesis, therapy and prognosis]","The term MINOCA (myocardial infarction with non-obstructive coronary arteries) defines acute myocardial infarction with angiographic evidence of no significant coronary artery stenosis. Heterogeneous diseases are labelled as MINOCA. Incidence and epidemiological aspects differ on the basis of etiological causes. MINOCA include plaque (causing <50% stenosis) rupture or erosion, coronary embolism and dissection, and coronary artery spasm. Diagnosis may require multiple diagnostic tools, including cardiac imaging or provocative tests, in addition to standard coronary angiography, according to clinical suspicion. Cardiac magnetic resonance plays a key role in confirming the diagnosis and excluding other diseases with similar clinical presentation. Prognosis is not as benign as previously thought, on the opposite it is characterized by morbidity and mortality rates similar to other forms of myocardial infarction. Once the causative mechanism has been identified, appropriate therapy can be delivered.",,Andrea Buono;Patrizia Pedrotti;Francesco Soriano;Nicolas Veas;Fabrizio Oliva;Jacopo Oreglia;Enrico Ammirati
https://pubmed.ncbi.nlm.nih.gov/32280413/,Cardiogenic Shock in the Setting of Acute Myocardial Infarction,"Cardiogenic shock in the setting of acute myocardial infarction remains a major cause of morbidity and mortality. In fact, acute myocardial infarction accounts for 81% of patients in cardiogenic shock. Despite advances in pharmacologic and device-based approaches to support patients with cardiogenic shock, no significant improvement in mortality has been observed over the past 20 years, although multiple registries are providing new insight into this complex syndrome. Key elements for optimal treatment include integration of hemodynamic and metabolic data for diagnosis and risk stratification, early evaluation and appropriate initiation of acute mechanical circulatory support devices, and an organized algorithmic approach to decision making.",acute mechanical circulatory support; acute myocardial infarction; cardiogenic shock; early revascularization; risk assessment; shock classification.,Navin K Kapur;Katherine L Thayer;Elric Zweck
https://pubmed.ncbi.nlm.nih.gov/1512357/,"Acute myocardial infarction in the diabetic patient: pathophysiology, clinical course and prognosis","Although there have been significant advances in the care of many of the extrapancreatic manifestations of diabetes, acute myocardial infarction continues to be a major cause of morbidity and mortality in diabetic patients. Factors unique to diabetes increase atherosclerotic plaque formation and thrombosis, thereby contributing to myocardial infarction. Autonomic neuropathy may predispose to infarction and result in atypical presenting symptoms in the diabetic patient, making diagnosis difficult and delaying treatment. The clinical course of myocardial infarction is frequently complicated and carries a higher mortality rate in the diabetic than in the nondiabetic patient. Although the course and pathophysiology of myocardial infarction differ to some degree in diabetic patients from those in patients without diabetes, much more remains to be known to formulate more effective treatment strategies in this high risk subgroup.",,R M Jacoby;R W Nesto
https://pubmed.ncbi.nlm.nih.gov/26295381/,Acute Complications of Myocardial Infarction in the Current Era: Diagnosis and Management,"Coronary heart disease is a major cause of mortality and morbidity worldwide. The incidence of mechanical complications of acute myocardial infarction (AMI) has gone down to less than 1% since the advent of percutaneous coronary intervention, but although mortality resulting from AMI has gone down in recent years, the burden remains high. Mechanical complications of AMI include cardiogenic shock, free wall rupture, ventricular septal rupture, acute mitral regurgitation, and right ventricular infarction. Detailed knowledge of the complications and their risk factors can help clinicians in making an early diagnosis. Prompt diagnosis with appropriate medical therapy and timely surgical intervention are necessary for favorable outcomes.",,Anurag Bajaj;Ankur Sethi;Parul Rathor;Nissi Suppogu;Arjinder Sethi
https://pubmed.ncbi.nlm.nih.gov/24436429/,Exosomes and cardiac repair after myocardial infarction,"Myocardial infarction is a leading cause of death among all cardiovascular diseases. The analysis of molecular mechanisms by which the ischemic myocardium initiates repair and remodeling indicates that secreted soluble factors are key players in communication to local and distant tissues, such as bone marrow. Recently, actively secreted membrane vesicles, including exosomes, are being recognized as new candidates with important roles in intercellular and tissue-level communication. In this review, we critically examine the emerging role of exosomes in local and distant microcommunication mechanisms after myocardial infarction. A comprehensive understanding of the role of exosomes in cardiac repair after myocardial infarction could bridge a major gap in knowledge of the repair mechanism after myocardial injury.",adult stem cells; exosomes; microRNAs; multivesicular bodies; myocardial infarction; progenitor cells.,Susmita Sahoo;Douglas W Losordo
https://pubmed.ncbi.nlm.nih.gov/26599804/,Perioperative myocardial infarction/injury after noncardiac surgery,"Cardiovascular complications, particularly perioperative myocardial infarction/injury, seem to be major contributors to mortality after noncardiac surgery. With surgical procedures being very frequent (900 000/year in Switzerland), perioperative myocardial injury is common in everyday clinical practice. Over 80% of patients experiencing perioperative myocardial injury do not report symptoms. Therefore perioperative myocardial injury remains undiagnosed and untreated. Moreover, its silent presentation results in limited awareness among both clinicians and the public. Despite being largely asymptomatic, perioperative myocardial injury increases 30-day mortality nearly 10-fold. This review aims to increase the awareness of perioperative myocardial injury/infarction and give an overview of the emerging evidence, including pathophysiology, clinical presentation, prevention, and potential future treatments.",,Christian Puelacher;Giovanna Lurati-Buse;Hélène Singeisen;Minh Dang;Florim Cuculi;Christian Müller
https://pubmed.ncbi.nlm.nih.gov/23340487/,Acute myocardial infarction--historical notes,"For the time being, acute myocardial infarction represents a history of success concerning diagnose, management and treatment, whereas it was considered a fatal disease in the beginning of the 1900s. The present paper is aimed at reviewing the landmarks of acute myocardial infarction, as key historical concepts are an important tool for understanding disease management, the daily dilemmas and future perspectives.",Acute myocardial infarction; History; Landmarks.,Rogério Teixeira;Lino Gonçalves;Bernard Gersh
https://pubmed.ncbi.nlm.nih.gov/31327544/,[Myocardial infarction in young patient: Epidemiological specificities and risk factors],"There is no precise definition of premature coronary artery disease, which is reported most often before the age of 40-50 years. The majority of these patients have at least one of the following three risk factors : male sex, active smoking, and/or premature coronary artery disease. In 2/3 cases, young patients have a ST-elevation myocardial infarction. Cases of coronary dissection are also reported (especially in women in 40aine). There is no specific management. The long-term prognosis is most often pejorative because of a progressive atheroma.",,Victoria Tea;Nicolas Danchin;Etienne Puymirat
https://pubmed.ncbi.nlm.nih.gov/26771091/,Women's experiences during myocardial infarction: systematic review and meta-ethnography,"Aims and objectives: The aim of this review is to identify, analyse and synthesise existing knowledge concerning female experiences during myocardial infarction.",acute care; experiences; heart disease; meta-ethnography; myocardial infarction; phenomenological hermeneutics; review; women.,Rikke Madsen;Regner Birkelund
https://pubmed.ncbi.nlm.nih.gov/32349150/,[Cardiogenic Shock Complicating Myocardial Infarction],"In patients admitted with acute myocardial infarction, cardiogenic shock remains the most common cause of death. Multidisciplinary care in a specialized center and guideline-compliant treatment of cardiogenic shock are crucial for the survival and prognosis of affected patients. Hemodynamic monitoring and stabilization by volume expansion, vasopressors and inotropes represent initial steps in the management of patients with cardiogenic shock. Nevertheless, early revascularization of the culprit-lesion is proved to be the most important treatment modality. Although the use of active mechanical circulatory support appears to be a promising therapeutic concept to improve clinical outcome in patients with infarct-related cardiogenic shock, in the few previous randomized trials mechanical circulatory support failed to show beneficial effects on short-term and long-term survival.",,Danilo Obradovic;Anne Freund;Steffen Desch;Holger Thiele
https://pubmed.ncbi.nlm.nih.gov/26184390/,Symptoms of acute myocardial infarction: A correlational study of the discrepancy between patients' expectations and experiences,"Background: Patients' responses to acute myocardial infarction symptoms are affected by symptom incongruence, which is the difference between the symptoms they expect to experience and the symptoms they actually experienced during an acute myocardial infarction.",Acute myocardial infarction; Information resources; Prehospital delay; Symptoms.,Mona A Abed;Raeda M Abu Ali;Motaz M Abu Ras;Faten O Hamdallah;Amani A Khalil;Debra K Moser
https://pubmed.ncbi.nlm.nih.gov/11694105/,Unrecognized myocardial infarction,"This review addresses myocardial infarctions that escape clinical recognition. It focuses on the prevalence, predisposing factors, and prognosis of these unrecognized infarctions, and incorporates data from relevant epidemiologic studies, basic science investigations, and review articles. These data indicate that at least one fourth of all myocardial infarctions are clinically unrecognized. The demographic characteristics and coronary risk factor profiles of persons with previously unrecognized myocardial infarctions appear to be similar to those of persons whose infarctions are clinically detected. Impaired symptom perception may contribute to lack of recognition, but both patients' and physicians' perceptions about the risk for myocardial infarction may also play an important role. Finally, mortality rates after unrecognized and recognized myocardial infarction are similar. Given the public health implications of unrecognized myocardial infarction, future studies should address screening strategies, risk stratification after detection of previously unrecognized myocardial infarction, and the role of standard postinfarction therapies in affected patients.",,S E Sheifer;T A Manolio;B J Gersh
https://pubmed.ncbi.nlm.nih.gov/31082987/,Type 2 myocardial infarction: a grim diagnosis with different shades of gray,": Type 2 myocardial infarction (MI) is commonly encountered in daily practice. Its incidence can range between 5 and 35% among all cases of MI. It is caused by disorders that result in supply-demand mismatch, which leads to myocardial ischemia and necrosis. Therefore, unsurprisingly, it is frequently diagnosed in critically ill patients and those with severe coronary artery disease (CAD) and multiple comorbidities. Though it can occur in the absence of CAD, the presence of coronary blood flow-limiting stenoses can allow even minor insults to disturb the already fine supply-demand balance. Generally, type 2 MI may be associated with higher mortality; however, some data suggest it may have different severities, and outcome is better in patients with type 2 MI of milder severity. Nonetheless, regardless of the causes (ischemic or nonischemic), troponin elevation is associated with worse outcome. Differentiating type 2 MI from other causes of myocardial necrosis, mainly type 1 MI and myocardial injury, remains a clinical challenge. Different diagnostic tools can be utilized to aid in reaching an accurate diagnosis. These can include contrast echocardiography, computed tomography, MRI, radionuclide imaging, coronary angiography, and intracoronary imaging. However, each comes with its own limitations and results should be interpreted with caution and in clinical context. Management of type 2 MI is uncertain because of paucity of data. Evidence-based therapies of type 1 MI are frequently used, though this may be harmful sometimes. Therefore, clinical judgment should be used, and management and therapies should be tailored to each individual case.",,Ali Dahhan
https://pubmed.ncbi.nlm.nih.gov/10987628/,Myocardial infarction redefined--a consensus document of The Joint European Society of Cardiology/American College of Cardiology Committee for the redefinition of myocardial infarction,"Definition of MI. Criteria for acute, evolving or recent MI. Either one of the following criteria satisfies the diagnosis for an acute, evolving or recent MI: 1) Typical rise and gradual fall (troponin) or more rapid rise and fall (CK-MB) of biochemical markers of myocardial necrosis with at least one of the following: a) ischemic symptoms; b) development of pathologic Qwaves on the ECG; c) ECG changes indicative of ischemia (ST segment elevation or depression); or d) coronary artery intervention (e.g., coronary angioplasty). 2) Pathologic findings of an acute MI. Criteria for established MI. Any one of the following criteria satisfies the diagnosis for established MI: 1) Development of new pathologic Q waves on serial ECGs. The patient may or may not remember previous symptoms. Biochemical markers of myocardial necrosis may have normalized, depending on the length of time that has passed since the infarct developed. 2) Pathologic findings of a healed or healing MI.",,J S Alpert;K Thygesen;E Antman;J P Bassand
https://pubmed.ncbi.nlm.nih.gov/33305709/,Myocardial Infarction with and without ST-segment Elevation: a Contemporary Reappraisal of Similarities and Differences,"Understanding the similarities and differences between myocardial infarction with or without ST-segment elevation is an essential step for proper patients' management in current practice. Both syndromes are caused by critical stenosis or total occlusion of coronary arteries (mostly due to thrombosis on atherosclerotic plaque), and manifest with a similar clinical presentation. Recent epidemiologic studies show that the relative incidence of ST-segment elevation myocardial infarction (STEMI) and non-ST-segment elevation myocardial infarction (NSTEMI) moves in an opposite fashion (decreasing and increasing respectively), with a prognosis that is worse at short-term follow-up for STEMI but comparable at long-term. Current management differs, as for STEMIs, immediate reperfusion is recommended, while for NSTEMIs, risk stratification is mandatory in order to stratify patients' risk, and then decide the timing for coronary angiography. Periprocedural and technical aspects of the interventional management, as well as antithrombotic medications, are for the most similarly implemented in the two types of MI, with routine radial access, DES implant, and novel P2Y12 inhibitors representing the standard of care in both cases. The following review article aims to compare the two types of MI, with and without persistent STsegment elevation. The main purpose is to explore their similarities and differences and address areas of uncertainty with regards to clinical presentation, therapeutic management, and prognosis. The identification of high-risk NSTEMI patients is important as they may require an individualised approach that can substantially overlap with current STEMI recommendations, and their mortality remains high if their management is delayed.",Acute myocardial infraction; ECG; NSTEMI; STEMI; de winter`s pattern; wellen`s syndrome..,Andreas Mitsis;Felice Gragnano
https://pubmed.ncbi.nlm.nih.gov/2198094/,Myocardial infarction in women,"Cardiovascular disease is the leading cause of mortality in the United States regardless of gender. Women infrequently present with myocardial infarction as the initial presentation of coronary heart disease and have unrecognized infarctions more frequently than men. Myocardial infarction in women has a similar clinical presentation as in men, with the exception of an increased incidence of non-Q wave myocardial infarctions. Complications of acute infarction in women are probably similar although the majority of data has been drawn from studies involving predominantly men. Women do however experience more strokes and have less postinfarction pericarditis than their male counterparts. Left ventricular function remains the key prognostic determinant in both sexes. Recurrent infarction is increased in women with resultant elevated mortality rates. However, complex ventricular ectopy following myocardial infarction is not predictive of cardiovascular mortality in women. Early and late survival is decreased in women, an effect probably related to the increase in mean age of women as compared with men. Overall, gender distinctions are not usually made in the majority of studies involving myocardial infarction. As epidemiologic, pathophysiologic and clinical factors may be different regarding heart disease in women, further research in this important area is warranted.",,R C Hendel
https://pubmed.ncbi.nlm.nih.gov/7553702/,Myocardial infarction in women,"The leading cause of death in the United States is cardiovascular disease, regardless of gender. Women will more often have angina preceding their first myocardial infarct, but have more unrecognized infarctions than men. Women will be older, have more concomitant disease and present later in the course of their acute myocardial infarction. Although myocardial infarction may have similar clinical presentations in men and women, there are some important differences such as an increased incidence of non Q-wave myocardial infarctions in women, and the higher rate of complication and immortality from a myocardial infarct. Women develop less collateral cardiac vessels, which may explain the increased rate of hemodynamic complications after a myocardial infarct. Both early and late survival rates are also affected by the advanced mean age of women when they do present with a myocardial infarct. There is less data regarding treatment modalities based upon gender differences but in general, it appears that women benefit from established treatment modalities in the acute setting and subsequent to the event. It has been determined that there are epidemiologic differences, but pathophysiologic and clinical factors specific to women in this setting have yet to be determined.",,M A Mendelson;R C Hendel
