link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/24361114/,Secondary stroke prevention,"Survivors of stroke and transient ischaemic attacks are at risk of a recurrent stroke, which is often more severe and disabling than the index event. Optimum secondary prevention of recurrent stroke needs rapid diagnosis and treatment and prompt identification of the underlying cardiovascular cause. Effective treatments include organised acute assessment and intervention with antithrombotic therapy, carotid revascularisation, and control of causal risk factors, as appropriate. However, effective treatments are not implemented optimally in clinical practice. Recurrent strokes continue to account for 25-30% of all strokes and represent unsuccessful secondary prevention. Immediate and sustained implementation of effective and appropriate secondary prevention strategies in patients with first-ever stroke or transient ischaemic attack has the potential to reduce the burden of stroke by up to a quarter.",,Graeme J Hankey
https://pubmed.ncbi.nlm.nih.gov/31813521/,Perinatal Stroke,"Perinatal strokes are a diverse but specific group of focal cerebrovascular injuries that occur early in brain development and affect an estimated 5 million people worldwide. The objective of this review is to describe the epidemiology, clinical presentations, pathophysiology, outcomes, and management for the 6 subtypes of perinatal stroke. Some perinatal strokes are symptomatic in the first days of life, typically with seizures, including neonatal arterial ischemic stroke, neonatal hemorrhagic stroke, and cerebral sinovenous thrombosis. The remaining subtypes present in the first year of life or later, usually with motor asymmetry and include arterial presumed perinatal ischemic stroke, presumed perinatal hemorrhagic stroke, and in utero periventricular venous infarction. The consequences of these injuries include cerebral palsy, epilepsy, and cognitive and behavioral challenges, in addition to the psychosocial impact on families. While there have been significant advances in understanding mechanisms of both injury and recovery, there is still a great deal to learn regarding causation and the optimization of outcomes.",,Mary Dunbar;Adam Kirton
https://pubmed.ncbi.nlm.nih.gov/25597418/,Cryptogenic stroke,"In about a quarter of ischaemic strokes the cause is undetermined, because the investigation is incomplete or delayed, because there are multiple causes or because the stroke is truly cryptogenic. Cryptogenic stroke can be further classified as non-embolic or embolic. Embolic stroke of undetermined source can be due to paroxysmal atrial fibrillation, minor emboligenic cardiac conditions, atheroembolism, cancer associated and paradoxical embolism through a patent foramen ovale (PFO) or less often a pulmonary fistula. Currently, risk factor control, statins and antiplatelets are the main therapeutic measures to prevent recurrent stroke. There is no evidence to implement routine closure of PFO in patients with cryptogenic stroke. Direct anticoagulants are being evaluated in randomized controlled trials including embolic stroke of undetermined source patients. Advances in high resolution ultrasound or magnetic resonance imaging of extracranial and intracranial vessels and of the heart and prolonged heart rhythm monitoring will be instrumental techniques to identify arterial and cardiac hidden causes of stroke.",cancer; cardiac monitoring; cryptogenic; embolic stroke of undetermined source; paroxysmal atrial fibrillation; patent foramen ovale; undetermined cause.,A C Fonseca;J M Ferro
https://pubmed.ncbi.nlm.nih.gov/30213310/,"[Semantics, epidemiology and semiology of stroke]","Stroke is a cerebrovascular disorder characterised by the sudden onset of symptoms and clinical signs. Each year, an estimated 140,000 people in France are hospitalised for stroke. Ischemic stroke is the most common kind of stroke, accounting for 80% of all cases. Haemorrhagic stroke accounts for about 20% of all strokes.",accident vasculaire cérébral; cerebral arterial circulation; circulation artérielle cérébrale; semiotics; stroke; sémiologie.,Perrine Boursin;Sophie Paternotte;Burty Dercy;Candice Sabben;Benjamin Maïer
https://pubmed.ncbi.nlm.nih.gov/28157742/,Stroke Epidemiology and Risk Factor Management,"Purpose of review: Death from stroke has decreased over the past decade, with stroke now the fifth leading cause of death in the United States. In addition, the incidence of new and recurrent stroke is declining, likely because of the increased use of specific prevention medications, such as statins and antihypertensives. Despite these positive trends in incidence and mortality, many strokes remain preventable. The major modifiable risk factors are hypertension, diabetes mellitus, tobacco smoking, and hyperlipidemia, as well as lifestyle factors, such as obesity, poor diet/nutrition, and physical inactivity. This article reviews the current recommendations for the management of each of these modifiable risk factors.",,Amy Guzik;Cheryl Bushnell
https://pubmed.ncbi.nlm.nih.gov/31976872/,Embolic Stroke of Undetermined Source: JACC Review Topic of the Week,"The term embolic stroke of undetermined source (ESUS) was introduced in 2014 to describe patients with a nonlacunar ischemic stroke and no convincing etiology. The terms ESUS and cryptogenic stroke are not synonyms, as the latter also includes patients with multiple stroke etiologies or incomplete diagnostic work-up. ESUS involves approximately 17% of all ischemic stroke patients, and these patients are typically younger with mild strokes and an annual rate of stroke recurrence of 4% to 5%. It was hypothesized that oral anticoagulation may decrease the risk of stroke recurrence in ESUS, which was tested in 2 large randomized controlled trials: the NAVIGATE ESUS (Rivaroxaban Versus Aspirin in Secondary Prevention of Stroke and Prevention of Systemic Embolism in Patients With Recent Embolic Stroke of Undetermined Source) and the RE-SPECT ESUS (Dabigatran Etexilate for Secondary Stroke Prevention in Patients With Embolic Stroke of Undetermined Source). The present review discusses the trials of anticoagulation in patients with ESUS, suggests potential explanations for their neutral results, and highlights the rationale that supports ongoing and future research in this population aiming to reduce the associated risk for stroke recurrence.",ESUS; atherosclerotic plaques; embolic stroke of undetermined source; oral anticoagulation; patent foramen ovale.,George Ntaios
https://pubmed.ncbi.nlm.nih.gov/32284456/,[Stroke],"The path to the diagnosis of strokes is straightforward and unquestionable in most cases. In the era of interventional stroke therapies, which have potential adverse effects, an accurate diagnosis is needed for. However, there are non-cerebrovascular diseases exhibiting neurological symptoms that simulate strokes (stroke mimics), and strokes exhibiting atypical or uncommon symptoms that suggest diseases other than strokes (stroke chameleons). This article presents two cases to outline stroke mimics and stroke chameleons. Detailed history taking, comprehensive neurological examination, and appropriate imaging studies are important to identify them.",,Hiroaki Kimura
https://pubmed.ncbi.nlm.nih.gov/26300647/,Secondary stroke prevention: challenges and solutions,"Stroke is the leading cause of disability in the USA and a major cause of mortality worldwide. One out of four strokes is recurrent. Secondary stroke prevention starts with deciphering the most likely stroke mechanism. In general, one of the main goals in stroke reduction is to control vascular risk factors such as hypertension, diabetes, dyslipidemia, and smoking cessation. Changes in lifestyle like a healthy diet and aerobic exercise are also recommended strategies. In the case of cardioembolism due to atrial fibrillation, mechanical valves, or cardiac thrombus, anticoagulation is the mainstay of therapy. The role of anticoagulation is less evident in the case of bioprosthetic valves, patent foramen ovale, and dilated cardiomyopathy with low ejection fraction. Strokes due to larger artery atherosclerosis account for approximately a third of all strokes. In the case of symptomatic extracranial carotid stenosis, surgical intervention as close as possible in time to the index event seems highly beneficial. In the case of intracranial large artery atherosclerosis, the best medical therapy consists of antiplatelets, high-dose statins, aggressive controls of vascular risk factors, and lifestyle modifications, with no role for intracranial arterial stenting or angioplasty. For patients with small artery occlusion (ie, lacunar stroke), the therapy is similar to that used in patients with intracranial large artery atherosclerosis. Despite the constant new evidence on how to best treat patients who have suffered a stroke, the risk of stroke recurrence remains unacceptably high, thus evidencing the need for novel therapies.",diabetes; dyslipidemia; hypertension; stroke mechanisms; stroke risk.,Charles Esenwa;Jose Gutierrez
https://pubmed.ncbi.nlm.nih.gov/23522778/,"Brainstem stroke: anatomy, clinical and radiological findings","Ischemic brainstem strokes constitute 10% of all ischemic brain strokes. Hemorrhagic complications are associated with an especially poor prognosis. Associated symptomatology includes vertigo, cranial nerve symptoms, and crossed or uncrossed corticospinal tract findings. Advanced neuroimaging techniques have become essential in the decision-making process of brainstem stroke management and may provide a means to identify those patients who may benefit from thrombolysis. Because many of the recommendations are based on limited data, additional research on treatment of acute brainstem stroke is needed.",,Ana Ortiz de Mendivil;Andrea Alcalá-Galiano;Marta Ochoa;Elena Salvador;José M Millán
https://pubmed.ncbi.nlm.nih.gov/25573327/,Stroke prevention--medical and lifestyle measures,"Background: According to the World Health Organization, stroke is the 'incoming epidemic of the 21st century'. In light of recent data suggesting that 85% of all strokes may be preventable, strategies for prevention are moving to the forefront in stroke management.",,Hakan Sarikaya;Jose Ferro;Marcel Arnold
