link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/30648539/,Severe asthma in children: Evaluation and management,"Severe asthma in children is associated with significant morbidity. Children with severe asthma are at increased risk for adverse outcomes including medication-related side effects, life-threatening exacerbations, and impaired quality of life. It is important to differentiate between severe therapy resistant asthma and difficult-to-treat asthma due to comorbidities. The most common problems that need to be excluded before a diagnosis of severe asthma can be made are poor medication adherence, poor medication technique or incorrect diagnosis of asthma. Difficult to treat asthma is a much more common reason for persistent symptoms and exacerbations and can be managed if comorbidities are clearly addressed. Children with persistent symptoms and exacerbations despite correct inhaler technique and good medical adherence to standard Step 4 asthma therapies according to the guidelines1,2, should be referred to an asthma specialist with expertise in severe asthma.",Asthma evaluation; Asthma management; Difficult to treat asthma; Pediatric severe asthma; Severe asthma evaluation.,Mehtap Haktanir Abul;Wanda Phipatanakul
https://pubmed.ncbi.nlm.nih.gov/21702660/,Asthma-related comorbidities,"Asthma is often associated with various comorbidities. The most frequently reported asthma comorbid conditions include rhinitis, sinusitis, gastroesophageal reflux disease, obstructive sleep apnea, hormonal disorders and psychopathologies. These conditions may, first: share a common pathophysiological mechanism with asthma; second: influence asthma control, its phenotype and response to treatment; and third: be more prevalent in asthmatic patients but without obvious influence on this disease. For many of these, how they interact with asthma remains to be further documented, particularly for severe asthma. If considered relevant, they should, however, be treated appropriately. Further research is needed on the relationships between these conditions and asthma.",,Louis-Philippe Boulet;Marie-Ève Boulay
https://pubmed.ncbi.nlm.nih.gov/31812220/,Feline Asthma: Diagnostic and Treatment Update,"Asthma is an important allergic lower-airway disease in cats affecting approximately 1% to 5% of the pet cat population. New diagnostics are being developed to help better differentiate asthma from other lower-airway diseases and improve monitoring. In addition, new treatments are being developed to help in refractory cases or in those cases in which traditional therapeutics are contraindicated. This article discusses potential pitfalls in the diagnosis of asthma. In addition, current literature investigating new diagnostic tests and therapies for feline asthma is reviewed.",Airway eosinophilia; Airway hyperresponsiveness; Feline asthma; Feline lower-airway disease.,Julie E Trzil
https://pubmed.ncbi.nlm.nih.gov/31678077/,Recent Advances in Severe Asthma: From Phenotypes to Personalized Medicine,"This review focuses on recent clinical and translational discoveries in severe and uncontrolled asthma that now enable phenotyping and personalized therapies in these patients. Although asthma is common in both children and adults and typically responds to standard therapies, a subset of individuals with asthma experience severe and/or persistent symptoms despite appropriate therapies. Airflow obstruction leading to frequent symptoms requiring higher levels of controller therapy is the cardinal feature of severe asthma, but the underlying molecular mechanisms, or endotypes, are diverse and variable between individuals. Two major risk factors that contribute to severe asthma are genetics and environmental exposures that modulate immune responses, and although these often interact in complex manners that are not fully understood, certain endotypes converge in severe asthma. A number of studies have evaluated various features of patients with severe asthma and classified patients into phenotypes with clinical relevance. This phenotyping is now incorporated into clinical practice and can be used to guide advanced biological therapies that target specific molecules and inflammatory pathways that contribute to asthma pathogenesis.",asthma; endotype; phenotype; severe asthma.,Nathan Schoettler;Mary E Strek
https://pubmed.ncbi.nlm.nih.gov/29700091/,Diagnosis and treatment of severe asthma: a phenotype-based approach,"Severe asthma is a heterogeneous and often difficult to treat condition that results in a disproportionate cost to healthcare systems. Appropriate diagnosis and management of severe asthma is critical, as most asthma deaths have been retrospectively identified as having poorly recognised severe asthma. With multiple biologic agents becoming available, it is crucial to correctly phenotype patients in order to identify those that will respond to these high-cost treatments. We provide an overview of the assessment, phenotyping and management of severe asthma in primary and secondary care.",Assessment; asthma; phenotyping; treatment.,Thomas L Jones;Daniel M Neville;Anoop J Chauhan
https://pubmed.ncbi.nlm.nih.gov/31690376/,Classification of asthma,"Asthma is a chronic inflammatory disorder of the airways that results, physiologically, in hyperreactivity and, clinically, in recurrent episodes of wheezing, chest tightness, or coughing. Airway inflammation, smooth-muscle contraction, epithelial sloughing, mucous hypersecretion, bronchial hyperresponsiveness, and mucosal edema contribute to the underlying pathophysiology of asthma. Diagnostic tests such as methacholine or mannitol challenges or spirometry (pre- and postbronchodilator responses) help to identify such underlying pathophysiology via assessments of bronchial hyperreactivity and lung mechanics but are imperfect and, ultimately, must be viewed in the context of a patient's clinical presentation, including response to pharmacotherapy. Asthma can be classified into either intermittent or persistent, and the latter is either mild, moderate, or severe. Some patients change, in either direction, from intermittent to persistent asthma. In addition, patients with asthma may be classified as allergic (immunoglobulin E mediated), nonallergic (often triggered by viral upper respiratory tract infections or no apparent cause), occupational, aspirin-exacerbated respiratory disease, potentially fatal, exercise-induced, and cough variant asthma. In the latter, the patients have a nonproductive cough that responds to treatment for asthma but not with antibiotics, expectorants, mucolytics, antitussives, or beta₂-adrenergic agonists, and to treatment for acid reflux and rhinosinusitis. Thus, cough variant asthma is in the differential diagnosis of chronic cough.",,Nurcicek Padem;Carol Saltoun
https://pubmed.ncbi.nlm.nih.gov/29273246/,Asthma,"Asthma-one of the most common chronic, non-communicable diseases in children and adults-is characterised by variable respiratory symptoms and variable airflow limitation. Asthma is a consequence of complex gene-environment interactions, with heterogeneity in clinical presentation and the type and intensity of airway inflammation and remodelling. The goal of asthma treatment is to achieve good asthma control-ie, to minimise symptom burden and risk of exacerbations. Anti-inflammatory and bronchodilator treatments are the mainstay of asthma therapy and are used in a stepwise approach. Pharmacological treatment is based on a cycle of assessment and re-evaluation of symptom control, risk factors, comorbidities, side-effects, and patient satisfaction by means of shared decisions. Asthma is classed as severe when requiring high-intensity treatment to keep it under control, or if it remains uncontrolled despite treatment. New biological therapies for treatment of severe asthma, together with developments in biomarkers, present opportunities for phenotype-specific interventions and realisation of more personalised treatment. In this Seminar, we provide a clinically focused overview of asthma, including epidemiology, pathophysiology, clinical diagnosis, asthma phenotypes, severe asthma, acute exacerbations, and clinical management of disease in adults and children older than 5 years. Emerging therapies, controversies, and uncertainties in asthma management are also discussed.",,Alberto Papi;Christopher Brightling;Søren E Pedersen;Helen K Reddel
https://pubmed.ncbi.nlm.nih.gov/30955512/,Asthma in the Primary Care Setting,"Asthma is one of the commonest respiratory diseases in the United States, affecting approximately 8% of adults. This article reviews the epidemiology, diagnosis, and treatment of asthma, with integration of recommendations from professional societies, with special attention to differential diagnosis. A framework for outpatient management of patients with asthma is presented, including indications for subspecialist referral. With integration of objective diagnostic information, systematic approach through modification of disease triggers and adjustment of controller medications, and patient empowerment to respond to varying symptoms using an asthma action plan, most individuals with asthma are successfully managed in the primary care setting.",Ambulatory; Asthma; Diagnosis; Outpatient; Review; Treatment.,Tianshi David Wu;Emily P Brigham;Meredith C McCormack
https://pubmed.ncbi.nlm.nih.gov/32167552/,The role of nutrition in asthma prevention and treatment,"Asthma is a chronic respiratory condition characterized by airway inflammation and hyperreactivity. Prevalence has continued to rise in recent decades as Western dietary patterns have become more pervasive. Evidence suggests that diets emphasizing the consumption of plant-based foods might protect against asthma development and improve asthma symptoms through their effects on systemic inflammation, oxidation, and microbial composition. Additionally, increased fruit and vegetable intake, reduced animal product consumption, and weight management might mediate cytokine release, free radical damage, and immune responses involved in the development and course of asthma. The specific aim of this review paper is to examine the current literature on the associations between dietary factors and asthma risk and control in children and adults. Clinical trials examining the mechanism(s) by which dietary factors influence asthma outcomes are necessary to identify the potential use of nutritional therapy in the prevention and management of asthma.",asthma; diet; inflammation; plant-based; vegan.,Jihad Alwarith;Hana Kahleova;Lee Crosby;Alexa Brooks;Lizoralia Brandon;Susan M Levin;Neal D Barnard
https://pubmed.ncbi.nlm.nih.gov/30562041/,Mechanisms and Management of Asthma Exacerbations,"Acute asthma remains an important medical emergency, the most frequent cause of acute admissions in children and a major source of morbidity for adults with asthma. In all ages with asthma, the presence of exacerbations is an important defining characteristic of asthma severity. In this review, we assess the epidemiology of acute asthma, the triggers of acute exacerbations, and the mechanisms that underlie these exacerbations. We also assess current treatments that prevent exacerbations, with an emphasis on the role of type 2 airway inflammation in the context of acute exacerbations and the novel treatments that effectively target this. Finally we review current management strategies of the exacerbations themselves.",asthma; asthma exacerbations; management of acute asthma; virus-induced asthma exacerbations.,J Michael Ramsahai;Philip M Hansbro;Peter A B Wark
