word,frequency,log frequency
the,54656,10.908814277148242
of,53943,10.895683212499748
and,42446,10.655987958795587
in,30056,10.310817587253805
to,24755,10.116782767795524
a,17163,9.750511182936638
with,16013,9.681156171322476
for,12015,9.39391114817057
is,11049,9.310095205113175
patients,9641,9.17378011666438
The,9200,9.126958763037132
was,8103,8.999989642460726
that,7477,8.919586920999915
were,6522,8.782936356349264
asthma,6303,8.74878098951311
are,6002,8.699848026000312
as,5905,8.683554728631462
on,5902,8.683046555502886
by,5871,8.677780256064185
be,5428,8.59932602095476
influenza,5404,8.59489469908009
stroke,5325,8.580167990577626
from,4720,8.459564078579602
an,4570,8.42726848388825
or,4461,8.403128235128264
this,4190,8.340456012916183
infarction,4011,8.296795865770052
have,3988,8.291045131081729
acute,3847,8.255048902752295
myocardial,3804,8.24380842366528
disease,3609,8.19118600464279
In,3412,8.13505390861157
COVID-19,3365,8.121183242078828
SARS-CoV-2,3249,8.0861025356691
has,3199,8.070593539949519
clinical,3128,8.048149101665201
at,3117,8.044626279767337
study,3048,8.022240916806537
risk,2898,7.971776122880628
been,2885,7.9672801789422
after,2833,7.949091499830517
not,2775,7.928406026180535
We,2672,7.890582534656536
treatment,2646,7.880804344674901
A,2642,7.879291485082271
virus,2440,7.799753318287247
This,2409,7.786967002614872
may,2408,7.786551806428712
pandemic,2400,7.783224016336037
than,2308,7.744136627627991
which,2279,7.731492029245684
between,2240,7.7142311448490855
can,2232,7.710653323501202
we,2152,7.674152921281675
infection,2114,7.656337166430183
these,2109,7.653969180478774
during,2091,7.645397699428633
severe,1989,7.5953872788539725
respiratory,1964,7.582738488914411
more,1963,7.5822291942764615
Background,1885,7.541683099882111
but,1878,7.537962659768208
had,1872,7.534762657037537
children,1799,7.4949862339505335
2,1794,7.492203042618741
associated,1774,7.480992162869525
vaccine,1752,7.468513271496337
their,1727,7.454141078146678
cases,1716,7.447751280047908
health,1686,7.430114138561801
mortality,1673,7.422373700986824
also,1653,7.410347097821024
studies,1652,7.409741954080923
data,1608,7.382746449738912
factors,1589,7.370860166536716
coronary,1571,7.359467638255621
group,1569,7.358193752733032
therapy,1551,7.346655163176539
coronavirus,1543,7.341483852363161
years,1478,7.298445101508147
use,1477,7.29776828253138
most,1466,7.290292882446597
all,1452,7.280697195384741
who,1431,7.266128779556451
control,1425,7.261927092702751
other,1414,7.254177846456518
care,1413,7.253470382684528
symptoms,1410,7.251344983372214
it,1395,7.240649694255466
results,1383,7.232010331664759
used,1368,7.221105098182496
such,1304,7.1731917424865985
diagnosis,1290,7.162397497355718
high,1279,7.153833801578843
vaccination,1246,7.1276936993473985
review,1223,7.109062135687172
management,1219,7.105786129481271
ischemic,1218,7.1049654482698426
among,1215,7.102499355774649
its,1205,7.094234845924755
increased,1194,7.085064293952548
patient,1188,7.080026499922591
both,1186,7.078341579557671
age,1180,7.07326971745971
significant,1173,7.067319848653476
time,1170,7.064759027791802
first,1164,7.059617628291383
using,1155,7.051855622955894
no,1145,7.0431599159883405
should,1122,7.022868086082641
However,1114,7.01571242048723
new,1107,7.009408932708637
viral,1101,7.00397413672268
compared,1092,6.9957661563048505
1,1090,6.993932975223189
syndrome,1086,6.990256500493881
To,1083,6.9874902470009905
two,1082,6.9865664594064265
early,1081,6.985641817639208
different,1078,6.982862751468942
one,1074,6.97914527506881
those,1061,6.966967138613983
only,1058,6.964135612418245
important,1055,6.961296045910167
including,1051,6.957497370876951
well,1042,6.948897222313312
left,1036,6.943122422819428
rate,1026,6.933423025730715
ventricular,1023,6.930494765951626
population,1023,6.930494765951626
potential,1008,6.915723448631314
there,984,6.891625897052253
will,979,6.88653164253051
p,972,6.879355804460439
against,970,6.877296071497429
development,964,6.871091294610546
viruses,961,6.8679744089702925
present,959,6.8658910748834385
analysis,950,6.856461984594587
human,944,6.8501261661455
testing,940,6.84587987526405
higher,938,6.843749949006225
less,931,6.836259277277067
3,929,6.834108738813838
vaccines,920,6.824373670043086
test,914,6.81783057145415
evidence,912,6.815639990074331
significantly,911,6.814542897259958
about,904,6.806829360392176
response,899,6.80128303447162
role,897,6.799055862058796
reported,895,6.796823718274855
could,889,6.790097235513905
within,861,6.7580945044277305
artery,861,6.7580945044277305
case,858,6.754604099487962
number,858,6.754604099487962
current,856,6.752270376141742
function,850,6.745236349484363
groups,844,6.738152494595957
showed,831,6.7226297948554485
hospital,828,6.71901315438526
95,824,6.714170529909472
days,823,6.71295620067707
It,820,6.709304340258298
into,816,6.704414354964107
H1N1,815,6.703188113240863
effective,815,6.703188113240863
found,813,6.70073110954781
effects,806,6.692083742506628
infections,802,6.687108607866515
cardiac,800,6.684611727667927
when,800,6.684611727667927
transmission,787,6.668228248417403
strokes,787,6.668228248417403
outcomes,782,6.661854740545311
positive,782,6.661854740545311
severity,779,6.658011045870748
due,774,6.651571873589727
heart,772,6.648984550024776
prevention,771,6.647688373563329
over,769,6.645090969505644
death,765,6.639875833826536
incidence,765,6.639875833826536
These,765,6.639875833826536
cells,764,6.638567789166521
changes,764,6.638567789166521
-,756,6.628041376179533
without,756,6.628041376179533
2019,756,6.628041376179533
increase,753,6.6240652277998935
cause,746,6.61472560020376
common,745,6.61338421837956
research,744,6.612041034833092
our,738,6.6039438246004725
chronic,736,6.601230118728877
medical,734,6.598509028614515
novel,730,6.593044534142437
diagnostic,728,6.590301048196686
outcome,721,6.580639137284949
available,719,6.577861357721047
