word,frequency,log frequency
the,320154,12.676557409012267
of,272429,12.515133308677552
and,210965,12.259447521921878
in,166505,12.022780617981773
to,130994,11.78290679960765
a,99924,11.512165176023819
with,79640,11.285271758178133
for,61762,11.031043567594015
is,56639,10.944453072844512
patient,56514,10.942243674050872
wa,40286,10.603759293038369
that,37588,10.534440129502956
asthma,35784,10.485256145112684
stroke,33362,10.415172806714
thi,32888,10.400863128577715
were,32869,10.400285243317475
as,31470,10.356789990058452
on,30820,10.335919108874107
are,30677,10.331268467127707
influenza,30005,10.309119313423613
by,29993,10.308719300084501
be,29880,10.304944639246754
studi,27274,10.21368914641778
infarct,25119,10.131379810872541
an,24656,10.112775557559896
we,23990,10.08539235583374
from,23955,10.083932349317223
or,23263,10.054619394540044
use,22943,10.040768158070161
diseas,22329,10.01364156102802
vaccin,21946,9.996340169550745
have,21562,9.978687785099064
acut,20355,9.921081860937079
myocardi,20103,9.90862433664128
sever,18801,9.841665338892785
it,18197,9.809012024313242
infect,17901,9.792611856190192
clinic,17699,9.781263419790754
covid-19,17594,9.77531321381262
at,17053,9.744081420312915
ha,16835,9.731215331595175
sars-cov-2,16582,9.716073048676163
treatment,15543,9.651365655482898
risk,15449,9.64529955531205
after,15308,9.636130846545592
been,14817,9.603530449208735
effect,14744,9.59859149934966
not,14548,9.58520880610688
these,14451,9.57851889529833
test,14404,9.575261224768767
pandem,13296,9.49521851709523
case,13115,9.481511892300974
group,13093,9.479833015227753
may,12824,9.459073694289389
viru,12521,9.435162513668947
increas,12351,9.421492310438014
associ,12213,9.410256237171089
than,12107,9.40153907670774
dure,11922,9.386140711779872
which,11762,9.372629275019902
result,11755,9.37203396097417
develop,11747,9.371353167823885
between,11645,9.36263218231844
control,10897,9.296242800976886
can,10858,9.292657414465397
caus,10712,9.279119887371008
respiratori,10640,9.272375762895635
more,10579,9.266626182986775
factor,10508,9.259892150805431
year,10497,9.258844781035798
differ,10439,9.253304071408298
health,10209,9.231024963169016
background,10109,9.221181395154058
includ,9980,9.20833836930551
but,9672,9.176990392294629
therapi,9669,9.176680170483548
children,9657,9.175438319966918
had,9489,9.15788851197376
present,9406,9.149103062504993
symptom,9314,9.139273923542323
report,9265,9.13399913871946
hospit,9108,9.11690842718363
their,9021,9.107310471656639
data,8962,9.100748695346088
mortal,8955,9.099967314494812
2,8773,9.079434102128383
coronari,8755,9.077380244719953
there,8668,9.067393362656249
coronaviru,8654,9.06577692078483
respons,8636,9.063694791634697
rate,8600,9.0595174822416
also,8508,9.048762176320128
care,8500,9.047821442478408
age,8461,9.0432226489245
who,8455,9.042513261332681
prevent,8402,9.036225051729327
compar,8285,9.022201929860664
all,8267,9.020026965252676
review,8241,9.016876974763383
most,8176,9.008958312443486
time,8087,8.998013113095823
other,8009,8.988321188323683
assess,7848,8.9680140012452
howev,7693,8.948066103458935
function,7629,8.93971205409023
evalu,7596,8.935377071932177
improv,7549,8.929170383139624
outcom,7518,8.925055424124123
import,7463,8.917712757131387
manag,7445,8.915297945118109
among,7394,8.908424139496578
provid,7141,8.87360810154911
detect,7081,8.865170419651774
popul,7045,8.86007342433278
such,7038,8.85907931788153
measur,6934,8.844192126244968
no,6933,8.84404789894249
identifi,6919,8.842026529498812
show,6887,8.837390855544697
both,6874,8.835501457409778
current,6811,8.826294231241318
one,6803,8.825118970345061
aim,6700,8.809862805379057
p,6684,8.807471889715284
signific,6666,8.804775258867686
activ,6664,8.804475183846678
high,6646,8.801770448914539
cell,6554,8.787830829258759
potenti,6543,8.78615105486974
diagnosi,6536,8.785080636539838
medic,6500,8.779557455883728
human,6408,8.765302488748196
arteri,6388,8.762176509334903
syndrom,6373,8.759825595314295
level,6360,8.757783656334167
first,6321,8.751632702472298
object,6315,8.750683034784592
ischem,6313,8.750366278367625
two,6293,8.747193183526933
earli,6288,8.746398334109042
new,6282,8.745443680098592
emerg,6266,8.742893471512136
death,6256,8.741296282225147
reduc,6253,8.740816627567298
model,6230,8.737131611781498
our,6197,8.731820582962108
suggest,6131,8.721113147762688
chang,6051,8.707978826622321
system,5984,8.696844519654313
viral,5858,8.675563527387679
day,5827,8.670257567143075
investig,5810,8.667335849845957
need,5773,8.660947155060933
determin,5753,8.657476736863293
immun,5714,8.65067458279072
those,5699,8.648045999835
perform,5659,8.641002477142523
recent,5563,8.623892810075294
onli,5559,8.62317351495347
specif,5548,8.621192781434722
should,5518,8.615770754777232
follow,5390,8.592300663903043
mechan,5383,8.591001118560957
well,5312,8.57772369115627
left,5253,8.566554620953962
posit,5230,8.56216655705897
evid,5158,8.54830418644129
method,5156,8.547916364059079
virus,5110,8.53895468319775
ventricular,5098,8.53660358493606
drug,5090,8.53503310954457
strategi,5076,8.532278828834277
number,5071,8.531293315795018
airway,5059,8.528924114291936
against,4998,8.516793111394898
1,4969,8.51097389160232
trial,4937,8.504513138258863
role,4891,8.495152060539358
individu,4874,8.491670234185152
intervent,4861,8.488999457045455
will,4858,8.488382109562117
less,4777,8.471568013389962
relat,4764,8.46884293047519
when,4759,8.46779284112111
analysi,4734,8.46252579007393
gener,4718,8.45914025996762
observ,4700,8.45531778769815
sampl,4695,8.454253391642363
higher,4682,8.451480648050856
complic,4645,8.443546651247939
limit,4627,8.439663988907
indic,4604,8.434680769841773
about,4584,8.430327258394575
occur,4554,8.423761246623686
transmiss,4527,8.417814747435958
antibodi,4510,8.414052432496725
find,4503,8.412499120301572
base,4493,8.41027590907016
significantli,4482,8.407824654360873
examin,4477,8.406708458240965
lead,4461,8.403128235128264
avail,4434,8.397057390176256
cardiac,4433,8.396831834745054
could,4428,8.395703293828527
remain,4426,8.395251520610994
season,4425,8.39502555744203
describ,4407,8.390949464841986
possibl,4392,8.387539983189367
incid,4341,8.375860015299594
found,4332,8.37378460812088
research,4319,8.3707791729607
3,4311,8.368925174747135
major,4310,8.368693183097793
due,4280,8.361708288575842
into,4219,8.347353412124338
inform,4217,8.34687925374656
within,4209,8.344980368770571
diagnost,4188,8.339978571990427
