link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/27486731/,Human Influenza Virus Infections,"Seasonal and pandemic influenza are the two faces of respiratory infections caused by influenza viruses in humans. As seasonal influenza occurs on an annual basis, the circulating virus strains are closely monitored and a yearly updated vaccination is provided, especially to identified risk populations. Nonetheless, influenza virus infection may result in pneumonia and acute respiratory failure, frequently complicated by bacterial coinfection. Pandemics are, in contrary, unexpected rare events related to the emergence of a reassorted human-pathogenic influenza A virus (IAV) strains that often causes increased morbidity and spreads extremely rapidly in the immunologically naive human population, with huge clinical and economic impact. Accordingly, particular efforts are made to advance our knowledge on the disease biology and pathology and recent studies have brought new insights into IAV adaptation mechanisms to the human host, as well as into the key players in disease pathogenesis on the host side. Current antiviral strategies are only efficient at the early stages of the disease and are challenged by the genomic instability of the virus, highlighting the need for novel antiviral therapies targeting the pulmonary host response to improve viral clearance, reduce the risk of bacterial coinfection, and prevent or attenuate acute lung injury. This review article summarizes our current knowledge on the molecular basis of influenza infection and disease progression, the key players in pathogenesis driving severe disease and progression to lung failure, as well as available and envisioned prevention and treatment strategies against influenza virus infection.",,Christin Peteranderl;Susanne Herold;Carole Schmoldt
https://pubmed.ncbi.nlm.nih.gov/24891213/,Continuing challenges in influenza,"Influenza is an acute respiratory disease in mammals and domestic poultry that emerges from zoonotic reservoirs in aquatic birds and bats. Although influenza viruses are among the most intensively studied pathogens, existing control options require further improvement. Influenza vaccines must be regularly updated because of continuous antigenic drift and sporadic antigenic shifts in the viral surface glycoproteins. Currently, influenza therapeutics are limited to neuraminidase inhibitors; novel drugs and vaccine approaches are therefore urgently needed. Advances in vaccinology and structural analysis have revealed common antigenic epitopes on hemagglutinins across all influenza viruses and suggest that a universal influenza vaccine is possible. In addition, various immunomodulatory agents and signaling pathway inhibitors are undergoing preclinical development. Continuing challenges in influenza include the emergence of pandemic H1N1 influenza in 2009, human infections with avian H7N9 influenza in 2013, and sporadic human cases of highly pathogenic avian H5N1 influenza. Here, we review the challenges facing influenza scientists and veterinary and human public health officials; we also discuss the exciting possibility of achieving the ultimate goal of controlling influenza's ability to change its antigenicity.",H1N1; H5N1; H7N9; antigenic changes; antiviral drugs; influenza virus; pandemic; vaccines; zoonosis.,Robert G Webster;Elena A Govorkova
https://pubmed.ncbi.nlm.nih.gov/23809717/,Influenza,"Influenza is a common virus whose ability to change its genetic makeup allows for disease of pandemic proportion. This article summarizes the different strains of influenza circulating in the United States for the past century, the diagnosis and treatment of influenza, as well as the different ways to prevent disease. This information will be of value to clinicians caring for patients both in the hospital and in the community.",,Angelena M Labella;Susan E Merel
https://pubmed.ncbi.nlm.nih.gov/31845781/,Influenza: Diagnosis and Treatment,"Influenza is an acute viral respiratory infection that causes significant morbidity and mortality worldwide. Three types of influenza cause disease in humans. Influenza A is the type most responsible for causing pandemics because of its high susceptibility to antigenic variation. Influenza is highly contagious, and the hallmark of infection is abrupt onset of fever, cough, chills or sweats, myalgias, and malaise. For most patients in the outpatient setting, the diagnosis is made clinically, and laboratory confirmation is not necessary. Laboratory testing may be useful in hospitalized patients with suspected influenza and in patients for whom a confirmed diagnosis will change treatment decisions. Rapid molecular assays are the preferred diagnostic tests because they can be done at the point of care, are highly accurate, and have fast results. Treatment with one of four approved anti-influenza drugs may be considered if the patient presents within 48 hours of symptom onset. The benefit of treatment is greatest when antiviral therapy is started within 24 hours of symptom onset. These drugs decrease the duration of illness by about 24 hours in otherwise healthy patients and may decrease the risk of serious complications. No anti-influenza drug has been proven superior. Annual influenza vaccination is recommended for all people six months and older who do not have contraindications.",,David Y Gaitonde;Faith C Moore;Mackenzie K Morgan
https://pubmed.ncbi.nlm.nih.gov/20007905/,2009 H1N1 influenza,"Within 2 months of its discovery last spring, a novel influenza A (H1N1) virus, currently referred to as 2009 H1N1, caused the first influenza pandemic in decades. The virus has caused disproportionate disease among young people with early reports of virulence similar to that of seasonal influenza. This clinical review provides an update encompassing the virology, epidemiology, clinical manifestations, diagnosis, treatment, and prevention of the 2009 H1N1 virus. Because information about this virus, its prevention, and treatment are rapidly evolving, readers are advised to seek additional information. We performed a literature search of PubMed using the following keywords: H1N1, influenza, vaccine, pregnancy, children, treatment, epidemiology, and review. Studies were selected for inclusion in this review on the basis of their relevance. Recent studies and articles were preferred.",,Seth J Sullivan;Robert M Jacobson;Walter R Dowdle;Gregory A Poland
https://pubmed.ncbi.nlm.nih.gov/27641976/,Influenza in Children,"In children, influenza is one among the commonest causes of acute respiratory illness and loss of school days. Influenza A, B, and C are 3 types of viruses responsible for illness. Type A virus has many subtypes based on antigens but Type B and Type C viruses have no known subtypes. Currently, influenza A/H1N1, A/H3N2, and influenza type B viruses are circulating in humans. Transmission of influenza occurs through droplets from infected person or through direct contact with person or fomites. Clinically, influenza is characterized by acute onset fever, chills, running nose, cough, sore throat, headache and myalgia. Mostly, febrile illness lasts for 3-4 d with resolution of disease in 7-10 d. Confirmation of influenza can be done either by virus culture, RT-PCR or specific neutralizing antibodies in blood. Basic principles of management include prompt institution of infection control measures, early identification of children at higher risk, supportive care and antiviral drugs. Vaccine and chemoprophylaxis are two commonly used methods for prevention of influenza. Currently, inactivated influenza vaccine (IIV) and live attenuated influenza vaccine (LAIV) are available for use with good efficacy. Cough etiquette, use of face masks and hand hygiene are the most important measures to reduce the risk of infection transmission from person to person.",H1N1; Influenza; Influenza vaccine; Oseltamivir.,Virendra Kumar
https://pubmed.ncbi.nlm.nih.gov/31027663/,Seasonal Influenza (Flu),"Seasonal influenza, or flu, is an airborne respiratory virus that occurs every year in the fall to early spring in the United States. The virus is highly contagious and symptoms can run from mild to severe. In some populations (very young, individuals with chronic comorbid conditions, immunocompromised individuals of all ages, pregnant women, and frail older adults), the virus can lead to increased morbidity and mortality. In a majority of cases, seasonal influenza is preventable through safe and readily available vaccinations.",Influenza prevention; Management recommendations; Seasonal influenza; Special populations.,Linda J Keilman
https://pubmed.ncbi.nlm.nih.gov/32048225/,Influenza,"Influenza continues to baffle humans by its constantly changing nature. The twenty-first century has witnessed considerable advances in the understanding of the influenza viral pathogenesis, its synergy with bacterial infections and diagnostic methods. However, challenges continue: to find a less expensive and more reliable point-of-care test for use in developing countries, to produce more efficacious antiviral drugs, to explore ways to combat emerging antiviral resistance and to develop vaccines that can either be produced in a shorter production time or can overcome the need for annual matching with the circulating influenza strains. Most importantly for India, as a nation that suffered the highest mortality in the influenza pandemic 1918, there is an urgent need to gear up our existing preparedness for the next pandemic which is capable to hit at any moment in time.",Hemagglutinin; Influenza; Influenza vaccines; Neuraminidase; Oseltamivir; Pandemic.,Dhanya Dharmapalan
https://pubmed.ncbi.nlm.nih.gov/28869984/,Influenza,"Influenza is an acute viral respiratory disease that affects persons of all ages and is associated with millions of medical visits, hundreds of thousands of hospitalizations, and thousands of deaths during annual winter epidemics of variable severity in the United States. Elderly persons have the highest influenza-associated hospitalization and mortality rates. The primary method of prevention is annual vaccination. Early antiviral treatment has the greatest clinical benefit; otherwise, management includes adherence to recommended infection prevention and control measures as well as supportive care of complications.",,Timothy M Uyeki
https://pubmed.ncbi.nlm.nih.gov/28346272/,Influenza in children,"Purpose of review: We review the current information and evidence available on the global burden of disease in the pediatric population, clinical presentation and complications, testing, treatment, and immunization.",,Janienne Kondrich;Michele Rosenthal
