link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/29880128/,Artificial Intelligence in Cardiology,"Artificial intelligence and machine learning are poised to influence nearly every aspect of the human condition, and cardiology is not an exception to this trend. This paper provides a guide for clinicians on relevant aspects of artificial intelligence and machine learning, reviews selected applications of these methods in cardiology to date, and identifies how cardiovascular medicine could incorporate artificial intelligence in the future. In particular, the paper first reviews predictive modeling concepts relevant to cardiology such as feature selection and frequent pitfalls such as improper dichotomization. Second, it discusses common algorithms used in supervised learning and reviews selected applications in cardiology and related disciplines. Third, it describes the advent of deep learning and related methods collectively called unsupervised learning, provides contextual examples both in general medicine and in cardiovascular medicine, and then explains how these methods could be applied to enable precision cardiology and improve patient outcomes.",artificial intelligence; cardiology; machine learning; precision medicine.,Kipp W Johnson;Jessica Torres Soto;Benjamin S Glicksberg;Khader Shameer;Riccardo Miotto;Mohsin Ali;Euan Ashley;Joel T Dudley
https://pubmed.ncbi.nlm.nih.gov/30361497/,Computational models in cardiology,"The treatment of individual patients in cardiology practice increasingly relies on advanced imaging, genetic screening and devices. As the amount of imaging and other diagnostic data increases, paralleled by the greater capacity to personalize treatment, the difficulty of using the full array of measurements of a patient to determine an optimal treatment seems also to be paradoxically increasing. Computational models are progressively addressing this issue by providing a common framework for integrating multiple data sets from individual patients. These models, which are based on physiology and physics rather than on population statistics, enable computational simulations to reveal diagnostic information that would have otherwise remained concealed and to predict treatment outcomes for individual patients. The inherent need for patient-specific models in cardiology is clear and is driving the rapid development of tools and techniques for creating personalized methods to guide pharmaceutical therapy, deployment of devices and surgical interventions.",,Steven A Niederer;Joost Lumens;Natalia A Trayanova
https://pubmed.ncbi.nlm.nih.gov/32361851/,Advances in Clinical Cardiology 2019: A Summary of Key Clinical Trials,Introduction: A large number of important clinical trials in cardiology were published or presented at major international conferences during 2019. This paper aims to offer a concise overview of these significant advances and to put them into clinical context.,Acute coronary syndrome; Anticoagulation; Atrial fibrillation; Cardiology; Coronary revascularisation; Heart failure; Lipids; Mitral clip; Myocardial infarction; Transcatheter aortic valve implantation.,Katie Linden;Jonathan Mailey;Aileen Kearney;Ian B A Menown
https://pubmed.ncbi.nlm.nih.gov/31961076/,[Cardiology],"In 2019, the guidelines on the new entity « chronic coronary syndrome » have been published. They influence importantly the work-up and treatment of patients with stable coronary artery disease. We will also report on publications showing the benefit of percutaneous aortic valve implantation (TAVI) in patients with aortic stenosis and low risk surgical risk. With regard to infectious endocarditis, we elucidate the importance of the vegetation's size for predicting mortality and the prognostic value of the positron emission tomography in predicting septic embolism. We highlight the spectacular results of the DAPA-HF study in patients with heart failure and review publications showing the important role of the detection of myocardial fibrosis and scar by cardiac MRI for risk stratification of sudden cardiac death.",,David Meier;Stéphane Fournier;Nicolas Barras;Julien Regamey;Sabina Rosset;Anna-Giulia Pavon;Christel H Kamani;Antoine Deliniere;Giulia Domenichini;Denis Graf;Roger Hullin;Patrizio Pascale;Grégoire Girod;Éric Eeckhout;Juerg Schwitter;John O Prior;Étienne Pruvot;Judith Bouchardy;Pierre Monney;Olivier Muller;Tobias Rutz
https://pubmed.ncbi.nlm.nih.gov/32284113/,Nuclear Cardiology in Asia,"Nuclear cardiology for patients with ischemic heart disease and cardiac failure is expanding in Asia, although quite heterogeneously. In Asia, Israel showed the highest utilization with more than 1000 scans/100,000 inhabitants a year followed by Korea, Japan, UAE, Turkey, Australia (250-999 scans/100,000). Saudi Arabia, Kuwait, Jordan, Lebanon, Iran, and Pakistan practiced 60-99 scans/100,000. Most of South East Asian countries, China, India, and Bangladesh practiced 1-50 scans/100,000 per year. Countries in Central Asia, Mongolia, Vietnam, Cambodia, Lao, Myanmar, Nepal, and Bhutan showed limited use or no nuclear cardiology practice. Myocardial perfusion imaging (MPI) in Asia was characterized by more frequent use of 201Tl, less use of weight-based 99mTc dosing, and a trend toward a lower rate of stress-only imaging. Accordingly, the effective dose in nuclear cardiology practices was higher than those of the rest of the world. 99Mo-99mTc generators are available in most countries, relying mainly on the global supply chain because there is little supply chain beyond countries within the region. In practice, the threshold values of left ventricular ejection fraction, end-systolic volume, and end-diastolic volume between normal and pathologic states were set based on the regional normal database in China and Japan because these values were dependent on age, gender, and body weight. The purpose of the MPI SPECT study was to evaluate myocardial ischemia in symptomatic patients with chest pain, effects of percutaneous coronary intervention and coronary artery bypass-graft, and cardiac function in patients with chronic heart failure. The ability of 99mTc-based MPI for predicting hard cardiac events was confirmed in Asian inhabitants with low risk of ischemic heart disease. Human resource development of nuclear medicine professional and public awareness of nuclear medicine is key issues to promote nuclear cardiology in Asia. International organizations such as the International Atomic Energy Agency and academic organizations in the region such as Asia Oceania Federation of Nuclear Medicine and Biology, Asia Regional Cooperative Council for Nuclear Medicine, East Asia Nuclear Medicine Association, and Arab Society of Nuclear Medicine have an important role in addition to national Societies of Nuclear Medicine in each country and region.",,Jun Hatazawa;Durre Sabih;Yaming Li;Prasanta Kumar Pradhan;Diana Paez
https://pubmed.ncbi.nlm.nih.gov/23367700/,[Cardiology],"The present review provides a selected choice of clinical research in the field of interventional cardiology, heart failure and cardiac imaging. We also focused on the new guidelines published by the European society of cardiology in 2012.",,M Tapponnier;N Yarol;G Vincenti;R Hullin;J Schwitter;O Muller
https://pubmed.ncbi.nlm.nih.gov/21309167/,[Cardiology],"The present review provides a selected choice of clinical research in the field of interventional cardiology, electrophysiology and cardiac imaging. We also focused on the new guidelines published by the European society of cardiology in 2010 (revascularization, atrial fibrillation and device therapy in heart failure).",,O Muller;C Trana;Y Roux;E Pruvot;D Graf;X Jeanrenaud;D Locca;P Vogt
https://pubmed.ncbi.nlm.nih.gov/29949039/,Advances in Clinical Cardiology 2017: A Summary of Key Clinical Trials,Introduction: Numerous important cardiology clinical trials have been published or presented at major international meetings during 2017. This paper aims to summarize these trials and place them in clinical context.,Acute coronary syndrome; Anticoagulation; Atrial fibrillation; Bioabsorbable polymer; Cardiology; Coronary revascularization; Heart failure; Lipids; Myocardial infarction; Patent foramen ovale; Transcatheter aortic valve implantation.,Conor McQuillan;Alastair Gray;Aileen Kearney;Ian B A Menown
https://pubmed.ncbi.nlm.nih.gov/16547558/,Tele-cardiology,"After defining tele-medicine, we describe its situation in the public health service of South Africa and its application to cardiology. Methods of communication relevant to tele-cardiology are outlined, together with their bearing on primary healthcare. The range of tele-cardiological applications to electrocardiology, echocardiology, auscultation, imaging and pathology are indicated. Tele-cardiology's contributions to a range of cardiological problems and types of management are described briefly. Finally, a mention is made of the relevance of tele-medicine to education and the costs related to cardiology, with an indication of some future needs for tele-cardiology.",,M Molefi;J Fortuin;S Wynchank
https://pubmed.ncbi.nlm.nih.gov/26318161/,"2015 ESC/ERS Guidelines for the diagnosis and treatment of pulmonary hypertension: The Joint Task Force for the Diagnosis and Treatment of Pulmonary Hypertension of the European Society of Cardiology (ESC) and the European Respiratory Society (ERS): Endorsed by: Association for European Paediatric and Congenital Cardiology (AEPC), International Society for Heart and Lung Transplantation (ISHLT)","Guidelines summarize and evaluate all available evidence on a particular issue at the time of the writing process, with the aim of assisting health professionals in selecting the best management strategies for an individual patient with a given condition, taking into account the impact on outcome, as well as the risk-benefit ratio of particular diagnostic or therapeutic means. Guidelines and recommendations should help health professionals to make decisions in their daily practice. However, the final decisions concerning an individual patient must be made by the responsible health professional(s) in consultation with the patient and caregiver as appropriate.",,Nazzareno Galiè;Marc Humbert;Jean-Luc Vachiery;Simon Gibbs;Irene Lang;Adam Torbicki;Gérald Simonneau;Andrew Peacock;Anton Vonk Noordegraaf;Maurice Beghetti;Ardeschir Ghofrani;Miguel Angel Gomez Sanchez;Georg Hansmann;Walter Klepetko;Patrizio Lancellotti;Marco Matucci;Theresa McDonagh;Luc A Pierard;Pedro T Trindade;Maurizio Zompatori;Marius Hoeper
