link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/30660783/,Therapy for Pulmonary Arterial Hypertension in Adults: Update of the CHEST Guideline and Expert Panel Report,"Background: Pulmonary arterial hypertension (PAH) carries a poor prognosis if not promptly diagnosed and appropriately treated. The development and approval of 14 medications over the last several decades have led to a rapidly evolving approach to therapy, and have necessitated periodic updating of evidence-based treatment guidelines. This guideline statement, which now includes a visual algorithm to enhance its clinical utility, represents the fourth iteration of the American College of Chest Physicians Guideline and Expert Panel Report on Pharmacotherapy for PAH.",evidence-based medicine; guidelines; pulmonary arterial hypertension (PAH).,James R Klinger;C Gregory Elliott;Deborah J Levine;Eduardo Bossone;Laura Duvall;Karen Fagan;Julie Frantsve-Hawley;Steven M Kawut;John J Ryan;Erika B Rosenzweig;Nneka Sederstrom;Virginia D Steen;David B Badesch
https://pubmed.ncbi.nlm.nih.gov/32166988/,Artificial intelligence and machine learning in respiratory medicine,"Introduction: The application of artificial intelligence (AI) and machine learning (ML) in medicine and in particular in respiratory medicine is an increasingly relevant topic.Areas covered: We aimed to identify and describe the studies published on the use of AI and ML in the field of respiratory diseases. The string '(((pulmonary) OR respiratory)) AND ((artificial intelligence) OR machine learning)' was used in PubMed as a search strategy. The majority of studies identified corresponded to the area of chronic obstructive pulmonary disease (COPD), in particular to COPD and chest computed tomography scans, interpretation of pulmonary function tests, exacerbations and treatment. Another field of interest is the application of AI and ML to the diagnosis of interstitial lung disease, and a few other studies were identified on the fields of mechanical ventilation, interpretation of images on chest X-ray and diagnosis of bronchial asthma.Expert opinion: ML may help to make clinical decisions but will not replace the physician completely. Human errors in medicine are associated with large financial losses, and many of them could be prevented with the help of AI and ML. AI is particularly useful in the absence of conclusive evidence of decision-making.",Artificial intelligence; COPD; machine learning; pulmonary fibrosis; respiratory diseases.,Evgeni Mekov;Marc Miravitlles;Rosen Petkov
https://pubmed.ncbi.nlm.nih.gov/32971076/,Change: Leadership Essentials for Chest Medicine Professionals,"Change is a fact of life; the absence of change creates stagnation. This is perhaps especially true in health care, where progress in treating disease depends on innovation and progress. At the same time, change is often uncomfortable. Thus, it is helpful to model the change process to optimize the chances of successfully effecting change. Furthermore, how to lead change is a critical leadership competency. Three models for leading change are reviewed: the first-the eight stages of change-which was not designed for health care; the second called ""switch""; and the third called Amicus, which was uniquely designed for health care. The models share many common features, with the explicit reminder in the third model that physicians should be involved in the change effort early. Although sparse, the evidence does suggest the applicability of these models to health care. Beyond having a roadmap for leading change, it is helpful to assess the worthiness of undertaking a change effort and of predicting the phasic response to change efforts, given that humans are often change-averse. In this regard, both the ""payoff matrix"" and the change curve, derived from the work of Kübler-Ross on grieving, are offered as tools. Finally, physicians' avidity for change is framed by two opposing vectors. On the one hand, physicians share in the general human aversion to change. On the other hand, physicians are data-reverent and also wish to do their best for patients, which encourages their embrace of ever-increasing evidence and change.",change; leadership; models.,James K Stoller
https://pubmed.ncbi.nlm.nih.gov/32956716/,"Leadership Essentials for CHEST Medicine Professionals: Models, Attributes, and Styles","In the context that leadership matters and that leadership competencies differ from those needed to practice medicine or conduct research, developing leadership competencies for physicians is important. Indeed, effective leadership is needed ubiquitously in health care, both at the executive level and at the bedside (eg, leading clinical teams and problem-solving on the ward). Various leadership models have been proposed, most converging on common attributes, like envisioning a new and better future state, inspiring others around this shared vision, empowering others to effect the vision, modeling the expected behaviors, and engaging others by appealing to shared values. Attention to creating an organizational culture that is informed by the seven classic virtues (trust, compassion, courage, justice, wisdom, temperance, and hope) can also unleash discretionary effort in the organization to achieve high performance. Health care-specific leadership competencies include: technical expertise, not only in one's clinical/scientific arena to garner colleagues' respect but also regarding operations; strategic thinking; finance; human resources; and information technology. Also, knowledge of the regulatory and legislative environments of health care is critical, as is being a problem-solver and lifelong learner. Perhaps most important to leadership in health care, as in all sectors, is having emotional intelligence. A spectrum of leadership styles has been described, and effective leaders are facile in deploying each style in a situationally appropriate way. Overall, leadership competencies can be developed, and leadership development programs are signature features of leading health-care organizations.",change; emotional intelligence; leadership.,James K Stoller
https://pubmed.ncbi.nlm.nih.gov/30286833/,COPD Guidelines: A Review of the 2018 GOLD Report,"Global Strategy for the Diagnosis, Management, and Prevention of COPD 2018 is a consensus report published periodically since 2001 by an international panel of health professionals from respiratory medicine, socioeconomics, public health, and education comprising the Global Initiative for Chronic Obstructive Lung Disease (GOLD). The GOLD documents endeavor to incorporate latest evidence and expert consensus and are intended for use as ""strategy documents"" for implementation of effective care for chronic obstructive lung disease (COPD) on a global level. The GOLD 2018 report defines COPD as a ""common, preventable and treatable disease that is characterized by persistent respiratory symptoms and airflow limitation that is due to airway and/or alveolar abnormalities, usually caused by significant exposure to noxious particles or gases,"" with the criteria of ""persistent respiratory symptoms"" being a new and controversial inclusion since 2017. With the availability of newer pharmacotherapy options, treatment recommendations are made on the basis of a review of the latest literature and directed by symptom burden and health care utilization. Apart from the change in definition, a major shift in the recommendations is the exclusion of severity of airflow limitation as one of the major factors in guiding therapy. We review the salient features of the GOLD 2018 document and provide commentary on features that merit further discussion based on our clinical experience and practice as well as literature review current as of February 2018.",,Shireen Mirza;Ryan D Clay;Matthew A Koslow;Paul D Scanlon
https://pubmed.ncbi.nlm.nih.gov/32956713/,Emotional Intelligence: Leadership Essentials for Chest Medicine Professionals,"Emotional intelligence (EI) has become widely appreciated as an important leadership attribute, in business, education and, increasingly, in health care. Defined as ""the capacity to understand your own and others' emotions and to motivate and develop yourself and others in service of improved work performance and enhanced organizational effectiveness,"" EI is correlated with a number of success attributes in several sectors; for example, in business, with enhanced business performance and enhanced personal career success, and in health care, with enhanced patient satisfaction, lower burnout, lower litigation risk, and enhanced leadership success. While multiple models of EI have evolved, perhaps the most popular model is framed around four general rubrics with component competencies. The general rubrics are: self-awareness, self-management, social awareness, and relationship management. EI can be measured by using available instruments, and it can be learned and taught. Indeed, teaching EI has become increasingly common in health-care organizations in service of improving health care and health-care leadership. Although more research is needed, ample evidence supports the notion that EI is a critical success element for success as a health-care leader, especially because EI competencies differ markedly from the clinical and scientific skills that are core to being a clinician and/or investigator. This review of EI presents evidence in support of the relevance of EI to health care and health-care leadership, discusses how and when EI can be developed among health-care providers, and considers remaining questions.",emotional intelligence; leadership; relationship management; self-awareness; self-management.,James K Stoller
https://pubmed.ncbi.nlm.nih.gov/31078210/,Incorporating Lung Diffusing Capacity for Carbon Monoxide in Clinical Decision Making in Chest Medicine,"Lung diffusing capacity for carbon monoxide (Dlco) remains the only noninvasive pulmonary function test to provide an integrated picture of gas exchange efficiency in human lungs. Due to its critical dependence on the accessible ""alveolar"" volume (Va), there remains substantial misunderstanding on the interpretation of Dlco and the diffusion coefficient (Dlco/Va ratio, Kco). This article presents the physiologic and methodologic foundations of Dlco measurement. A clinically friendly approach for Dlco interpretation that takes those caveats into consideration is outlined. The clinical scenarios in which Dlco can effectively assist the chest physician are discussed and illustrative clinical cases are presented.",Dyspnea; Gas exchange; Hypoxia; Lung diffusing capacity; Lung function.,J Alberto Neder;Danilo C Berton;Paulo T Muller;Denis E O'Donnell
https://pubmed.ncbi.nlm.nih.gov/31273040/,The Global Initiative for Asthma (GINA): 25 years later,"The Global Initiative for Asthma (GINA) was launched in 1993 under the auspices of the National Heart, Lung, and Blood Institute, National Institutes of Health, USA, and the World Health Organization to produce a global strategy on asthma management and prevention. Now constituted as a non-profit entity, it continues to produce, on an annual basis, the most widely cited evidence-based report on the optimal management of asthma in both adults and children intended for global use. Although the GINA Report is often viewed and used as an asthma treatment guideline, it is designed to be a clinically oriented strategy document that supports the development of practice guidelines in different countries and regions.Other GINA products, including the report's pocket guides, teaching slide kits and implementation tools, are also offered free of charge for public use. The GINA Scientific Committee comprises recognised international experts from primary, secondary and tertiary centres of care who are actively involved in both the care of patients and research in asthma. The GINA Assembly is a forum for exchange of scientific information and discussions on initiatives to improve asthma care in various countries, focusing on implementation strategies. GINA plays a role in shaping research on the diagnosis and treatment of asthma and informs the development of point of care practice guides and decision support tools. GINA supports the objectives of raising awareness of asthma and improving access to therapy and quality of care for asthmatic patients, in addition to presenting and promoting continuously updated evidence-based treatment approaches for global use.",,Louis-Philippe Boulet;Helen K Reddel;Eric Bateman;Søren Pedersen;J Mark FitzGerald;Paul M O'Byrne
https://pubmed.ncbi.nlm.nih.gov/25792635/,Management of bronchiectasis in adults,"Formerly regarded as a rare disease, bronchiectasis is now increasingly recognised and a renewed interest in the condition is stimulating drug development and clinical research. Bronchiectasis represents the final common pathway of a number of infectious, genetic, autoimmune, developmental and allergic disorders and is highly heterogeneous in its aetiology, impact and prognosis. The goals of therapy should be: to improve airway mucus clearance through physiotherapy with or without adjunctive therapies; to suppress, eradicate and prevent airway bacterial colonisation; to reduce airway inflammation; and to improve physical functioning and quality of life. Fortunately, an increasing body of evidence supports interventions in bronchiectasis. The field has benefited greatly from the introduction of evidence-based guidelines in some European countries and randomised controlled trials have now demonstrated the benefit of long-term macrolide therapy, with accumulating evidence for inhaled therapies, physiotherapy and pulmonary rehabilitation. This review provides a critical update on the management of bronchiectasis focussing on emerging evidence and recent randomised controlled trials.",,James D Chalmers;Stefano Aliberti;Francesco Blasi
https://pubmed.ncbi.nlm.nih.gov/24337046/,"International ERS/ATS guidelines on definition, evaluation and treatment of severe asthma","Severe or therapy-resistant asthma is increasingly recognised as a major unmet need. A Task Force, supported by the European Respiratory Society and American Thoracic Society, reviewed the definition and provided recommendations and guidelines on the evaluation and treatment of severe asthma in children and adults. A literature review was performed, followed by discussion by an expert committee according to the GRADE (Grading of Recommendations, Assessment, Development and Evaluation) approach for development of specific clinical recommendations. When the diagnosis of asthma is confirmed and comorbidities addressed, severe asthma is defined as asthma that requires treatment with high dose inhaled corticosteroids plus a second controller and/or systemic corticosteroids to prevent it from becoming ""uncontrolled"" or that remains ""uncontrolled"" despite this therapy. Severe asthma is a heterogeneous condition consisting of phenotypes such as eosinophilic asthma. Specific recommendations on the use of sputum eosinophil count and exhaled nitric oxide to guide therapy, as well as treatment with anti-IgE antibody, methotrexate, macrolide antibiotics, antifungal agents and bronchial thermoplasty are provided. Coordinated research efforts for improved phenotyping will provide safe and effective biomarker-driven approaches to severe asthma therapy.",,Kian Fan Chung;Sally E Wenzel;Jan L Brozek;Andrew Bush;Mario Castro;Peter J Sterk;Ian M Adcock;Eric D Bateman;Elisabeth H Bel;Eugene R Bleecker;Louis-Philippe Boulet;Christopher Brightling;Pascal Chanez;Sven-Erik Dahlen;Ratko Djukanovic;Urs Frey;Mina Gaga;Peter Gibson;Qutayba Hamid;Nizar N Jajour;Thais Mauad;Ronald L Sorkness;W Gerald Teague
