link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/31349596/,Metabonomics in Gastroenterology and Hepatology,"Attempts have been made to reveal the true nature of a range of puzzling diseases within gastroenterology and hepatology using different kinds of omics, namely genomics, transcriptomics, proteomics, and metabonomics [...].",,Jacob Tveiten Bjerrum;Ole Haagen Nielsen
https://pubmed.ncbi.nlm.nih.gov/31726779/,Biomaterials in Gastroenterology: A Critical Overview,"In spite of the large diversity of diagnostic and interventional devices associated with gastrointestinal endoscopic procedures, there is little information on the impact of the biomaterials (metals, polymers) contained in these devices upon body tissues and, indirectly, upon the treatment outcomes. Other biomaterials for gastroenterology, such as adhesives and certain hemostatic agents, have been investigated to a greater extent, but the information is fragmentary. Much of this situation is due to the paucity of details disclosed by the manufacturers of the devices. Moreover, for most of the applications in the gastrointestinal (GI) tract, there are no studies available on the biocompatibility of the device materials when in intimate contact with mucosae and other components of the GI tract. We have summarized the current situation with a focus on aspects of biomaterials and biocompatibility related to the device materials and other agents, with an emphasis on the GI endoscopic procedures. Procedures and devices used for the control of bleeding, for polypectomy, in bariatrics, and for stenting are discussed, particularly dwelling upon the biomaterial-related features of each application. There are indications that research is progressing steadily in this field, and the establishment of the subdiscipline of ""gastroenterologic biomaterials"" is not merely a remote projection. Upon the completion of this article, the gastroenterologist should be able to understand the nature of biomaterials and to achieve a suitable and beneficial perception of their significance in gastroenterology. Likewise, the biomaterialist should become aware of the specific tasks that the biomaterials must fulfil when placed within the GI tract, and regard such applications as both a challenge and an incentive for progressing the research in this field.",bariatric devices; biocompatibility; biomaterials; endoscopic devices; gastrointestinal tract; hemostasis; stents; surgical adhesives.,Adrian Goldis;Ramona Goldis;Traian V Chirila
https://pubmed.ncbi.nlm.nih.gov/11806164/,Gastroenterology,"Gastroenterology and hepatology are dynamic and changing fields. Recent scientific advances have improved the understanding of disease pathogenesis and have made possible more effective therapies than ever available previously. An enormous number of individuals are afflicted with these gastrointestinal and hepatic disorders and conditions. This article has systematically presented some of the most prevalent gastrointestional disorders with emphasis on current therapies, recent advances, and future directions in disease management. The material presented is intended as a review which the authors hope will be helpful in caring for patients with these conditions.",,David N Quinn;Sheryl A Pfeil
https://pubmed.ncbi.nlm.nih.gov/29271722/,Telemedicine in Pediatric Gastroenterology: An Overview of Utility,"Background: The availability of pediatric subspecialty services is a problem evident throughout the United States. Access to pediatric gastroenterology services, especially in rural areas, can be scarce. Telemedicine has been proposed as a tool capable of decreasing healthcare costs while extending medical care.",gastroenterology; pediatrics; rural; subspecialty; telehealth; telemedicine.,John M Stone;Troy E Gibbons
https://pubmed.ncbi.nlm.nih.gov/25812623/,Ultrasonography in gastroenterology,"Ultrasonography (US) is a safe and available real-time, high-resolution imaging method, which during the last decades has been increasingly integrated as a clinical tool in gastroenterology. New US applications have emerged with enforced data software and new technical solutions, including strain evaluation, three-dimensional imaging and use of ultrasound contrast agents. Specific gastroenterologic applications have been developed by combining US with other diagnostic or therapeutic methods, such as endoscopy, manometry, puncture needles, diathermy and stents. US provides detailed structural information about visceral organs without hazard to the patients and can play an important clinical role by reducing the need for invasive procedures. This paper presents different aspects of US in gastroenterology, with a special emphasis on the contribution from Nordic scientists in developing clinical applications.",clinical; endoscopy; functional-disorders; gastroduodenal; gastroenterology; interventional; ultrasound.,Svein Ødegaard;Lars B Nesje;Trygve Hausken;Odd Helge Gilja
https://pubmed.ncbi.nlm.nih.gov/30540704/,"Fecal Microbiota Transplantation for Recurrent Clostridium difficile Infection and Other Conditions in Children: A Joint Position Paper From the North American Society for Pediatric Gastroenterology, Hepatology, and Nutrition and the European Society for Pediatric Gastroenterology, Hepatology, and Nutrition","Fecal microbiota transplantation (FMT) is becoming part of the treatment algorithms against recurrent Clostridium difficile infection (rCDI) both in adult and pediatric gastroenterology practice. With our increasing recognition of the critical role the microbiome plays in human health and disease, FMT is also being considered as a potential therapy for other disorders, including inflammatory bowel disease (Crohn disease, ulcerative colitis), graft versus host disease, neuropsychiatric diseases, and metabolic syndrome. Controlled trials with FMT for rCDI have not been performed in children, and numerous clinical and regulatory considerations have to be considered when using this untraditional therapy. This report is intended to provide guidance for FMT in the treatment of rCDI in pediatric patients.",,"Zev H Davidovics;Sonia Michail;Maribeth R Nicholson;Larry K Kociolek;Nikhil Pai;Richard Hansen;Tobias Schwerd;Aldo Maspons;Raanan Shamir;Hania Szajewska;Nikhil Thapar;Tim de Meij;Alexis Mosca;Yvan Vandenplas;Stacy A Kahn;Richard Kellermayer;FMT Special Interest Group of the North American Society of Pediatric Gastroenterology Hepatology, Nutrition, the European Society for Pediatric Gastroenterology Hepatology, Nutrition"
https://pubmed.ncbi.nlm.nih.gov/27829652/,Pediatric Gastroenterology in Cuba: Evolution and Challenges,"INTRODUCTION The professional practice of pediatric gastroenterology arose in Cuba as an expression of the specialty's development internationally and Cuba's new strategies in public health, and in response to national needs for health care expertise in digestive diseases of infants, older children and adolescents. OBJECTIVES Describe the history of pediatric gastroenterology's development in Cuba since its inception at the National Gastroenterology Institute in the early 1970s, its contributions, and efforts to extend it to pediatric hospitals throughout Cuba. EVIDENCE ACQUISITION This is a historical review based on document analysis. Institutional sources from the National Gastroenterology Institute and Ministry of Public Health were reviewed, as well as international and national literature on the history of pediatric gastroenterology and unpublished texts since its emergence in 1972. DEVELOPMENT Although pediatric gastroenterology has not been formally recognized as a medical specialty in Cuba, there have been important achievements in establishing a network of specialized health care services for digestive diseases of children and adolescents. Gastrointestinal endoscopy and other auxiliary diagnostic modalities have been introduced for children and play a major role in clinical trials and research. This article describes the international context that promoted the specialty's development in Cuba. Reference is made to specialized training from its initial stages in 1972, its consolidation as an emerging discipline in Cuban medicine, and its diffusion in Latin American and Caribbean countries. Professional development and specialized training to meet health human resource needs in pediatric hospitals are described, as well as Cuban participation in the Latin American Society for Pediatric Gastroenterology, Hepatology and Nutrition. National and international milestones, publications, awards and recognitions that indicate advances despite difficulties are also presented. CONCLUSIONS Since 1972, there have been major strides in the development of pediatric gastroenterology practice in Cuba. The establishment of a national network of specialized services in pediatric hospitals throughout Cuba has provided quality health care for digestive diseases of childhood. Pediatric gastroenterology's development and achievements in healthcare and research are such that it deserves official recognition as a medical specialty Cuba. KEYWORDS Pediatric gastroenterology, history of medicine, national health system, service network, hepatology, children, adolescents, Cuba.",,Carlos Castañeda-Guillot
https://pubmed.ncbi.nlm.nih.gov/31696976/,Review article: bacteriophages in gastroenterology-from biology to clinical applications,Background: The gut microbiota plays an important role in the pathogenesis of several gastrointestinal diseases. Its composition and function are shaped by host-microbiota and intra-microbiota interactions. Bacteriophages (phages) are viruses that target bacteria and have the potential to modulate bacterial communities.,,João Sabino;Robert P Hirten;Jean-Frederic Colombel
https://pubmed.ncbi.nlm.nih.gov/31320109/,Canadian Association of Gastroenterology Clinical Practice Guideline for the Medical Management of Pediatric Luminal Crohn's Disease,Background & aims: We aim to provide guidance for medical treatment of luminal Crohn's disease in children.,GRADE; IBD; Inflammatory Bowel Diseases; TNF.,David R Mack;Eric I Benchimol;Jeff Critch;Jennifer deBruyn;Frances Tse;Paul Moayyedi;Peter Church;Colette Deslandres;Wael El-Matary;Hien Huynh;Prévost Jantchou;Sally Lawrence;Anthony Otley;Mary Sherlock;Thomas Walters;Michael D Kappelman;Dan Sadowski;John K Marshall;Anne Griffiths
https://pubmed.ncbi.nlm.nih.gov/30014225/,Quality Improvement in Gastroenterology: A Systematic Review of Practical Interventions for Clinicians,"Background: Quality improvement (QI) identifies practical methods to improve patient care; however, it is not always widely known which QI methods are successful. We sought to create a primer of QI in gastroenterology for the practicing clinician.",Delivery of health care; Gastroenterology; Health services; Quality improvement.,Courtney Reynolds;Eric Esrailian;Daniel Hommes
https://pubmed.ncbi.nlm.nih.gov/32022720/,ACG Clinical Guideline: Chronic Pancreatitis,"Chronic pancreatitis (CP) is historically defined as an irreversible inflammatory condition of the pancreas leading to varying degrees of exocrine and endocrine dysfunction. Recently however, the paradigm for the diagnosis has changed in that it breaks with the traditional clinicopathologic-based definition of disease, focusing instead on diagnosing the underlying pathologic process early in the disease course and managing the syndrome more holistically to change the natural course of disease and minimize adverse disease effects. Currently, the most accepted mechanistically derived definition of CP is a pathologic fibroinflammatory syndrome of the pancreas in individuals with genetic, environmental, and/or other risk factors who develop persistent pathologic responses to parenchymal injury or stress. The most common symptom of CP is abdominal pain, with other symptoms such as exocrine pancreatic insufficiency and diabetes developing at highly variable rates. CP is most commonly caused by toxins such as alcohol or tobacco use, genetic polymorphisms, and recurrent attacks of acute pancreatitis, although no history of acute pancreatitis is seen in many patients. Diagnosis is made usually on cross-sectional imaging, with modalities such as endoscopic ultrasonography and pancreatic function tests playing a secondary role. Total pancreatectomy represents the only known cure for CP, although difficulty in patient selection and the complications inherent to this intervention make it usually an unattractive option. This guideline will provide an evidence-based practical approach to the diagnosis and management of CP for the general gastroenterologist.",,Timothy B Gardner;Douglas G Adler;Chris E Forsmark;Bryan G Sauer;Jason R Taylor;David C Whitcomb
https://pubmed.ncbi.nlm.nih.gov/29161800/,Present status and perspectives of endosonography 2017 in gastroenterology,"Endoscopic ultrasound has become an essential tool in modern gastroenterology and abdominal surgery. Compared with all other endoscopic methods, it has the most potential for innovation and its future looks bright. Thus, we compiled this summary of established and novel applications of endoscopic ultrasound methods to inform the reader about what is already possible and where future developments will lead in improving patient care further. This review is structured in four parts. The first section reports on developments in diagnostic endoscopic ultrasound, the second looks at semi-invasive endoscopic ultrasound, and the third discusses advances in therapeutic endoscopic ultrasound. An overview on the future prospects of endoscopic ultrasound methods concludes this article.",Contrast enhanced endoscopic ultrasound; Endoscopic ultrasound elastography; Endoscopic ultrasound-guided drainage; Endoscopic ultrasound-guided fine needle aspiration; Endosonography.,Michael Hocke;Barbara Braden;Christian Jenssen;Christoph F Dietrich
https://pubmed.ncbi.nlm.nih.gov/19745761/,"Pediatric gastroesophageal reflux clinical practice guidelines: joint recommendations of the North American Society for Pediatric Gastroenterology, Hepatology, and Nutrition (NASPGHAN) and the European Society for Pediatric Gastroenterology, Hepatology, and Nutrition (ESPGHAN)","Objective: To develop a North American Society for Pediatric Gastroenterology, Hepatology, and Nutrition (NASPGHAN) and European Society for Pediatric Gastroenterology, Hepatology, and Nutrition (ESPGHAN) international consensus on the diagnosis and management of gastroesophageal reflux and gastroesophageal reflux disease in the pediatric population.",,Yvan Vandenplas;Colin D Rudolph;Carlo Di Lorenzo;Eric Hassall;Gregory Liptak;Lynnette Mazur;Judith Sondheimer;Annamaria Staiano;Michael Thomson;Gigi Veereman-Wauters;Tobias G Wenzl;North American Society for Pediatric Gastroenterology Hepatology and Nutrition;European Society for Pediatric Gastroenterology Hepatology and Nutrition
https://pubmed.ncbi.nlm.nih.gov/33443827/,[Advances in gastroenterology and hepatology 2020],"The year 2020 has been dominated by the coronavirus disease 2019 (COVID-19) pandemic, with important lessons learned also in gastroenterology and hepatology. Major advances, however, have also been made in other areas, a selection of which is highlighted in this article.",,Florent Artru;Montserrat Fraga;Sébastien Godat;Alain M Schoepfer;Darius Moradpour
https://pubmed.ncbi.nlm.nih.gov/25843195/,Quality of gastroenterology research published in Saudi Arabian scientific journals,Background/aims: Evidence-based medicine has established itself in the field of gastroenterology. In this study we aim to assess the types of study designs of gastroenterology-related articles published in Saudi scientific journals.,,Majed M Almaghrabi;Abdullah S Alamoudi;Suhaib A Radi;Anas A Merdad;Ahmad M Makhdoum;Faisal A Batwa
https://pubmed.ncbi.nlm.nih.gov/22506261/,The Bockus International Society of Gastroenterology: historical review,"The Bockus International Society of Gastroenterology was founded in 1958 in honour of Dr Henry L Bockus (1894-1982) by his former students, residents and fellows at the Graduate School of Medicine of the University of Pennsylvania, Philadelphia, USA. It was a celebrated tribute to Dr Bockus' outstanding leadership in the development and teaching of clinical gastroenterology as a subspecialty, which was in its infancy in the post-World War II era. He established the first formal training course in clinical gastroenterology in America. His department of gastroenterology became the leading graduate school of clinical gastroenterology in the world, training many clinical gastroenterologists in America and from many regions around the world. For many years, Dr Bockus was the most prominent American in world gastroenterology. The Bockus Society holds biennial scientific congresses in different continents, thus continuing to foster Dr Bockus' lifelong interest and vision to promote international medical friendship, and excellence in education and research collaboration.",,Hugh Chaun
https://pubmed.ncbi.nlm.nih.gov/27215366/,Enhancing High Value Care in Gastroenterology Practice,Backgroung & aims: The objective of this review is to identify common areas in gastroenterology practice where studies performed provide an opportunity for enhancing value or lowering costs.,Lowering Costs of Healthcare; Value of Healthcare.,Michael Camilleri;David A Katzka
https://pubmed.ncbi.nlm.nih.gov/33835099/,Many Paradoxes of My Gastroenterology Practice,"A paradox describes the clash between 2 seemingly reasonable prepositions whose joint occurrence appears impossible. Like any other human endeavor, medicine is also filled with paradoxes that await resolution. This editorial lists several common paradoxes frequently encountered by clinical gastroenterologists. These examples illustrate the interplay between risk and benefit, cost and effect, disease and cure, and escape and exposure. It is hoped that addressing these paradoxes and trying to resolve their underlying contradictions will ultimately lead to a more efficacious and rational delivery of healthcare.",,Amnon Sonnenberg
https://pubmed.ncbi.nlm.nih.gov/29260538/,Optical coherence tomography in gastroenterology: a review and future outlook,"Optical coherence tomography (OCT) is an imaging technique optically analogous to ultrasound that can generate depth-resolved images with micrometer-scale resolution. Advances in fiber optics and miniaturized actuation technologies allow OCT imaging of the human body and further expand OCT utilization in applications including but not limited to cardiology and gastroenterology. This review article provides an overview of current OCT development and its clinical utility in the gastrointestinal tract, including disease detection/differentiation and endoscopic therapy guidance, as well as a discussion of its future applications.",Barrett’s esophagus; endoscopic imaging; gastroenterology; inflammatory bowel disease; optical biopsy; optical coherence tomography; volumetric laser endomicroscopy.,Tsung-Han Tsai;Cadman L Leggett;Arvind J Trindade;Amrita Sethi;Anne-Fré Swager;Virendra Joshi;Jacques J Bergman;Hiroshi Mashimo;Norman S Nishioka;Eman Namati
https://pubmed.ncbi.nlm.nih.gov/28073146/,Value-based care in hepatology,"The migration from legacy fee-for-service reimbursement to payments linked to high-value health care is accelerating in the United States because of new legislation and redesign of payments from the Centers for Medicare and Medicaid Services. Because patients with chronic diseases account for substantial use of health care resources, payers and health systems are focusing on maximizing the value of care for these patients. Because chronic liver diseases impose a major health burden worldwide affecting the health and lives of many individuals and families as well as substantial costs for individuals and payers, hepatologists must understand how they can improve their practices. Hepatologists practice a high-intensity cognitive subspecialty, using complex and costly procedures and medications. High-value patient care requires multidisciplinary coordination, labor-intensive support for critically ill patients, and effective chronic disease management. Under current fee-for-service reimbursement, patient values, medical success, and financial success can all be misaligned. Many current attempts to link health outcomes to reimbursement are based on compliance with process measures, with less emphasis on outcomes that matter most to patients, thus slowing transformation to higher-value team-based care. Outcome measures that reflect the entire cycle of care are needed to assist both clinicians and administrators in improving the quality and value of care. A comprehensive set of outcome measures for liver diseases is not currently available. Numerous researchers now are attempting to fill this gap by devising and testing outcome indicators and patient-reported outcomes for the major liver conditions. These indicators will provide tools to implement a value-based approach for patients with chronic liver diseases to compare results and value of care between referral centers, to perform health technology assessment, and to guide decision-making processes for health authorities. This review sets the groundwork for implementing a value-based, patient-centered approach to chronic liver diseases within a health system. (Hepatology 2017;65:1749-1755).",,Mario Strazzabosco;John I Allen;Elizabeth O Teisberg
https://pubmed.ncbi.nlm.nih.gov/25291429/,The past 10 years of gastroenterology and hepatology-reflections and predictions,"In November 2004, the very first issue of this journal featured articles on the pathogenesis of ulcerative colitis, mechanisms leading to chronic pancreatitis, and treatment of recurrent Clostridium-difficile-associated diarrhoea. Although those topics might seem familiar, much has changed in the intervening years in our understanding, diagnosis and treatment of many different diseases across the field of gastroenterology and hepatology. Nonetheless, many challenges remain. Here, we have asked five of our Advisory Board members-international experts across different subspecialties in gastroenterology and hepatology-to reflect on the progress and frustrations of the past 10 years. They also comment on where effort and money should be invested now, as well as their predictions for progress in the next 10 years.",,Scott L Friedman;Eamonn M M Quigley;Keith A Sharkey;Joseph J Y Sung;David C Whitcomb
https://pubmed.ncbi.nlm.nih.gov/32425733/,Impact of the COVID-19 pandemic on Gastroenterology Divisions in Italy: A national survey,"Background: In Italy, the spread of the COVID-19 pandemic has stressed the entire healthcare system and required a huge re-organization of many Divisions, including those of Gastroenterology.",COVID-19; Gastroenterology; Impact; Pandemic; SARS-CoV-2; Survey.,M Maida;S Sferrazza;E Savarino;L Ricciardiello;A Repici;F Morisco;M Furnari;L Fuccio;G C Morreale;A Vitello;P Burra;S Marchi;B Annibale;A Benedetti;D Alvaro;G Ianiro;Italian Society of Gastroenterology (SIGE)
https://pubmed.ncbi.nlm.nih.gov/17098610/,Gastroenterology practice in 2006: challenges and opportunities,"Two main developments will dominate the future of gastroenterology in the United States. The first is changing demography, and the second is revolutionary change in the structure of health insurance, that is, the advent of consumer-driven health care. This article details some of the demographic and insurance changes that gastroenterologists will have to contend with in the future and outlines some of the opportunities and challenges that lie ahead.",,Robert A Ganz
https://pubmed.ncbi.nlm.nih.gov/21764006/,Development of quality measures for monitoring and improving care in gastroenterology,"Over the past decade, most quality assurance (QA) efforts in gastroenterology have been aimed at endoscopy. Endoscopic quality improvement was the rational area to begin QA work in gastroenterology due to the relatively acute nature of complications and the high volume of procedures performed. While endoscopy is currently the focus of most quality assurance (QA) measures in gastroenterology, more recent efforts have begun to address clinical gastroenterology practices both in the outpatient and inpatient settings. Clinical outpatient and inpatient gastroenterology is laden with areas where standardization could benefit patient care. While data and experience in clinical gastroenterology QA is relatively limited, it is clear that inconsistent use of guidelines and practice variations in gastroenterology can lead to lower quality care. In this review, we review a variety of areas in clinical gastroenterology where existing guidelines and published data suggest both the need and practicality of active QA measures.",,Katharine A Germansky;Daniel A Leffler
