link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/28317575/,Infection Control in the Dental Office,"The goal of an infection control program is to provide a safe working environment for dental health care personnel and their patients. Practitioners can achieve this by adopting measures that reduce health care-associated infections among patients and occupational exposures among dental health care personnel. It is crucial for all dental practitioners to be up to date on current Centers for Disease Control and Prevention guidelines, equipment, and techniques for proper infection control. Continuous evaluation of infection control practices is important. Patients and dental providers should be confident that oral health care can be delivered and received in a safe manner.",Blood-borne pathogens; Environmental infection control; Hand hygiene; Personal protective equipment; Sterilization and disinfection.,Francesco R Sebastiani;Harry Dym;Tarun Kirpalani
https://pubmed.ncbi.nlm.nih.gov/25586986/,Infection control: beyond the horizon,"This article will consider possible future directions for innovation and research in infection prevention and control, and will make the case for the importance of including clinical and cost-effectiveness evaluation in such research. Opportunities for studies in a number of broad subject areas will be considered, including prevention and control of existing and emerging infection hazards, the challenges posed by changes in the way that medical care is being delivered, technological developments that could be harnessed for infection prevention and control, how new laboratory diagnostic technologies might benefit infection prevention and control, cleaning and decontamination, and the infection control aspects of hospital design. The need for robust economic data to support the wide and timely implementation of evidence-based practice is emphasized.",Cleaning; Decontamination; Health economics; Infection control research; Technology.,J Gray
https://pubmed.ncbi.nlm.nih.gov/26558413/,Face shields for infection control: A review,"Face shields are personal protective equipment devices that are used by many workers (e.g., medical, dental, veterinary) for protection of the facial area and associated mucous membranes (eyes, nose, mouth) from splashes, sprays, and spatter of body fluids. Face shields are generally not used alone, but in conjunction with other protective equipment and are therefore classified as adjunctive personal protective equipment. Although there are millions of potential users of face shields, guidelines for their use vary between governmental agencies and professional societies and little research is available regarding their efficacy.",Face shields; guidance; infection control; proper use; regulations.,Raymond J Roberge
https://pubmed.ncbi.nlm.nih.gov/10196487/,"Guideline for Prevention of Surgical Site Infection, 1999. Centers for Disease Control and Prevention (CDC) Hospital Infection Control Practices Advisory Committee","EXECUTIVE SUMMARY The ""Guideline for Prevention of Surgical Site Infection, 1999"" presents the Centers for Disease Control and Prevention (CDC)'s recommendations for the prevention of surgical site infections (SSIs), formerly called surgical wound infections. This two-part guideline updates and replaces previous guidelines.1,2 Part I, ""Surgical Site Infection: An Overview,"" describes the epidemiology, definitions, microbiology, pathogenesis, and surveillance of SSIs. Included is a detailed discussion of the pre-, intra-, and postoperative issues relevant to SSI genesis. Part II, ""Recommendations for Prevention of Surgical Site Infection,"" represents the consensus of the Hospital Infection Control Practices Advisory Committee (HICPAC) regarding strategies for the prevention of SSIs.3 Whenever possible, the recommendations in Part II are based on data from well-designed scientific studies. However, there are a limited number of studies that clearly validate risk factors and prevention measures for SSI. By necessity, available studies have often been conducted in narrowly defined patient populations or for specific kinds of operations, making generalization of their findings to all specialties and types of operations potentially problematic. This is especially true regarding the implementation of SSI prevention measures. Finally, some of the infection control practices routinely used by surgical teams cannot be rigorously studied for ethical or logistical reasons (e.g., wearing vs not wearing gloves). Thus, some of the recommendations in Part II are based on a strong theoretical rationale and suggestive evidence in the absence of confirmatory scientific knowledge.It has been estimated that approximately 75% of all operations in the United States will be performed in ""ambulatory,"" ""same-day,"" or ""outpatient"" operating rooms by the turn of the century.4 In recommending various SSI prevention methods, this document makes no distinction between surgical care delivered in such settings and that provided in conventional inpatient operating rooms. This document is primarily intended for use by surgeons, operating room nurses, postoperative inpatient and clinic nurses, infection control professionals, anesthesiologists, healthcare epidemiologists, and other personnel directly responsible for the prevention of nosocomial infections. This document does not: Specifically address issues unique to burns, trauma, transplant procedures, or transmission of bloodborne pathogens from healthcare worker to patient, nor does it specifically address details of SSI prevention in pediatric surgical practice. It has been recently shown in a multicenter study of pediatric surgical patients that characteristics related to the operations are more important than those related to the physiologic status of the patients.5 In general, all SSI prevention measures effective in adult surgical care are indicated in pediatric surgical care. Specifically address procedures performed outside of the operating room (e.g., endoscopic procedures), nor does it provide guidance for infection prevention for invasive procedures such as cardiac catheterization or interventional radiology. Nonetheless, it is likely that many SSI prevention strategies also could be applied or adapted to reduce infectious complications associated with these procedures. Specifically recommend SSI prevention methods unique to minimally invasive operations (i.e., laparoscopic surgery). Available SSI surveillance data indicate that laparoscopic operations generally have a lower or comparable SSI risk when contrasted to open operations.6-11 SSI prevention measures applicable in open operations (e.g., open cholecystectomy) are indicated for their laparoscopic counterparts (e.g., laparoscopic cholecystectomy). Recommend specific antiseptic agents for patient preoperative skin preparations or for healthcare worker hand/forearm antisepsis. Hospitals should choose from products recommended for these activitie",,A J Mangram;T C Horan;M L Pearson;L C Silver;W R Jarvis
https://pubmed.ncbi.nlm.nih.gov/21783278/,Infection control through the ages,"To appreciate the current advances in the field of health care epidemiology, it is important to understand the history of hospital infection control. Available historical sources were reviewed for 4 different historical time periods: medieval, early modern, progressive, and post-World War II. Hospital settings for the time periods are described, with particular emphasis on the conditions related to hospital infections.",,Philip W Smith;Kristin Watkins;Angela Hewlett
https://pubmed.ncbi.nlm.nih.gov/29924159/,Patient safety and infection control: bases for curricular integration,Objective: To analyze curricular integration between teaching of patient safety and good infection prevention and control practices.,,Andréa Mara Bernardes da Silva;Lucas Lazarini Bim;Felipe Lazarini Bim;Alvaro Francisco Lopes Sousa;Pedro Castania Amadio Domingues;Adriana Cristina Nicolussi;Denise de Andrade
https://pubmed.ncbi.nlm.nih.gov/29525367/,"Update to the Centers for Disease Control and Prevention and the Healthcare Infection Control Practices Advisory Committee Guideline for the Prevention of Surgical Site Infection (2017): A summary, review, and strategies for implementation","Surgical site infections remain a common cause of morbidity, mortality, and increased length of stay and cost amongst hospitalized patients in the United States. This article summarizes the evidence used to inform the Centers for Disease Control and Prevention and the Healthcare Infection Control Practices Advisory Committee Guideline for the Prevention of Surgical Site Infection (2017), and highlights key updates and new recommendations. We also present specific suggestions for how infection preventionists can play a central role in guideline implementation by translating these recommendations into evidence-based policies and practices in their facility.",Glycemic control; Normothermia; Oxygenation; Skin antisepsis; Surgical infection risk factor modification; Surgical prophylaxis.,Lyndsay M O'Hara;Kerri A Thom;Michael Anne Preas
https://pubmed.ncbi.nlm.nih.gov/8641531/,Infection control,"From an infectious disease point of view, dentistry has never been safer than it is today for both patients and the dental team. This state of affairs has resulted from the establishment and practice of strict infection control in the office using the concept of universal precautions. Infection control consists of a series of procedures directed at reducing the number of microbes shared among people. An approach to the management of infection control involves identification of an office safety coordinator and total involvement of everyone in the office. The procedures of infection control can be grouped into six major areas. 1. Handwashing and gloving provides protection to both patients and the dental team. 2. Protection against aerosols and spatter involves the use of a preprocedure mouthrinse, HVE, rubber dam, saliva ejection, mask, protective eyewear, and protective clothing. 3. Instrument processing provides instruments that are safe for patient use. 4. Surface asepsis eliminates the involvement of environmental surfaces in the spread of disease agents. 5. Management of sharps and other regulated waste reduces the chances for sharps injuries and contact with potentially infectious material. 6. Aseptic techniques include aseptic retrieval of supplies, reducing contamination from dental unit water, aseptic radiographic procedures, proper use of disposables, and preventing contamination of the dental laboratory.",,C H Miller
https://pubmed.ncbi.nlm.nih.gov/20077771/,[Infection control in hospitals],"Infection control committee as the central decision-making and infection control team (ICT) for carrying out all aspects of infection control are important for hospital infection control. Standard precautions are used for all patients and apply to all body fluids except for sweat, whether or not they contain visible blood. Transmission-based precautions involve airborne, droplet, contact vector-borne and common vehicle precautions. Airborne precautions are for tuberculosis, varicella and measles. Small particles (< 5 microm) can be dispersed widely by air currents. Droplet precautions are for influenza, rubella, pertussis, and so on. Transmission via large droplet (< 5 microm) requires close contact within 1 to 2 m. Contact transmissions are for blood-borne pathogens, such as hepatitis B and C virus and HIV, bacterial infections via percutaneous and mucocutaneous exposure, and so on. Vaccinations for measles, rubella, varicella, mumps, influenza and hepatitis B virus to health-care workers are important. Influenza virus is mainly transmitted via droplet and contact, but also via airborne transmission in the aerosol-generating procedures such as intubation and suctioning. WHO declared a public health emergency in April 2009. A novel influenza has spread rapidly across the globe, and it will be necessary to prepare for the outbreak in this autumn and winter.",,Takeyuki Sato
https://pubmed.ncbi.nlm.nih.gov/10389058/,Infection control--evidence into practice,"This paper arises out of two workshop sessions held at the fourth meeting of the Federation of Infection Societies, Manchester, 1997. The aims of the workshops were, first, to identify the factors which impede the process of translating research findings into infection control practice and second, to suggest how these barriers may be overcome. Key points from the workshops are presented within an idealized framework of creating, implementing and maintaining evidence-based infection control practice. This lends structure to our exploration of the evidence underlying infection control guidance and the reasons why such guidance often does not result in appropriate action by healthcare workers. The strengths and weaknesses of each stage of the process are examined, using examples provided by participants at the workshop.",,E A Jenner;C Mackintosh;G M Scott
