link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/32186815/,[General practitioners' use of internal medicine e-consultations],"Objective: Consultations between general practitioners (GPs) and hospital specialists are traditionally conducted by phone. A conversation by phone where a GP seeks advice regarding a patient, who is unknown to the specialist, can have limitations. An e-consultation service for internal medicine allows GPs to consult an internal medicine specialist for clinical queries. In this study we evaluated GP use of internal medicine e-consultations.",,Dennis Muris;Mariëlle Krekels;Anke Spreeuwenberg;Margje Blom;Paul Bergmans;Jochen W L Cals
https://pubmed.ncbi.nlm.nih.gov/29496500/,Update in Outpatient General Internal Medicine: Practice-Changing Evidence Published in 2017,"Clinicians are challenged to identify new practice-changing articles in the medical literature. To identify the practice-changing articles published in 2017 most relevant to outpatient general internal medicine, 5 internists reviewed the following sources: 1) titles and abstracts from internal medicine journals with the 7 highest impact factors, including New England Journal of Medicine, Lancet, Journal of the American Medical Association, British Medical Journal, Public Library of Science Medicine, Annals of Internal Medicine, and JAMA Internal Medicine; 2) synopses and syntheses of individual studies, including collections in the American College of Physicians Journal Club, Journal Watch, and Evidence-Based Medicine; 3) databases of synthesis, including Evidence Updates and the Cochrane Library. Inclusion criteria were perceived clinical relevance to outpatient general medicine, potential for practice change, and strength of evidence. This process yielded 140 articles. Clusters of important articles around one topic were considered as a single-candidate series. A modified Delphi method was utilized by the 5 authors to reach consensus on 7 topics to highlight and appraise from the 2017 literature.",2017; General internal medicine; Outpatient; Practice-changing articles.,Mark L Wieland;Jason H Szostek;Majken T Wingo;Jason A Post;Karen F Mauck
https://pubmed.ncbi.nlm.nih.gov/29459991/,[Infectious diseases - a specialty of internal medicine],"Infectious diseases have recently gained wide public interest. Emerging infections and rising rates of antibiotic resistance are determining this trend. Both challenges will need to be addressed in international and local collaborations between different specialties in medicine and basic science. Infectious diseases as a clinical specialty in this scenario is directly responsible for the care of patients with infectious diseases. Its involvement in the care of patients with complicated infections has proved to be highly effective. Antibiotic stewardship programmes are effective measures in slowing the development of antibiotic resistance and have been widely implemented. But antibiotic stewardship specialists should not be confused with or taken as an alternative to infectious disease experts. Infectious diseases requires appropriate and specific training. It mainly uses the instrumentarium of internal medicine. With the current challenges in modern medicine, infectious diseases in Germany should thus be upgraded from a subspecialty to a clinical specialty, ideally within Internal Medicine.","Antibiotic stewardship; Drug resistance, microbial; Education, medical, postgraduate; Infectious diseases, emerging; Specialty, internal medicine.",G Fätkenheuer;N Jung;W V Kern;U R Fölsch;B Salzberger
https://pubmed.ncbi.nlm.nih.gov/30657265/,[The internal medicine articles that struck us the most in 2018],"2018 has continued to bring important progress in all areas of internal medicine, impacting our daily practice. From bezafibrate in primary biliary cholangitis to the new Clostridioides difficile guidelines, passing by use of procalcitonine, cristalloids, copeptin and how to administer furosemide, internal medicine journals are full of novelties. Every year, the chief residents of the CHUV internal medicine ward meet up to share their readings : here is their selection of 12 articles, chosen, summarized and commented for you.",,Vanessa Kraege;Oriane Aebischer;Yaniv Chocron;Cédric Bongard;Virginie Moulin;Alexandra Schneider;Grégoire Humair;Émilie Solimando;Henri Lu;Olivier Lamy
https://pubmed.ncbi.nlm.nih.gov/16423111/,Internal medicine training in the inpatient setting. A review of published educational interventions,"Purpose: Although the inpatient setting has served as the predominant educational site of internal medicine training programs, many changes and factors are currently affecting education in this setting. As a result, many educational organizations are calling for reforms in inpatient training. This report reviews the available literature on specific internal medicine inpatient educational interventions and proposes recommendations for improving internal medicine training in this setting.",,Lorenzo Di Francesco;Michael J Pistoria;Andrew D Auerbach;Robert J Nardino;Eric S Holmboe
https://pubmed.ncbi.nlm.nih.gov/27778214/,The Evolution of General Internal Medicine (GIM)in Canada: International Implications,"General internal medicine (GIM), like other generalist specialties, has struggled to maintain its identity in the face of mounting sub-specialization over the past few decades. In Canada, the path to licensure for general internists has been through the completion of an extra year of training after three core years of internal medicine. Until very recently, the Royal College of Physicians and Surgeons of Canada (RCPSC) did not recognize GIM as a distinct entity. In response to a societal need to train generalist practitioners who could care for complex patients in an increasingly complex health care setting, the majority of universities across Canada voluntarily developed structured GIM training programs independent of RCPSC recognition. However, interest amongst trainees in GIM was declining, and the GIM workforce in Canada, like that in many other countries, was in danger of serious shortfalls. After much deliberation and consultation, in 2010, the RCPSC recognized GIM as a distinct subspecialty of internal medicine. Since this time, despite the challenges in the educational implementation of GIM as a distinct discipline, there has been a resurgence of interest in this field of medicine. This paper outlines the journey of the Canadian GIM to educational implementation as a distinct discipline, the impact on the discipline, and the implications for the international GIM community.",Canada; Education; General internal medicine.,Sharon E Card;Heather D Clark;Michelle Elizov;Narmin Kassam
https://pubmed.ncbi.nlm.nih.gov/31967752/,[Novelties in internal medicine],"This selective overview of articles describes new concepts, therapeutic measures and pharmacological agents that may modify current practice in internal medicine. Implications for management of cardiovascular disease, such as heart failure, diabetes and infectious diseases figure prominently.",,Sebastian Carballo;Jérôme Stirnemann;Christophe Marti;Pauline Darbellay Farhoumand;Mathieu Nendaz;Jacques Serratrice
https://pubmed.ncbi.nlm.nih.gov/32149946/,Enhancing Interprofessional Communications Training in Internal Medicine. Lessons Drawn From a Systematic Scoping Review From 2000 to 2018,Introduction: Interprofessional communication (IPC) enhances patient experiences and outcomes and improves well-being and satisfaction among health care professionals. This scoping review seeks to guide design of IPC training in internal medicine.,,Cheng Han Ng;Zhi Hao Ong;Jeffery Wei Heng Koh;Rachel Zu Er Ang;Laura Hui Shuen Tan;Kuang Teck Tay;Annelissa Mien Chew Chin;Ying Pin Toh;Jamie Xuelian Zhou;Lalit Kumar Radha Krishna
https://pubmed.ncbi.nlm.nih.gov/29673918/,[Day hospital in internal medicine: A chance for ambulatory care],"Introduction: Internal medicine is an in-hospital speciality. Along with its expertise in rare diseases, it shares with general medicine the global care of patients but its place in the ambulatory shift has yet to be defined. The objective of our work was to evaluate the benefits of an internal medicine day-hospital devoted to general medicine.",Ambulatory care; Complex patients; Day hospital; Hôpital de jour; Internal medicine; Médecine interne; Patients complexes; Virage ambulatoire.,A Grasland;E Mortier
https://pubmed.ncbi.nlm.nih.gov/23321931/,Academic general internal medicine: a mission for the future,"After five decades of growth that has included advances in medical education and health care delivery, value cohesion, and integration of diversity, we propose an overarching mission for academic general internal medicine to lead excellence, change, and innovation in clinical care, education, and research. General internal medicine aims to achieve health care delivery that is comprehensive, technologically advanced and individualized; instills trust within a culture of respect; is efficient in the use of time, people, and resources; is organized and financed to achieve optimal health outcomes; maximizes equity; and continually learns and adapts. This mission of health care transformation has implications for the clinical, educational, and research activities of divisions of general internal medicine over the next several decades.",,Katrina Armstrong;Nancy L Keating;Michael Landry;Bradley H Crotty;Russell S Phillips;Harry P Selker;Council of the Society of General Internal Medicine
