link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/32830223/,Metabolism,"Metabolism consists of a series of reactions that occur within cells of living organisms to sustain life. The process of metabolism involves many interconnected cellular pathways to ultimately provide cells with the energy required to carry out their function. The importance and the evolutionary advantage of these pathways can be seen as many remain unchanged by animals, plants, fungi, and bacteria. In eukaryotes, the metabolic pathways occur within the cytosol and mitochondria of cells with the utilisation of glucose or fatty acids providing the majority of cellular energy in animals. Metabolism is organised into distinct metabolic pathways to either maximise the capture of energy or minimise its use. Metabolism can be split into a series of chemical reactions that comprise both the synthesis and degradation of complex macromolecules known as anabolism or catabolism, respectively. The basic principles of energy consumption and production are discussed, alongside the biochemical pathways that make up fundamental metabolic processes for life.",biochemistry; glycolysis; metabolism.,Ayesha Judge;Michael S Dodd
https://pubmed.ncbi.nlm.nih.gov/32504556/,The Molecular Link from Diet to Cancer Cell Metabolism,"Malignant cells remodel their metabolism to meet the demands of uncontrolled cell proliferation. These demands lead to differential requirements in energy, biosynthetic precursors, and signaling intermediates. Both genetic programs arising from oncogenic events and transcriptional programs and epigenomic events are important in providing the necessary metabolic network activity. Accumulating evidence has established that environmental factors play a major role in shaping cancer cell metabolism. For metabolism, diet and nutrition are the major environmental aspects and have emerged as key components in determining cancer cell metabolism. In this review, we discuss these emerging concepts in cancer metabolism and how diet and nutrition influence cancer cell metabolism.",,Shree Bose;Annamarie E Allen;Jason W Locasale
https://pubmed.ncbi.nlm.nih.gov/32698040/,Cholesterol metabolism: New functions and therapeutic approaches in cancer,"Cholesterol and its metabolites (precursors and derivatives) play an important role in cancer. In recent years, numerous studies have reported the functions of cholesterol metabolism in the regulation of tumor biological processes, especially oncogenic signaling pathways, ferroptosis, and tumor microenvironment. Preclinical studies have over the years indicated the inhibitory effects of blocking cholesterol synthesis and uptake on tumor formation and growth. Besides, some new cholesterol metabolic molecules such as SOAT1, SQLE, and NPC1 have recently emerged as promising drug targets for cancer treatment. Here, we systematically review the roles of cholesterol and its metabolites, and the latest advances in cancer therapy targeting cholesterol metabolism.",Cancer treatment; Cholesterol; Functions; Metabolism.,Huanji Xu;Sheng Zhou;Qiulin Tang;Hongwei Xia;Feng Bi
https://pubmed.ncbi.nlm.nih.gov/27265890/,Regulation of Glucose Metabolism - A Perspective From Cell Bioprocessing,"Cultured mammalian cells are the main workhorses for producing biologics. The performance of these cell culture processes, in terms of both productivity and product quality attributes, is significantly influenced by cellular metabolism. Glucose is the major carbon source for cellular biosynthesis and energy generation. We summarize here recent advances in our understanding of the regulation of glucose metabolism in cultured cells. The versatility of cells to sustain homeostatic states under widely varying environments is made possible by allosteric regulation of the metabolic network, interplay between the signaling pathways, and transcription factors. Understanding the regulation of metabolism holds the key to altering the metabolic regulatory circuit and implementing direct metabolic control over cell culture processes.",allosteric regulation; biologics; bioprocess; cell culture; metabolism.,Bhanu Chandra Mulukutla;Andrew Yongky;Tung Le;Douglas G Mashek;Wei-Shou Hu
https://pubmed.ncbi.nlm.nih.gov/22248338/,Glycogen and its metabolism: some new developments and old themes,"Glycogen is a branched polymer of glucose that acts as a store of energy in times of nutritional sufficiency for utilization in times of need. Its metabolism has been the subject of extensive investigation and much is known about its regulation by hormones such as insulin, glucagon and adrenaline (epinephrine). There has been debate over the relative importance of allosteric compared with covalent control of the key biosynthetic enzyme, glycogen synthase, as well as the relative importance of glucose entry into cells compared with glycogen synthase regulation in determining glycogen accumulation. Significant new developments in eukaryotic glycogen metabolism over the last decade or so include: (i) three-dimensional structures of the biosynthetic enzymes glycogenin and glycogen synthase, with associated implications for mechanism and control; (ii) analyses of several genetically engineered mice with altered glycogen metabolism that shed light on the mechanism of control; (iii) greater appreciation of the spatial aspects of glycogen metabolism, including more focus on the lysosomal degradation of glycogen; and (iv) glycogen phosphorylation and advances in the study of Lafora disease, which is emerging as a glycogen storage disease.",,Peter J Roach;Anna A Depaoli-Roach;Thomas D Hurley;Vincent S Tagliabracci
https://pubmed.ncbi.nlm.nih.gov/32112053/,Tumour metabolism and its unique properties in prostate adenocarcinoma,"Anabolic metabolism mediated by aberrant growth factor signalling fuels tumour growth and progression. The first biochemical descriptions of the altered metabolic nature of solid tumours were reported by Otto Warburg almost a century ago. Now, the study of tumour metabolism is being redefined by the development of new molecular tools, tumour modelling systems and precise instrumentation together with important advances in genetics, cell biology and spectroscopy. In contrast to Warburg's original hypothesis, accumulating evidence demonstrates a critical role for mitochondrial metabolism and substantial variation in the way in which different tumours metabolize nutrients to generate biomass. Furthermore, computational and experimental approaches suggest a dominant influence of the tissue-of-origin in shaping the metabolic reprogramming that enables tumour growth. For example, the unique metabolic properties of prostate adenocarcinoma are likely to stem from the distinct metabolism of the prostatic epithelium from which it emerges. Normal prostatic epithelium employs comparatively glycolytic metabolism to sustain physiological citrate secretion, whereas prostate adenocarcinoma consumes citrate to power oxidative phosphorylation and fuel lipogenesis, enabling tumour progression through metabolic reprogramming. Current data suggest that the distinct metabolic aberrations in prostate adenocarcinoma are driven by the androgen receptor, providing opportunities for functional metabolic imaging and novel therapeutic interventions that will be complementary to existing diagnostic and treatment options.",,David A Bader;Sean E McGuire
https://pubmed.ncbi.nlm.nih.gov/29739666/,Metabolism as a Target for Modulation in Autoimmune Diseases,"Metabolic pathways are now well recognized as important regulators of immune differentiation and activation, and thus influence the development of autoimmune diseases such as systemic lupus erythematosus (SLE). The mechanistic target of rapamycin (mTOR) has emerged as a key sensor of metabolic stress and an important mediator of proinflammatory lineage specification. Metabolic pathways control the production of mitochondrial reactive oxygen species (ROS), which promote mTOR activation and also modulate the antigenicity of proteins, lipids, and DNA, thus placing ROS at the heart of metabolic disturbances during pathogenesis of SLE. Therefore, we review here the pathways that control ROS production and mTOR activation and identify targets for safe therapeutic modulation of the signaling network that underlies autoimmune diseases, focusing on SLE.",,Nick Huang;Andras Perl
https://pubmed.ncbi.nlm.nih.gov/32694839/,Control strategies in systemic metabolism,"Metabolic control systems coordinate myriad processes across the cellular, tissue and organismal levels to optimize the allocation of limited supplies across multiple, often competing, metabolic demands. As such, the regulation of metabolism can be analysed from the perspective of the economic theory of supply and demand. Here, we discuss how such analyses can provide new insights into the logic of metabolic control. In particular, we suggest that, in addition to being subject to well-appreciated homeostatic control, metabolism is subject to supply-driven and demand-driven controls, each operated by a dedicated set of signals throughout various physiological states, including inflammation. Furthermore, we argue that systemic homeostasis is a derived feature that evolved from the control systems that monitor metabolic supply and demand.",,Jessica Ye;Ruslan Medzhitov
https://pubmed.ncbi.nlm.nih.gov/30421223/,Metabolomics: A Microbial Physiology and Metabolism Perspective,"Metabolomics is valuable for studying microbial metabolism, which is often used to elucidate biological functions. Effective application of metabolomics is enhanced by fundamental understanding of microbial physiology and metabolism. This review briefly highlights important aspects of metabolism that are essential for designing and executing effective metabolic and metabolomics studies. The influence of microbial physiology and metabolism on growth, energy metabolism and regulation is briefly reviewed. The chapter also evaluates factors affecting metabolic prediction.",Central carbon metabolism; Experimental design; Metabolic pathways; Metabolic regulation; Microbial growth; Microbial metabolism; Microbial physiology.,Chijioke J Joshua
https://pubmed.ncbi.nlm.nih.gov/27343361/,O-GlcNAcylation in Cancer Biology: Linking Metabolism and Signaling,"The hexosamine biosynthetic pathway (HBP) is highly dependent on multiple metabolic nutrients including glucose, glutamine, and acetyl-CoA. Increased flux through HBP leads to elevated post-translational addition of β-D-N-acetylglucosamine sugars to nuclear and cytoplasmic proteins. Increased total O-GlcNAcylation is emerging as a general characteristic of cancer cells, and recent studies suggest that O-GlcNAcylation is a central communicator of nutritional status to control key signaling and metabolic pathways that regulate multiple cancer cell phenotypes. This review summarizes our current understanding of changes of O-GlcNAc cycling enzymes in cancer, the role of O-GlcNAcylation in tumorigenesis, and the current challenges in targeting this pathway therapeutically.",O-GlcNAcylation; OGT; cancer; glycosylation; signaling.,Christina M Ferrer;Valerie L Sodi;Mauricio J Reginato
https://pubmed.ncbi.nlm.nih.gov/28683294/,Similarities and Distinctions of Cancer and Immune Metabolism in Inflammation and Tumors,"It has been appreciated for nearly 100 years that cancer cells are metabolically distinct from resting tissues. More recently understood is that this metabolic phenotype is not unique to cancer cells but instead reflects characteristics of proliferating cells. Similar metabolic transitions also occur in the immune system as cells transition from resting state to stimulated effectors. A key finding in immune metabolism is that the metabolic programs of different cell subsets are distinctly associated with immunological function. Further, interruption of those metabolic pathways can shift immune cell fate to modulate immunity. These studies have identified numerous metabolic similarities between cancer and immune cells but also critical differences that may be exploited and that affect treatment of cancer and immunological diseases.",T cell; antitumor immunity; glycolysis; inflammation; macrophage; mitochondria; tumor metabolism; tumor microenvironment.,Gabriela Andrejeva;Jeffrey C Rathmell
