link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/31451330/,"Artificial Intelligence in Nephrology: Core Concepts, Clinical Applications, and Perspectives","Artificial intelligence is playing an increasingly important role in many fields of medicine, assisting physicians in most steps of patient management. In nephrology, artificial intelligence can already be used to improve clinical care, hemodialysis prescriptions, and follow-up of transplant recipients. However, many nephrologists are still unfamiliar with the basic principles of medical artificial intelligence. This review seeks to provide an overview of medical artificial intelligence relevant to the practicing nephrologist, in all fields of nephrology. We define the core concepts of artificial intelligence and machine learning and cover the basics of the functioning of neural networks and deep learning. We also discuss the most recent clinical applications of artificial intelligence in nephrology and medicine; as an example, we describe how artificial intelligence can predict the occurrence of progressive immunoglobulin A nephropathy. Finally, we consider the future of artificial intelligence in clinical nephrology and its impact on medical practice, and conclude with a discussion of the ethical issues that the use of artificial intelligence raises in terms of clinical decision making, physician-patient relationship, patient privacy, and data collection.",Deep learning; IgA nephropathy (IgAN); algorithms; artificial intelligence; artificial neural network (ANN); augmented intelligence; big data; convolutional neural networks (CNN); hemodialysis; kidney disease; machine learning; medical artificial intelligence (MAI); neural network; review; transplantation.,Olivier Niel;Paul Bastard
https://pubmed.ncbi.nlm.nih.gov/33131648/,Interventional Nephrology: Opportunities and Challenges,"The nephrologist has a pivotal role as the leader of multidisciplinary teams to optimize vascular access care of the patient on dialysis and to promote multidisciplinary collaboration in research, training, and education. The continued success of interventional nephrology as an independent discipline depends on harnessing these efforts to advance knowledge and encourage innovation. A comprehensive curriculum that encompasses research from bench to bedside coupled with standardized clinical training protocols are fundamental to this expansion. As we find ourselves on the threshold of a much-awaited revolution in nephrology, there is great opportunity but also formidable challenges in the field - it is up to us to work together to realize the enormous potential of our discipline.",Hemodialysis; Interventional nephrology; Peritoneal dialysis; Ultrasonography; Vascular access.,Vandana Dua Niyyar;Gerald Beathard
https://pubmed.ncbi.nlm.nih.gov/33131644/,The Nephrology Clinician Educator: Pathway and Future,"In the medical profession, teaching has always been a routine expectation for practicing physicians. While this remains true today, in recent years, we have seen the emergence of a well-defined career pathway for those practicing physicians who want to focus on education: the clinician educator. This is a physician who is highly active in the practice of teaching, science of learning, service as a role model for young physicians, and leading educational programs. In nephrology, one can have a fruitful and fulfilling career as a lifelong clinician educator. As career interest in our specialty wanes, the clinician educator is the professional well suited to reverse this trend. In this article, we will further define the clinician educator and map out a pathway of skills needed to thrive in this rewarding career. We also provide recommendations to both educators and leaders to ensure the clinician educator pathway continues to grow.",Clinician educator; Medical education; Nephrology education; Professional development.,John K Roberts;Anna M Burgner;Timothy Yau
https://pubmed.ncbi.nlm.nih.gov/30527552/,Women in Nephrology Leadership,"Women and men tend to take different paths to leadership, with men being more intentional. When women do undertake leadership activities, they tend to be surprised by how much they enjoy it. Women's leadership styles tend to be more collaborative and inclusive. Women are used to multitasking and tend to persist under difficult circumstances. The nephrology manpower crisis affects both men and women, although some of the drivers are different. There is a persistent and well-known pay disparity between men and women physicians that many have tried to address without consistent success. Strategies also need to be developed to support and encourage both men and women in nephrology.",Leadership; Nephrology; Women.,Wendy Weinstock Brown;Sharon Anderson
https://pubmed.ncbi.nlm.nih.gov/32049747/,Machine learning in nephrology: scratching the surface,"Machine learning shows enormous potential in facilitating decision-making regarding kidney diseases. With the development of data preservation and processing, as well as the advancement of machine learning algorithms, machine learning is expected to make remarkable breakthroughs in nephrology. Machine learning models have yielded many preliminaries to moderate and several excellent achievements in the fields, including analysis of renal pathological images, diagnosis and prognosis of chronic kidney diseases and acute kidney injury, as well as management of dialysis treatments. However, it is just scratching the surface of the field; at the same time, machine learning and its applications in renal diseases are facing a number of challenges. In this review, we discuss the application status, challenges and future prospects of machine learning in nephrology to help people further understand and improve the capacity for prediction, detection, and care quality in kidney diseases.",,Qi Li;Qiu-Ling Fan;Qiu-Xia Han;Wen-Jia Geng;Huan-Huan Zhao;Xiao-Nan Ding;Jing-Yao Yan;Han-Yu Zhu
https://pubmed.ncbi.nlm.nih.gov/27751612/,"Nephrology: As It Was Then, But Is Not Now","Diseases of the kidney are old, but the discipline dedicated to their study, nephrology, is barely more than 50 years old. As recounted in this recollection of those events, the rudiments of what would become nephrology emerged in the time between the 2 World Wars from basic studies of normal kidney function and flourished after the integration of their methodologies into clinical medicine thereafter. Although shaped by studies of kidney function in the 1960s, it was the subsequent advent of dialysis that fueled the growth of nephrology well into the 21st century. Although to some extent this growth was a product of technical developments (micropuncture, dialysis, biopsy, etc), it was the paradigm shifts they engendered that brought about the revolutionary changes that stimulated the growth of nephrology from its formative years in the 1960s. Notable among those was the classification of chronic kidney disease on the basis of kidney function, calculated from serum creatinine level as estimated glomerular filtration rate, that has expanded nephrology's interaction with and integration into other disciplines and begat the recent outpouring of epidemiologic and interventional studies, thereby establishing it as a leading discipline dedicated to improving outcomes for individuals with kidney disease worldwide.",Nephrology; chronic kidney disease (CKD); clinical trials; dialysis; glomerular filtration rate (GFR); guidelines; renal replacement therapy (RRT); review.,Garabed Eknoyan
https://pubmed.ncbi.nlm.nih.gov/29778557/,Nanotechnological foundations of a «new» Nephrology,"After contextualising the generic frameworks of nanotechnology and nanomedicine, the 2disciplines are discussed in the field of Nephrology. The potential downside to nanonephrology is the renal clearance of nanoparticles, the use of which is ever-increasing both for nanomedicinal purposes and in nanofoods. The positive impact of nanotechnology in Nephrology is centred on the development of renal nanodiagnostics for basic renal function studies, the early diagnosis of acute kidney injury, reliable and simple follow-up of chronic kidney disease and the improvement of magnetic resonance imaging. Renal drug nanotherapies comprise an important and dual-faceted area: The protection of drugs and nephrotoxic agents (e.g. antibiotics, antiretrovirals, contrast media, etc.) on the one hand, and the development of new kidney disease medications on the other. Renal 'nanotheranostics' is a promising but little-studied area. The impact of nanostructured supports on renal tissue regeneration is also discussed. The article concludes with a brief analysis of the various nanonephrology perspectives.",Aclaramiento renal; Nanodiagnósticos renales; Nanofármacos renales; Nanomedicina; Nanomedicine; Nanorregeneración de tejido renal; Nanotechnology; Nanotecnología; Nanotecnologías de reemplazo renal; Nefrología; Nephrology; Renal clearance; Renal nanodiagnostics; Renal nanodrugs; Renal replacement nanotechnologies; Renal tissue nanoregeneration.,M Laura Soriano;Alberto Rodríguez-Benot;Miguel Valcárcel
https://pubmed.ncbi.nlm.nih.gov/33443832/,[Nephrology : what's new in 2020 ?],"Impact of gliflozines in the treatment of non-diabetic nephropathies and cardiac failure has lately been demonstrated. Tolvaptan has now been recognized in Switzerland as a treatment of hyponatremia. In hemodialysis, some progress has been made in the management of dysfunctional arterio-venous fistulas. A glimmer of hope in the treatment of uremic pruritus? Conservative management of a stable coronary heart disease is also advocated in patients with end-stage kidney disease. Therapy with immune cells may either minimize or remove the need for immunosuppression in renal transplant patients. A new predictive score combining several markers can predict long-term graft failure.",,Patrick Saudan;Sophie De Seigneux;Fadi Haidar
https://pubmed.ncbi.nlm.nih.gov/30527545/,Leadership as a Division Chief of Nephrology,"The position of chief of a division of nephrology in an academic medical center is a hands-on job, offering the opportunity to influence the future of the field through the creation of unique clinical, research, and education programs. Today, most academic centers face significant financial challenges, thus the division chief must develop a variety of skills to accomplish his or her goals. Interactions and relationships with the leadership of the academic center, including the hospital executives, can facilitate or impede progress on proposed projects; therefore, aligning the goals of the division with the goals of leadership is an imperative. Engagement, assessment, mentorship, and sponsorship of the faculty members are essential tasks because any project will require faculty input and buy in. A division chief's networks outside of the home academic medical center are critical for successful recruitment of new faculty, establishment of beneficial relationships with research funding agencies, and development of cooperative programs with industries such as dialysis corporations. Effective communication skills and honest self-assessment of strengths and weaknesses with the wisdom to seek expertise when needed are keys to success. The position of division chief is arguably the most rewarding position for an academic nephrologist.",Academic leadership; Faculty; Mentorship.,Eleanor Lederer
https://pubmed.ncbi.nlm.nih.gov/29477241/,Point-of-care ultrasound in the practice of nephrology,"Sonography is increasingly being performed by clinicians and has applications throughout the spectrum of nephrology, including acute and chronic renal failure, urinary obstruction, cystic disease, pain, hematuria, transplantation, kidney biopsy, temporary and permanent vascular access, and assessment of fluid status. The skill is relatively easily acquired, expedites patient care, and enhances the practice of nephrology. However, the lack of exposure in most training programs remains a major obstacle.",acute kidney injury; chronic kidney disease; hemodialysis; renal biopsy.,Vandana Dua Niyyar;W Charles O'Neill
