link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/29499666/,Nanotechnology in orthopedics: a clinically oriented review,"The utility of nanotechnology in medicine, specifically within the field of orthopedics, is a topic of extensive research. Our review provides a unique comprehensive overview of the current and potential future uses of nanotechnology with respect to orthopedic sub-specialties. Nanotechnology offers an immense assortment of novel applications, most notably the use of nanomaterials as scaffolds to induce a more favorable interaction between orthopedic implants and native bone. Nanotechnology has the capability to revolutionize the diagnostics and treatment of orthopedic surgery, however the long-term health effects of nanomaterials are poorly understood and extensive research is needed regarding clinical safety.",,Walter Ryan Smith;Parke William Hudson;Brent Andrew Ponce;Sakthivel Rajan Rajaram Manoharan
https://pubmed.ncbi.nlm.nih.gov/33463450/,Nanotechnology-based drug delivery systems in orthopedics,"In recent years, nanotechnology has led to significant scientific and technological advances in diverse fields, specifically within the field of medicine. Owing to the revolutionary implications in drug delivery, nanotechnology-based drug delivery systems have gained an increasing research interest in the current medical field. A variety of nanomaterials with unique physical, chemical and biological properties have been engineered to develop new drug delivery systems for the local, sustained and targeted delivery of drugs with improved therapeutic efficiency and less or no toxicity, representing a very promising approach for the effective management of diseases. The utility of nanotechnology, particularly in the field of orthopedics, is a topic of extensive research. Nanotechnology has a great potential to revolutionize treatment, diagnostics, and research in the field of orthopedics. Nanophase drug delivery has shown great promise in their ability to deliver drugs at nanoscale for a variety of orthopedic applications. In this review, we discuss recent advances in the field of nanostructured drug delivery systems for orthopedic applications.",,Eylem Güven
https://pubmed.ncbi.nlm.nih.gov/30390985/,Orthopedic Surgery and the Geriatric Patient,"As more patients live longer, it is probable that an increasing number of geriatric patients will require surgery. An organized, systematic, coordinated, multidisciplinary approach to the perioperative management of these patients will result in fewer complications, improved outcomes, and reduced cost of care. Details are herein provided on the preoperative diagnostic evaluation and assessment as well as perioperative care provided to optimize outcomes. The diagnosis, workup, and treatment of osteoporosis and fragility fractures are presented. The article concludes with a review of the care of the geriatric orthopedic patient in the posthospital time period.",Comanagement; Falls; Fragility fracture; Geriatric patient; Orthopaedic surgery; Orthopedic surgery; Osteoporosis.,Alexander S Greenstein;John T Gorczyca
https://pubmed.ncbi.nlm.nih.gov/31084836/,Racial Diversity in Orthopedic Surgery,"Data from the US Census Bureau, the Accreditation Council for Graduate Medical Education, and the American Academy of Orthopaedic Surgeons reveal that orthopedic surgery is the least diverse of any surgical specialty and that diversity within orthopedics is not improving. Considerable data from both medicine and business suggest that improving diversity within the orthopedic surgery specialty would be of significant benefit to the orthopedic surgery profession and to patients. Multiple avenues for increasing diversity exist, including large-scale pipeline programs as well as personal and institutional efforts examining biases and decision-making processes.",Diversity; Ethnic diversity; Racial diversity; Representation.,Rey N Ramirez;Corinna C Franklin
https://pubmed.ncbi.nlm.nih.gov/30064451/,Top orthopedic sports medicine procedures,"Orthopedic sports medicine is a subspecialty of Orthopedics that focuses on managing pathological conditions of the musculoskeletal system arising from sports practice. When dealing with athletes, timing is the most difficult issue to face. Typically, athletes aim to return to play as soon as possible and at the pre-injury level. This means that management should be optimized to combine the need for prompt return to sport and to the biologic healing time of the musculo-skeletal. This poses a great challenge to sport medicine surgeons, who need to follow with attention to the latest scientific evidence to offer their patients the best available treatment options. We briefly review the most commonly performed orthopedic sports medicine procedures, outlining the presently available scientific evidence on their indications and outcomes.",Ankle instability; Anterior cruciate ligament; Meniscus; Orthopedic sports injury; Posterior cruciate ligament; Rotator cuff; Shoulder instability.,Sebastiano Vasta;Rocco Papalia;Erika Albo;Nicola Maffulli;Vincenzo Denaro
https://pubmed.ncbi.nlm.nih.gov/31524590/,"Orthopedics and Traumatology Residency - Working Conditions, Training, and Psychological Stress","PURPOSE OF THE STUDY The specialty of orthopedics and traumatology that is completed in the 5 years period in our country is a challenging educational process and our purpose in this study is to demonstrate through a survey training conditions of the orthopedic assistants in our country and the effects of this process on assistants. MATERIAL AND METHODS 524 (70.05%) of 748 assistants who receive specialization training in Turkey were reached. There were 20 multiple choice questions ( 1 mark each) and 3 questions (more than 1 mark each) in the survey consisting of twenty-three questions. Our study group was formed by doctors who have still worked as assistant in our country and have accepted to participate in the study. The doctors who finished assistantship with any reason and did assistantship for time less than 6 months and did not exactly fill the questionnaire form were excluded from the study. RESULTS 524 (71.97%) of 728 assistant who are in 40 (100%) of 40 provinces where assistant training given in Turkey were reached. 474 (90.45%) participants were satisfied to do orthopedic specialization. When considering working hours, it was observed that 337 (64.31%) participants had over 90 hours weekly including night shift and 521 (99.42%) participants had to work after night shift. The majority of participants (361 persons 68.89%) were receiving salaries between TL 4000-6000. When looking at the entire working group, the rate of participants who said that scientific training is weak or there is no scientific training was 427 (81.48%). CONCLUSIONS Our survey study is one of the first statistical study which investigating professional and social problems of orthopedic assistants. Some of important problems as training satisfaction, abuse by patients and/or manager, the average monthly income and psychological status assessment is emphasized. Orthopedics and Traumatology assistantship is a challenging process to cause physical and psychological problems with the hard working conditions in our Turkey. Key words:residency training, orthopedic surgery, life quality, salary.",,B Gülenç;S Yalçin;S Sürücü;M Mahiroğullari;M Erdil;M Bülbül
https://pubmed.ncbi.nlm.nih.gov/31084833/,Pediatric Orthopedic Workforce: A Review of Recent Trends,"Pediatric orthopedic surgery has changed in many ways over the past 2 decades. Member surveys and recent literature confirm that there has been a sustained balance of interest and opportunity in growth of applicant numbers and fellowship spots. Pediatric orthopedics is leading the way in gender diversity in orthopedics. Concerns of competition are valid and appear to be rising; however, case load data suggest that with increased training of pediatric orthopedists, there seems to be an adequate increase in cases. Periodic workforce analysis should continue to gauge any changes in attitudes or monitor concerns of competition.",POSNA; Pediatric orthopedic surgery; Sports medicine; Workforce.,Arya Minaie;Maksim A Shlykov;Pooya Hosseinzadeh
https://pubmed.ncbi.nlm.nih.gov/16841792/,Damage-control orthopedics: evolution and practical applications,"Evaluation and management of patients who sustain blunt trauma with multiple injuries have changed significantly over the past 50 years. Initially, clinical research supported delayed definitive treatment of the orthopedic subset of injuries in these patients. With the advancement of splinting and fixation techniques, this view changed to one of ""early total care."" Current developments in classifying trauma patients at risk for deterioration (objective scoring scales) and understanding the posttraumatic immune response have allowed us to stratify patients' clinical severity and treat appropriately. The damage-control philosophy proposes early stabilization, resuscitation, and delayed definitive treatment for polytrauma patients with orthopedic injuries who are most at risk.",,Nicholas Renaldo;Kenneth Egol
https://pubmed.ncbi.nlm.nih.gov/29685787/,Mentorship in Orthopedics: A National Survey of Orthopedic Surgery Residents,"Objective: Mentorship is an important component of graduate medical education. It has been associated with numerous benefits including personal development, increased career satisfaction, and reduced stress and burnout. The purpose of this study was to assess orthopedic resident attitudes regarding mentorship and to determine if there were sociodemographic differences.",Practice-Based Learning and Improvement; burnout; graduate medical education; mentorship; orthopedics; residency.,Lasun O Oladeji;Brent A Ponce;John R Worley;James A Keeney
https://pubmed.ncbi.nlm.nih.gov/29701089/,Does virtual reality simulation have a role in training trauma and orthopaedic surgeons?,"Aims: The aim of this study was to assess the current evidence relating to the benefits of virtual reality (VR) simulation in orthopaedic surgical training, and to identify areas of future research.",Arthroscopy; Learning curve; Simulation; Surgical training; Validity; Virtual reality.,J D Bartlett;J E Lawrence;M E Stewart;N Nakano;V Khanduja
