link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/31754953/,The reality of general surgery training and increased complexity of abdominal wall hernia surgery,"Introduction: The Accreditation and Certification of Hernia Centers and Surgeons (ACCESS) Group of the European Hernia Society (EHS) recognizes that there is a growing need to train specialist abdominal wall surgeons. The most important and relevant argument for this proposal and statement is the growing acceptance of the increasing complexity of abdominal wall surgery due to newer techniques, more challenging cases and the required 'tailored' approach to such surgery. There is now also an increasing public awareness with social media, whereby optimal treatment results are demanded by patients. However, to date the complexity of abdominal wall surgery has not been properly or adequately defined in the current literature.",Complex hernias; Incisional hernia; Inguinal hernia; Learning curve; Surgical training; Tailored approach.,F Köckerling;A J Sheen;F Berrevoet;G Campanelli;D Cuccurullo;R Fortelny;H Friis-Andersen;J F Gillion;J Gorjanc;D Kopelman;M Lopez-Cano;S Morales-Conde;J Österberg;W Reinpold;R K J Simmermacher;M Smietanski;D Weyhe;M P Simons
https://pubmed.ncbi.nlm.nih.gov/28000937/,Meta-analysis of operative experiences of general surgery trainees during training,"Background: General surgical training curricula around the world set defined operative numbers to be achieved before completion of training. However, there are few studies reporting total operative experience in training. This systematic review aimed to quantify the published global operative experience at completion of training in general surgery.",,E J Elsey;G Griffiths;D J Humes;J West
https://pubmed.ncbi.nlm.nih.gov/32323878/,Recommendations for general surgery activities in a pandemic scenario (SARS-CoV-2),Challenging times,,F Di Marzo;M Sartelli;R Cennamo;G Toccafondi;F Coccolini;G La Torre;G Tulli;M Lombardi;M Cardi
https://pubmed.ncbi.nlm.nih.gov/32402397/,Global Surgery Pro-Con Debate: A Pathway to Bilateral Academic Success or the Bold New Face of Colonialism?,"Global surgery, especially academic global surgery, is of tremendous interest to many surgeons. Classically, it entails personnel from high-income countries going to low- and middle-income countries and engaging in educational activities as well as procedures. Academic medical personnel have included students, residents, and attendings. The pervasive notion is that this is a win-win situation for the volunteers and the hosts, that is, a pathway to bilateral academic success. However, a critical examination demonstrates that it can easily become the bold new face of colonialism of a low- and middle-income country by a high-income country.",Colonialism; Education; Global surgery; Research.,Alyssa Scheiner;Jennifer L Rickard;Benedict Nwomeh;Randeep S Jawa;Enrique Ginzburg;Tamara N Fitzgerald;Anthony Charles;Abebe Bekele
https://pubmed.ncbi.nlm.nih.gov/31631185/,"Statistics in surgery, how to understand and apply basic concepts","It is estimated that a regular reader of biomedical publications will have access to 70% of journals with bivariate procedures with basic statistics, that is, any health professional with basic knowledge is capable of understanding the vast majority of published studies. That is why the need arises to write this text that aims to give an overview of the statistics applied to surgery, making reference to how and when to use each statistical procedure and of course how to interpret the results. We will handle definitions of concepts such as variables, hypotheses, confidence intervals, multivariate analysis, contrast of hypotheses, parametric and nonparametric methods and logistic regression. The importance of this guide is that all health professionals can interpret in a simple and concrete way the different statistical studies in their professional development.",,Eric M Saucedo-Moreno;José Fenig-Rodríguez
https://pubmed.ncbi.nlm.nih.gov/27120712/,Use of National Burden to Define Operative Emergency General Surgery,"Importance: Emergency general surgery (EGS) represents 11% of surgical admissions and 50% of surgical mortality in the United States. However, there is currently no established definition of the EGS procedures.",,John W Scott;Olubode A Olufajo;Gabriel A Brat;John A Rose;Cheryl K Zogg;Adil H Haider;Ali Salim;Joaquim M Havens
https://pubmed.ncbi.nlm.nih.gov/31280492/,General Surgeons Australia's 12-point plan for emergency general surgery,"In the last decade, emergency general surgery (EGS) in Australia and New Zealand has seen a transition from the traditional on-call system to the acute surgical unit (ASU) model. The importance and growing demand for EGS has resulted in the implementation of the General Surgeons Australia's 12-point plan for emergency surgery. Since its release, the 12-point plan has been used as a benchmark of a well-functioning ASU, both locally and abroad. This study aims to provide a descriptive review on the relevance of the 12-point plan to the ASU model and review the current evidence to support this framework. The review concludes that the establishment of the ASU model has met the aims set out by the Royal Australasian College of Surgeons for EGS. The 12-point plan is relevant and has good evidence to support its framework.",12-point plan; acute general surgery; acute surgery; emergency general surgery.,Zhen Hao Ang;Shing Wong;Philip Truskett
https://pubmed.ncbi.nlm.nih.gov/30592573/,[Battle-field surgery in the beginning of 21st century],"The authors underwent an analysis of doctrine changes of battle-field surgery. The terminology is specified, the ways of improvement of effectiveness and quality of medical care for the wounded, taking into account the new doctrine, are formulated. In accordance with Federal law No 323-FZ of 2011.11.21 the term <<reduced specialized care*> is suggested for description of medical care at medical forward treatment unit instead of equalfied aid>.",,B N Kotiv;I M Samokhvalov;V I Badalov;A V Goncharov;V V Severin;V A Reva;Yu N Petrov
https://pubmed.ncbi.nlm.nih.gov/17972562/,Should the trauma surgeon do the emergency surgery?,"The specialty of trauma surgery is evolving. The continued decline in general surgery operative interventions in trauma patients has led to an exodus of promising young surgeons away from the field. A concurrent decline in the number of burn surgeons, as well as orthopedists and neurosurgeons interested in providing emergency care, led to a pressing need for surgeons able to perform emergency surgical care. In addition, the general surgery workforce has followed a trend of increased specialization, with young surgeons gravitating toward specialties that are perceived to have a more forgiving lifestyle. This development has led to troublesome gaps in the emergency surgery call schedule at many institutions. Several intrepid centers already have begun assimilating acute care surgery into their departments with impressive results for their patients. Increased operative volume, increased reimbursements, and a palatable lifestyle add to the allure of treating these complex and interesting patients. Training future surgeons to staff the ranks of acute care surgery is an important and exciting challenge. It may be that ""Should the trauma surgeon do the emergency surgery?"" is the wrong question. A better question may be ""How best can we train surgeons for this new specialty""?",,Frederick W Endorf;Gregory J Jurkovich
https://pubmed.ncbi.nlm.nih.gov/25293616/,What is wrong with the training of general surgery?,"The practice of surgery has undergone tumultuous changes over the last 30 years. Disease management, trauma volume, operative techniques, supervision requirements, and allocation of work hours have all changed, resulting in a substantial impact on general surgical training. Changes need to occur in the structure, assessment, and mentorship of future residents to prepare them to enter the marketplace and practice safe medicine with confidence and authority.",,Daniel T McKenna;Samer G Mattar
