link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/32323265/,B Cell Development and Maturation,"Since the identification of B cells in 1965 (Cooper et al. 1965), three has been tremendous progress in our understanding of B cell development, maturation and function. A number of B cell subpopulations, including B-1, B-2 and regulatory B cells, have been identified. B-1 cells mainly originate from the fetal liver and contain B-1a and B-1b subsets. B-2 cells are derived from the bone marrow (BM) and can be further classified into follicular B (FOB) and marginal zone B (MZB) cells. Regulatory B cells (Bregs) function to suppress immune responses, primarily by production of the anti-inflammatory cytokine IL-10. B cell tolerance is established at several checkpoints, during B cell development in the BM (central tolerance) as well as during B cell maturation and activation in the periphery (peripheral tolerance). This chapter will focus on the regulation of important processes during the development and maturation of B-1 and B-2 cells.",B-1; Follicular B; Ig gene; Marginal zone B; V(D)J recombination.,Ying Wang;Jun Liu;Peter D Burrows;Ji-Yang Wang
https://pubmed.ncbi.nlm.nih.gov/26576083/,Hepatitis B virus burden in developing countries,"Hepatitis B virus (HBV) infection has shown an intermediate or high endemicity level in low-income countries over the last five decades. In recent years, however, the incidence of acute hepatitis B and the prevalence of hepatitis B surface antigen chronic carriers have decreased in several countries because of the HBV universal vaccination programs started in the nineties. Some countries, however, are still unable to implement these programs, particularly in their hyperendemic rural areas. The diffusion of HBV infection is still wide in several low-income countries where the prevention, management and treatment of HBV infection are a heavy burden for the governments and healthcare authorities. Of note, the information on the HBV epidemiology is scanty in numerous eastern European and Latin-American countries. The studies on molecular epidemiology performed in some countries provide an important contribution for a more comprehensive knowledge of HBV epidemiology, and phylogenetic studies provide information on the impact of recent and older migratory flows.",Chronic hepatitis; Developing countries; Hepatitis B virus; Molecular epidemiology; Prevention.,Rosa Zampino;Adriana Boemio;Caterina Sagnelli;Loredana Alessio;Luigi Elio Adinolfi;Evangelista Sagnelli;Nicola Coppola
https://pubmed.ncbi.nlm.nih.gov/29999867/,Hepatitis B Immune Globulin (Human),"Hepatitis B immune globulin is an immune globulin (IgG) rich in IgG antibodies against hepatis B. IgG is a normal component of breastmilk. No special precautions are required during breastfeeding. Hepatitis B immune globulin is recommended along with hepatitis B vaccine to be given to infants of mothers who are positive for hepatitis B surface antigen. No differences exist in infection rates between breast-fed and formula-fed infants born to hepatitis B-infected women, as long as the infant receives these preventative measures at birth.[1] Mothers with hepatitis B are encouraged to breastfeed their infants after their infants receive these preventative measures.[2,3]",,
https://pubmed.ncbi.nlm.nih.gov/30000492/,Polymyxin B,"Because it is poorly absorbed after topical application, polymyxin B is considered a low risk to the nursing infant.[1] Only water-miscible cream or gel products should be applied to the breast because ointments may expose the infant to high levels of mineral paraffins via licking.[2]",,
https://pubmed.ncbi.nlm.nih.gov/24833873/,Hepatitis B virus genotypes: global distribution and clinical importance,"At least 600000 individuals worldwide annually die of hepatitis B virus (HBV)-related diseases, such as chronic hepatitis B (CHB), liver cirrhosis (LC), and hepatocellular carcinoma (HCC). Many viral factors, such as viral load, genotype, and specific viral mutations, are known to affect disease progression. HBV reverse transcriptase does not have a proofreading function, therefore, many HBV genotypes, sub-genotypes, mutants, and recombinants emerge. Differences between genotypes in response to antiviral treatment have been determined. To date, 10 HBV genotypes, scattered across different geographical regions, have been identified. For example, genotype A has a tendency for chronicity, whereas viral mutations are frequently encountered in genotype C. Both chronicity and mutation frequency are common in genotype D. LC and progression to HCC are more commonly encountered with genotypes C and D than the other genotypes. Pathogenic differences between HBV genotypes explain disease intensity, progression to LC, and HCC. In conclusion, genotype determination in CHB infection is important in estimating disease progression and planning optimal antiviral treatment.",Anti-viral therapy; Chronic hepatitis B; Genotypes; Hepatitis B virus; Viral mutation.,Mustafa Sunbul
https://pubmed.ncbi.nlm.nih.gov/28059607/,Influences of obesity on the immunogenicity of Hepatitis B vaccine,"Objective: Hepatitis B vaccine is regarded as the most effective method for the prevention of hepatitis B virus (HBV) infection. However, several factors such as age, body mass index and immunocompetent state have been reported to be associated with reduced immunization responses. The present commentary was aimed to discuss the influences of obesity on the immunogenicity of hepatitis B vaccines.",hepatitis B vaccine; immunogenicity; obesity.,Fang Liu;Zhirong Guo;Chen Dong
https://pubmed.ncbi.nlm.nih.gov/29895151/,Hepatitis B virus vaccine breakthrough infection: surveillance of S gene mutants of HBV,"Hepatitis B (HB) is a worldwide public health problem, closely related with liver cirrhosis and hepatocellular carcinoma (HCC). The implementation of universal hepatitis B virus (HBV) vaccination programs has led to significant reduction in incidence of acute and chronic HB, liver cirrhosis and HCC. However, this success is now being threatened by the discovery of HBV vaccine breakthrough infection caused by the S gene mutants of HBV, high maternal viral load and virus-induced immunosuppression. An alteration in the antigenicity and immunogenicity of hepatitis B surface antigen (HBsAg) due to S gene mutations may compromise detection of HBsAg (diagnosis-escape mutants), treatment with hepatitis B-specific immunoglobulin (HBIG), and even cause infections in individuals who are antihepatitis B surface antigen (anti-HBs) antibody-positive after immunization (vaccine-escape mutants). By surveilling for S gene mutants of HBV among vaccinated population, we will have a better understanding of the mechanism of HBV vaccine breakthrough infection; potentially providing new ideas for designing better diagnostic assays and effective vaccines for prevention and treatment of HBV. This review attempts to briefly summarize the status and role of S gene mutations, B-cell epitopes and T-cell epitope mutants, and surveillance of mutant HBV variants in a hospital setting.",HBV vaccine breakthrough infection; S gene; mutants; surveillance..,Y Qin;P Liao
https://pubmed.ncbi.nlm.nih.gov/12699402/,Recombinant hepatitis B vaccine (Engerix-B): a review of its immunogenicity and protective efficacy against hepatitis B,"Engerix-B (Hep-B[Eng]) is a noninfectious recombinant DNA vaccine containing hepatitis B surface antigen (HBsAg). It is produced from genetically engineered yeast (Saccharomyces cerevisiae). Intramuscular Hep-B(Eng) [0-, 1-, 6-month schedule] has excellent immunogenicity in healthy neonates and infants, children, adolescents and adults, with seroprotection rates of 85-100% seen approximate, equals 1 month after the final dose of vaccine; seroprotection was defined as an antibody against HBsAg (anti-HBs) titre of > or =10 IU/L. The use of alternative Hep-B(Eng) immunisation schedules (e.g. a 0-, 1-, 2-, 12-month schedule in neonates and infants, 0-, 12-, 24-month or two-dose schedules in children and adolescents, and accelerated schedules in adults) have also been associated with high rates of seroprotection. Seroprotection rates were generally similar with Hep-B(Eng) and the recombinant vaccine Recombivax HB (Hep-B[Rax]) or plasma-derived vaccines (PDVs) approximate, equals 1 month after the final dose (although anti-HBs geometric mean titres were significantly higher with Hep-B[Eng] than with Hep-B[Rax]). One month after the final dose, adults had significantly higher seroprotection rates with the recombinant triple-antigen vaccine Bio-Hep-B (Hep-B[Bio]) than with Hep-B(Eng), although seroprotection rates in healthy infants were similar with Hep-B(Eng) and Hep-B(Bio). Hep-B(Eng) had excellent immunogenicity in several groups considered at high risk of acquiring hepatitis B (e.g. neonates born to hepatitis B carrier mothers and healthcare workers). The immunogenicity of Hep-B(Eng) was reduced in patients with conditions associated with impaired immune function (e.g. patients undergoing haemodialysis or being treated for malignancy), although it had good immunogenicity in patients with diabetes mellitus.Hep-B(Eng) had excellent protective efficacy against HBsAg carriage in healthy infants and children, and in neonates born to hepatitis B carrier mothers (protective efficacy of 95-99%). Hep-B(Eng) also demonstrated good protective efficacy in a number of other high-risk groups. Hep-B(Eng) is generally well tolerated with a tolerability profile similar to that of Hep-B(Rax), Hep-B(Bio) and PDVs. In conclusion, Hep-B(Eng) is a well established, highly immunogenic hepatitis B vaccine with good tolerability and excellent protective efficacy; it offers flexibility through a variety of immunisation schedules. In addition, it appears that Hep-B(Eng) confers immunity for at least 10 years. Hep-B(Eng) has an important role in mass vaccination campaigns against hepatitis B, as well as in groups considered at high risk of acquiring hepatitis B.",,Gillian M Keating;Stuart Noble
https://pubmed.ncbi.nlm.nih.gov/31608073/,Toward a Functional Cure for Hepatitis B: The Rationale and Challenges for Therapeutic Targeting of the B Cell Immune Response,"The central role of the cellular immune response in the control and clearance of the hepatitis B virus (HBV) infection has been well-established. The contribution of humoral immunity, including B cell and antibody responses against HBV, has been investigated for a long time but has attracted increasing attention again in recent years. The anti-HBs antibody was first recognized as a marker of protective immunity after the acute resolution of the HBV infection (or vaccination) and is now defined as a biomarker for the functional cure of chronic hepatitis B (CHB). In this way, therapies targeting HBV-specific B cells and the induction of an anti-HBs antibody response are essential elements of a rational strategy to terminate chronic HBV infection. However, a high load of HBsAg in the blood, which has been proposed to induce antigen-specific immune tolerance, represents a major obstacle to curing CHB. Long-term antiviral treatment by nucleoside analogs, by targeting viral translation by siRNA, by inhibiting HBsAg release via nucleic acid polymers, or by neutralizing HBsAg via specific antibodies could potentially reduce the HBsAg load in CHB patients. A combined strategy including a reduction of the HBsAg load via the above treatments and the therapeutic targeting of B cells by vaccination may induce the appearance of anti-HBs antibodies and lead to a functional cure of CHB.",B cell response; chronic hepatitis B; functional cure; hepatitis B virus; therapeutic vaccine.,Zhiyong Ma;Ejuan Zhang;Shicheng Gao;Yong Xiong;Mengji Lu
https://pubmed.ncbi.nlm.nih.gov/31131827/,[Recent advances in understanding and diagnosing hepatitis B virus infection],"Hepatitis B virus (HBV) infects approximately 257 million individuals worldwide. Recent advances in the virology and diagnosis of HBV infection are summarized in this review article. A novel classification of the different phases of chronic HBV infection, proposed by the European Association for the Study of the Liver (EASL), is presented. New diagnostic and monitoring tools are now available, including rapid diagnostic tests for hepatitis B surface antigen (HBsAg) detection, HBsAg quantification assays, an HBV core-related antigen (HBcrAg) quantification test, and HBV RNA quantification testing. Their clinical utility under study is discussed in this review.",HBV RNA; HBcrAg; HBsAg quantification; hepatitis B.,Slim Fourati;Jean-Michel Pawlotsky
