link,title,abstract,tag,author
https://pubmed.ncbi.nlm.nih.gov/27048219/,Management of chest drainage tubes after lung surgery,"Since chest tubes have been routinely used to drain the pleural space, particularly after lung surgery, the management of chest tubes is considered to be essential for the thoracic surgeon. The pleural drainage system requires effective drainage, suction, and water-sealing. Another key point of chest tube management is that a water seal is considered to be superior to suction for most air leaks. Nowadays, the most common pleural drainage device attached to the chest tube is the three-bottle system. An electronic chest drainage system has been developed that is effective in standardizing the postoperative management of chest tubes. More liberal use of digital drainage devices in the postoperative management of the pleural space is warranted. The removal of chest tubes is a common procedure occurring almost daily in hospitals throughout the world. Extraction of the tube is usually done at the end of full inspiration or at the end of full expiration. The tube removal technique is not as important as how it is done and the preparation for the procedure. The management of chest tubes must be based on careful observation, the patient's characteristics, and the operative procedures that had been performed.",Chest tube; Device; Drainage; Management; Thoracic surgery.,Yukitoshi Satoh
https://pubmed.ncbi.nlm.nih.gov/30675928/,What is the real cardiac anatomy?,"The heart is a remarkably complex organ. Teaching its details to medical students and clinical trainees can be very difficult. Despite the complexity, accurate recognition of these details is a pre-requisite for the subsequent understanding of clinical cardiologists and cardiac surgeons. A recent publication promoted the benefits of virtual reconstructions in facilitating the initial understanding achieved by medical students. If such teaching is to achieve its greatest value, the datasets used to provide the virtual images should themselves be anatomically accurate. They should also take note of a basic rule of human anatomy, namely that components of all organs should be described as they are normally situated within the body. It is almost universal at present for textbooks of anatomy to illustrate the heart as if removed from the body and positioned on its apex, the so-called Valentine situation. In the years prior to the emergence of interventional techniques to treat cardiac diseases, this approach was of limited significance. Nowadays, therapeutic interventions are commonplace worldwide. Advances in three-dimensional imaging technology, furthermore, now mean that the separate components of the heart can readily be segmented, and then shown in attitudinally appropriate fashion. In this review, we demonstrate how such virtual dissection of computed tomographic datasets in attitudinally appropriate fashion reveals the true details of cardiac anatomy. The virtual approach to teaching the arrangement of the cardiac components has much to commend it. If it is to be used, nonetheless, the anatomical details on which the reconstructions are based must be accurate. Clin. Anat. 32:288-309, 2019. © 2019 The Authors. Clinical Anatomy published by Wiley Periodicals, Inc. on behalf of American Association of Clinical Anatomists.",atrioventricular valves; coronary arteries; intracardiac anatomy; three-dimensional reconstruction; virtual dissection.,Shumpei Mori;Justin T Tretter;Diane E Spicer;David L Bolender;Robert H Anderson
https://pubmed.ncbi.nlm.nih.gov/32652732/,A stuck colonoscope in the chest cavity: An uncommon complication,"Colonoscopy is generally considered a safe procedure, with a low rate of complications. Although rare, the migration of the colonoscope may represent life-threatening events, requiring emergency treatment. We, herein, describe the case of an elective colonoscopy complicated by an irretrievable colonoscope that migrated, through a previous traumatic diaphragmatic hernia, in the chest cavity. This hernia was likely a chronic complication of a previous abdominal trauma. Several attempts to retrieve the scope were unsuccessful. After further investigations and collegial discussion, a left thoracotomy was performed, with the aim to retrieve the colonoscope and to reduce the hernia.",colonoscopy; thoracotomy; traumatic diaphragmatic hernia.,Muhammad Usman Shah;Ahmed Eissa;Vincenzo Caruso;Sudhir Bhusari
https://pubmed.ncbi.nlm.nih.gov/27283911/,Action of the diaphragm on the rib cage,"When the diaphragm contracts, pleural pressure falls, exerting a caudal and inward force on the entire rib cage. However, the diaphragm also exerts forces in the cranial and outward direction on the lower ribs. One of these forces, the ""insertional force,"" is applied by the muscle at its attachments to the lower ribs. The second, the ""appositional force,"" is due to the transmission of abdominal pressure to the lower rib cage in the zone of apposition. In the control condition at functional residual capacity, the effects of these two forces on the lower ribs are nearly equal and outweigh the effect of pleural pressure, whereas for the upper ribs, the effect of pleural pressure is greater. The balance between these effects, however, may be altered. When the abdomen is given a mechanical support, the insertional and appositional forces are increased, so that the muscle produces a larger expansion of the lower rib cage and, with it, a smaller retraction of the upper rib cage. In contrast, at higher lung volumes the zone of apposition is decreased, and pleural pressure is the dominant force on the lower ribs as well. Consequently, although the force exerted by the diaphragm on these ribs remains inspiratory, rib displacement is reversed into a caudal-inward displacement. This mechanism likely explains the inspiratory retraction of the lateral walls of the lower rib cage observed in many subjects with chronic obstructive pulmonary disease (Hoover's sign). These observations support the use of a three-compartment, rather than a two-compartment, model to describe chest wall mechanics.",Hoover's sign; diaphragm insertional force; mechanics of breathing; zone of apposition.,André De Troyer;Theodore A Wilson
https://pubmed.ncbi.nlm.nih.gov/32436655/,"Novel, digital, chest drainage system in cardiac surgery","Background: A new, self-contained, digital, continuous pump-driven chest drainage system is compared in a randomized control trial to a traditional wall-suction system in cardiac surgery.",cardiac surgery; chest drainage; postoperative care.,Luca Barozzi;Livio San Biagio;Matteo Meneguzzi;Delphine S Courvoisier;Beat H Walpoth;Giuseppe Faggian
https://pubmed.ncbi.nlm.nih.gov/32749075/,PleThora: Pleural effusion and thoracic cavity segmentations in diseased lungs for benchmarking chest CT processing pipelines,"This manuscript describes a dataset of thoracic cavity segmentations and discrete pleural effusion segmentations we have annotated on 402 computed tomography (CT) scans acquired from patients with non-small cell lung cancer. The segmentation of these anatomic regions precedes fundamental tasks in image analysis pipelines such as lung structure segmentation, lesion detection, and radiomics feature extraction. Bilateral thoracic cavity volumes and pleural effusion volumes were manually segmented on CT scans acquired from The Cancer Imaging Archive ""NSCLC Radiomics"" data collection. Four hundred and two thoracic segmentations were first generated automatically by a U-Net based algorithm trained on chest CTs without cancer, manually corrected by a medical student to include the complete thoracic cavity (normal, pathologic, and atelectatic lung parenchyma, lung hilum, pleural effusion, fibrosis, nodules, tumor, and other anatomic anomalies), and revised by a radiation oncologist or a radiologist. Seventy-eight pleural effusions were manually segmented by a medical student and revised by a radiologist or radiation oncologist. Interobserver agreement between the radiation oncologist and radiologist corrections was acceptable. All expert-vetted segmentations are publicly available in NIfTI format through The Cancer Imaging Archive at https://doi.org/10.7937/tcia.2020.6c7y-gq39. Tabular data detailing clinical and technical metadata linked to segmentation cases are also available. Thoracic cavity segmentations will be valuable for developing image analysis pipelines on pathologic lungs - where current automated algorithms struggle most. In conjunction with gross tumor volume segmentations already available from ""NSCLC Radiomics,"" pleural effusion segmentations may be valuable for investigating radiomics profile differences between effusion and primary tumor or training algorithms to discriminate between them.",computer-aided decision support systems; image processing; image segmentation techniques; informatics in imaging; quantitative imaging.,Kendall J Kiser;Sara Ahmed;Sonja Stieb;Abdallah S R Mohamed;Hesham Elhalawani;Peter Y S Park;Nathan S Doyle;Brandon J Wang;Arko Barman;Zhao Li;W Jim Zheng;Clifton D Fuller;Luca Giancardo
https://pubmed.ncbi.nlm.nih.gov/23597634/,[Chest magnetic resonance lymphography],"Lymphangio-MRI is a non-invasive technique that allows the precise imaging of thoracic lymphatic vessels without contrast-enhancing agents. This technique is still in progress, and will benefit from better knowledge of thoracic lymphatic diseases and further improvement of MRI spatial resolution.",Lymphangio-MRI; Lymphatics; Lymphatiques; Lymphographie par résonance magnétique.,L Arrivé;S Derhy;S El Mouhadi;N Colignon;Y Menu;C Becker
https://pubmed.ncbi.nlm.nih.gov/31548095/,Critical appraisal on the impact of preoperative rehabilitation and outcomes after major abdominal and cardiothoracic surgery: A systematic review and meta-analysis,"Background: There has been increasing interest in the prehabilitation of patients undergoing major abdominal surgery to improve perioperative outcomes. This systematic review and meta-analysis aims to evaluate and compare the current literature on prehabilitation in major abdominal surgery and cardiothoracic surgery METHODS: A systematic literature search was conducted for studies reporting prehabilitation in patients undergoing major abdominal and cardiothoracic surgery. Meta-analysis of postoperative outcomes (overall and major complications, pulmonary and cardiac complications, postoperative pneumonia, and length of hospital stay) was performed using random effects models.",,Sivesh K Kamarajah;James Bundred;Jonathan Weblin;Benjamin H L Tan
https://pubmed.ncbi.nlm.nih.gov/29860552/,Accessory liver within the thoracic cavity,"Ectopic intrathoracic liver tissue is extremely rare. Studies are mainly limited to case reports. In the vast majority of reported cases, a diagnosis of intrathoracic liver tissue was made either after a thoracic surgery or during a postmortem examination. However, once included in differential diagnosis, surgical intervention or biopsy procedures may be avoided with optimal diagnostic approach. In the present study, we conducted a literature review and proposed a new classification method for accessory liver within the thoracic cavity. This approach may provide a better understanding of underlying pathophysiology and aid in determination of optimal diagnostic modality and clinical management of such cases. According to our literature review, type II ectopic liver is the most common subtype followed by types I and III. All types can be definitively diagnosed with imaging modalities. On the other hand, it is important to prevent patients, particularly children, from unnecessary radiation exposure during performance of sophisticated diagnostic imaging modalities. Ultrasound is a safe, low-cost and accessible imaging modality that has not been previously reported in diagnosis of this entity. With addition of Color Doppler Imaging, ultrasound may allow for diagnosis with high precision in types I and II, as demonstrated in the present study. Based on long-term follow-up of a case reported here, this study also illustrates the natural course of this entity via non-operative management. This approach may prevent an unnecessary surgical intervention.",Accessory liver; Anatomical variation; Thorax; Ultrasound.,Mehmet Emin Adin;Mehmet Guli Çetinçakmak;Muhammed Akif Deniz;Cemil Göya
https://pubmed.ncbi.nlm.nih.gov/16500204/,"Chest wall, lung, and pleural space trauma","Chest radiographs frequently underestimate the severity and extent of chest trauma and, in some cases, fail to detect the presence of injury. CT is more sensitive than chest radiography in the detection of pulmonary, pleural, and osseous abnormalities in the patient who has chest trauma. With the advent of multidetector CT (MDCT), high-quality multiplanar reformations are obtained easily and add to the diagnostic capabilities of MDCT. This article reviews the radiographic and CT findings of chest wall, pleural, and pulmonary injuries that are seen in the patient who has experienced blunt thoracic trauma.",,Lisa A Miller
