link,title,abstract,tag,author,keyword
https://pubmed.ncbi.nlm.nih.gov/3771850/,Spotting sinister spots. A challenge to dermatologists to examine every new patient at increased risk for signs of early melanoma,"Preventing death from malignant melanoma is the most pressing issue in preventive dermatology in the United States because the mortality rate has increased markedly. Dermatologists, as the physicians best suited by training to identify early malignant melanoma, need to take the lead in developing a national project of educating physicians, patients, and the public to recognize the clinical features of early malignant melanoma and to appreciate that prompt excision results in a high rate of cure. The immediate challenge is to commit ourselves to examining every new patient and to conducting periodic ""skin scans"" of every patient at increased risk for melanoma. Just as the Papanicolaou screening test has markedly reduced cervical cancer mortality rates, commitment to early identification and excision of melanomas can mean a comparable triumph for preventive dermatology and will help us meet the challenge of our Australian colleagues to make melanoma a word, not a death sentence.",,J B Howell,melanoma
https://pubmed.ncbi.nlm.nih.gov/27459689/,Significance of Epicardial and Intrathoracic Adipose Tissue Volume among Type 1 Diabetes Patients in the DCCT/EDIC: A Pilot Study,Introduction: Type 1 diabetes (T1DM) patients are at increased risk of coronary artery disease (CAD). This pilot study sought to evaluate the relationship between epicardial adipose tissue (EAT) and intra-thoracic adipose tissue (IAT) volumes and cardio-metabolic risk factors in T1DM.,,Sirous Darabian;Jye-Yu C Backlund;Patricia A Cleary;Nasim Sheidaee;Ionut Bebu;John M Lachin;Matthew J Budoff;DCCT/EDIC Research Group,chest
https://pubmed.ncbi.nlm.nih.gov/14697381/,Prevalence of breast arterial calcification in hypertensive patients,Aim: To determine the age-specific prevalence of breast arterial calcifications in patients with systemic hypertension.,,M Cetin;R Cetin;N Tamer,hypertension
https://pubmed.ncbi.nlm.nih.gov/33007476/,SARS Coronavirus-2 variant tracing within the first Coronavirus Disease 19 clusters in northern Germany,"Objectives: Investigation whether in depth characterization of virus variant patterns can be used for epidemiological analysis of the first severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection clusters in Hamburg, Germany.",Severe acute respiratory syndrome coronavirus 2 infection cluster; Viral genomics; Viral variants.,Susanne Pfefferle;Thomas Günther;Robin Kobbe;Manja Czech-Sioli;Dominic Nörz;René Santer;Jun Oh;Stefan Kluge;Lisa Oestereich;Kersten Peldschus;Daniela Indenbirken;Jiabin Huang;Adam Grundhoff;Martin Aepfelbacher;Johannes K Knobloch;Marc Lütgehetmann;Nicole Fischer,covid-19
https://pubmed.ncbi.nlm.nih.gov/29479677/,Temporary spontaneous regression of feline non-Hodgkin's lymphoma,"Case report: A 6-year-old neutered male British Shorthair cat presented with two rapidly growing subcutaneous masses, one over each thoracic wall. High-grade, non-Hodgkin's lymphoma was confirmed following histopathology, immunohistochemistry and PCR analysis for antigen receptor re-arrangements. Following biopsy there was rapid regression of the remaining neoplastic tissue with no medical treatment. The cat relapsed 3 months later, with poor response to therapy, and was euthanased.",cats; lymphoma; spontaneous regression.,J Elliott,chest
https://pubmed.ncbi.nlm.nih.gov/28859850/,"IL-4/5 signalling plays an important role during Litomosoides sigmodontis infection, influencing both immune system regulation and tissue pathology in the thoracic cavity","Approximately 100 million people suffer from filarial diseases including lymphatic filariasis (elephantiasis), onchocerciasis (river blindness) and loiasis. These diseases are amongst the most devastating of the neglected tropical diseases in terms of social and economic impact. Moreover, many infection-induced immune mechanisms in the host, their relationship to disease-related symptoms and the development of pathology within the site of infection remain unclear. To improve on current drug therapies or vaccines, further studies are necessary to decipher the mechanisms behind filaria-driven immune responses and pathology development, and thus the rodent model of Litomosoides sigmodontis can be used to unravel host-filaria interactions. Interestingly, BALB/c mice develop a patent state (release of microfilariae, the transmission life-stage, into the periphery) when exposed to L. sigmodontis. Thus, using this model, we determined levels of host inflammation and pathology development during a L. sigmodontis infection in vivo for the first known time. Our study reveals that after 30days p.i., inflammation and pathology began to develop in infected wild type BALB/c mice between the lung and diaphragm, close to the site of infection - the thoracic cavity. Interestingly, infected IL-4Rα/IL-5-/- BALB/c mice had accentuated inflammation of the pleural lung and pleural diaphragm, and higher parasite burdens. Corresponding to the pleural inflammation, levels of IP-10, MIP-1α, MIP-1β, MIP-2 and RANTES were significantly elevated in the thoracic cavity fluid of infected IL-4Rα/IL-5-/- mice compared with wild type controls. Moreover, upon L. sigmodontis antigen stimulation, IFN-γ and IL-17A secretions by cells isolated from draining lymph nodes of IL-4Rα/IL-5-/- mice were significantly elevated, whereas secretion of IL-5, IL-13 and IL-10 was reduced. Elevated filaria-specific IFN-γ secretion was also observed in spleen-derived CD4+ T cell co-cultures from IL-4Rα/IL-5-/- mice. In summary, this study unravels the essential role of IL-4/IL-5 signalling in controlling immunity against filarial infections and demonstrates the requirement of this pathway for the host to control ensuing pathology and inflammation.",Diaphragm; IL-4Rα/IL-5(−/−); Immune regulation; Litomosoides sigmodontis; Lung; Pathology; Thoracic cavity.,Manuel Ritter;Ruth S Tamadaho;Judith Feid;Wenzel Vogel;Katharina Wiszniewsky;Sven Perner;Achim Hoerauf;Laura E Layland,chest
https://pubmed.ncbi.nlm.nih.gov/28218741/,Identification of microRNAs associated with invasive and aggressive phenotype in cutaneous melanoma by next-generation sequencing,"A comprehensive repertoire of human microRNAs (miRNAs) that could be involved in early melanoma invasion into the dermis remains unknown. To this end, we sequenced small RNAs (18-30 nucleotides) isolated from an annotated series of invasive melanomas (average invasive depth, 2.0 mm), common melanocytic nevi, and matched normal skin (n=28). Our previously established bioinformatics pipeline identified 765 distinct mature known miRNAs and defined a set of top 40 list that clearly segregated melanomas into thin (0.75 mm) and thick (2.7 mm) groups. Among the top, miR-21-5p, let-7b-5p, let-7a-5p, miR-424-5p, miR-423-5p, miR-21-3p, miR-199b-5p, miR-182-5p, and miR-205-5p were differentially expressed between thin and thick melanomas. In a validation cohort (n=167), measured expression of miR-21-5p and miR-424-5p, not previously reported in melanoma, were significantly increased in invasive compared with in situ melanomas (P<0.0001). Increased miR-21-5p levels were significantly associated with invasive depth (P=0.038), tumor mitotic index (P=0.038), lymphovascular invasion (P=0.0036), and AJCC stage (P=0.038). In contrast, let-7b levels were significantly decreased in invasive and in situ melanomas compared with common and dysplastic nevi (P<0.0001). Decreased let-7b levels were significantly associated with invasive depth (P=0.011), Clark's level (P=0.013), ulceration (P=0.0043), and AJCC stage (P=0.011). These results define a distinct set of miRNAs associated with invasive and aggressive melanoma phenotype.",,Sankhiros Babapoor;Rong Wu;James Kozubek;Donna Auidi;Jane M Grant-Kels;Soheil S Dadras,melanoma
https://pubmed.ncbi.nlm.nih.gov/33575241/,Sensitivity of SARS-CoV-2 Detection With Nasopharyngeal Swabs,"Background: SARS-CoV-2-infected subjects have been proven contagious in the symptomatic, pre-symptomatic and asymptomatic phase. The identification of these patients is crucial in order to prevent virus circulation. No reliable data on the sensitivity of nasopharyngeal swabs (NPS) are available because of the lack of a shared reference standard to identify SARS-CoV-2 infected patients. The aim of our study was to collect data on patients with a known diagnosis of COVID-19 who underwent serial testing to assess NPS sensitivity. Methods: The study was a multi-center, observational, retrospective clinical study with consecutive enrollment. We enrolled patients who met all of the following inclusion criteria: clinical recovery, documented SARS-CoV-2 infection (≥1 positive rRT-PCR result) and ≥1 positive NPS among the first two follow-up swabs. A positive NPS not preceded by a negative nasopharyngeal swab collected 24-48 h earlier was considered a true positive. A negative NPS followed by a positive NPS collected 24-48 h later was regarded as a false negative. The primary outcome was to define sensitivity of SARS-CoV-2 detection with NPS. Results: Three hundred and ninety three NPS were evaluated in 233 patients; the sensitivity was 77% (95% CI, 73 to 81%). Sensitivity of the first follow-up NPS (n = 233) was 79% (95% CI, 73 to 84%) with no significant variations over time. We found no statistically significant differences in the sensitivity of the first follow-up NPS according to time since symptom onset, age, sex, number of comorbidities, and onset symptoms. Conclusions: NPS utility in the diagnostic algorithm of COVID-19 should be reconsidered.",COVID-19; diagnosis; false negative (FN); sensitivity; swab analysis.,Bianca Clerici;Antonio Muscatello;Francesca Bai;Donatella Pavanello;Michela Orlandi;Giulia C Marchetti;Valeria Castelli;Giovanni Casazza;Giorgio Costantino;Gian Marco Podda,covid-19
https://pubmed.ncbi.nlm.nih.gov/29894342/,Severe Disruption of Water and Electrolyte Balance After Appendectomy: A Case Report,"Perioperative derangements of fluid and electrolyte homeostasis are rare complications in healthy children. Nonetheless, early diagnosis and treatment are mandatory to avoid a potentially life-threatening situation. However, the variety of underlying pathologies may prove to make accurate diagnosis challenging. This case report presents the management of an unexpected occurrence of a perioperative partial diabetes insipidus with massive fluid loss. Diagnostic and therapeutic procedures are discussed in the context of laboratory findings, and an overview of the existing literature is given. Finally, we emphasize that a multidisciplinary approach is most appropriate for diagnosis, accurate treatment, and follow-up of the patient.",,Olga Bossong;Christoph Rudin;Gabor Szinnai;Thomas O Erb;Jens Moll,diabetes
https://pubmed.ncbi.nlm.nih.gov/6573653/,Diabetes insipidus as a complication of acute myelomonocytic leukaemia,"A female patient, aged 44, with diabetes insipidus as a complication of acute myelomonocytic leukaemia (AMML) is described. She presented with bleeding, anaemia, polyuria and polydypsia. She was treated with intranasal vasopressin for diabetes insipidus and responded well to treatment. Chemotherapy was administered for the leukaemia and a full remission was achieved. The patient relapsed a few days before final admission to hospital and died of septicaemia 7 months after initial diagnosis. A short review of the literature related to this subject is also presented.",,D Philippakos;S Kakouros;J Dervenoulas;E Pontidas,diabetes
