link,title,abstract,tag,author,keyword
https://pubmed.ncbi.nlm.nih.gov/25614480/,Assessment of spontaneous hemopneumothorax: Indications for surgery,"Background: Although spontaneous hemopneumothorax is rare, emergency surgery may be necessary if massive bleeding is present.",Arteriovenous malformations; hemopneumothorax; lung; thoracic surgery; thoracostomy; video-assisted.,Kenji Inafuku;Takamitsu Maehara;Taketsugu Yamamoto;Munetaka Masuda,chest
https://pubmed.ncbi.nlm.nih.gov/8896656/,Retinol-binding protein and transferrin in urine. New markers of renal function in essential hypertension and white coat hypertension?,"We studied the 24 h urinary excretion of albumin, transferrin, immunoglobulin G, and retinol-binding protein in individuals with essential hypertension, white coat hypertension, and normotension. In 56 individuals, we measured the 24 h ambulatory blood pressure (AMBP). The individuals could be divided into three groups: 26 hypertensives, 14 white coat hypertensives, and 16 normotensives. Daytime AMBP values were (median values with range in parentheses, mm Hg): hypertensives 158/105 (198 to 121/95 to 120), white coat hypertensives 141/83 (161 to 129/72 to 90), and normotensives 123/75 (148 to 102/63 to 86). We determined with immunochemical methods the 24 h urinary excretions of albumin, transferrin, and immunoglobulin G, all markers of glomerular dysfunction, and retinol-binding protein, a marker of impaired proximal tubular function. We found a significantly higher excretion of albumin and transferrin in hypertensives (P < .0000/P < .0001) and in white coat hypertensives (P < .003/P < .02) compared to normotensives. Out of 26 hypertensives, seven had microalbuminuria (> or = 30 to < 300 mg albumin/ 24 h). Two cases of microalbuminuria were found among the 14 white coat hypertensives. Immunoglobulin G excretion was not significantly increased in any of the hypertensive groups. Retinol-binding protein excretion was significantly higher in hypertensive patients (P < .007), whereas no elevation was observed in persons with white coat hypertension. In hypertensives, a significant correlation was found between urinary excretion of albumin and transferrin and office blood pressure and systolic AMBP. There was no significant correlation between the urinary excretions of IgG and retinol-binding protein and blood pressures in any of the three groups. Our findings indicate that patients with white coat hypertension, like hypertensives, have a selective type of glomerular dysfunction. However, proximal tubular dysfunction was seen only in hypertensives. Urinary excretions of albumin, transferrin, and retinol-binding protein may be useful as markers of glomerular and tubular dysfunction in essential hypertension.",,L E Bang;J Holm;T L Svendsen,hypertension
https://pubmed.ncbi.nlm.nih.gov/1325524/,Difficulties in diagnosing hypertension: implications and alternatives,Objective: To estimate the magnitude of misclassification rates with commonly used algorithms for the detection of hypertensives and to suggest a sequential approach to screening.,,H M Perry Jr;J P Miller,hypertension
https://pubmed.ncbi.nlm.nih.gov/24158232/,Is a small-bore catheter efficient for most pleural pathologies?,"Purpose: Chest tubes are used for drainage of the pleural cavity. Traditionally, large-bore catheters are inserted for all indications, but there has been a recent tendency to use small-bore catheters. We share the results of our experience of using small-bore catheters for almost all indications routinely in our clinic.",,Serife Tuba Liman;Aykut Elicora;Aslı Gul Akgul;Salih Topcu;Serkan Ozbay;Seymur Salih Mehmetoğlu;Fatih Sezer;Can Koska;Ahmet Ilgazli,chest
https://pubmed.ncbi.nlm.nih.gov/33575241/,Sensitivity of SARS-CoV-2 Detection With Nasopharyngeal Swabs,"Background: SARS-CoV-2-infected subjects have been proven contagious in the symptomatic, pre-symptomatic and asymptomatic phase. The identification of these patients is crucial in order to prevent virus circulation. No reliable data on the sensitivity of nasopharyngeal swabs (NPS) are available because of the lack of a shared reference standard to identify SARS-CoV-2 infected patients. The aim of our study was to collect data on patients with a known diagnosis of COVID-19 who underwent serial testing to assess NPS sensitivity. Methods: The study was a multi-center, observational, retrospective clinical study with consecutive enrollment. We enrolled patients who met all of the following inclusion criteria: clinical recovery, documented SARS-CoV-2 infection (≥1 positive rRT-PCR result) and ≥1 positive NPS among the first two follow-up swabs. A positive NPS not preceded by a negative nasopharyngeal swab collected 24-48 h earlier was considered a true positive. A negative NPS followed by a positive NPS collected 24-48 h later was regarded as a false negative. The primary outcome was to define sensitivity of SARS-CoV-2 detection with NPS. Results: Three hundred and ninety three NPS were evaluated in 233 patients; the sensitivity was 77% (95% CI, 73 to 81%). Sensitivity of the first follow-up NPS (n = 233) was 79% (95% CI, 73 to 84%) with no significant variations over time. We found no statistically significant differences in the sensitivity of the first follow-up NPS according to time since symptom onset, age, sex, number of comorbidities, and onset symptoms. Conclusions: NPS utility in the diagnostic algorithm of COVID-19 should be reconsidered.",COVID-19; diagnosis; false negative (FN); sensitivity; swab analysis.,Bianca Clerici;Antonio Muscatello;Francesca Bai;Donatella Pavanello;Michela Orlandi;Giulia C Marchetti;Valeria Castelli;Giovanni Casazza;Giorgio Costantino;Gian Marco Podda,covid-19
https://pubmed.ncbi.nlm.nih.gov/24384199/,Manubrial-clavicular-chest wall explantation to expose the anterior thoracic inlet,"The anterior thoracic inlet is difficult to access surgically because of the overlying pectoral-shoulder girdle, clavicle, and manubrium. With both the Dartevelle and Grunenwald approaches, retraction of an osteomuscular flap is required, and patients may be left with the functional and aesthetic implications of partial clavicular resection. We describe a novel technique involving manubrial-clavicular-chest wall explantation with preservation and reimplantation. Manubrial and clavicular plating is performed to stabilize the anterior chest wall and clavicle after reimplantation. This approach represents an alternative technique that provides excellent visualization of the entire anterior thoracic inlet.",5.,Christopher W Seder;Bassem T Elhassan;Dennis A Wigle,chest
https://pubmed.ncbi.nlm.nih.gov/29479677/,Temporary spontaneous regression of feline non-Hodgkin's lymphoma,"Case report: A 6-year-old neutered male British Shorthair cat presented with two rapidly growing subcutaneous masses, one over each thoracic wall. High-grade, non-Hodgkin's lymphoma was confirmed following histopathology, immunohistochemistry and PCR analysis for antigen receptor re-arrangements. Following biopsy there was rapid regression of the remaining neoplastic tissue with no medical treatment. The cat relapsed 3 months later, with poor response to therapy, and was euthanased.",cats; lymphoma; spontaneous regression.,J Elliott,chest
https://pubmed.ncbi.nlm.nih.gov/16700319/,Diabetes insipidus in craniopharyngioma: postoperative management of water and electrolyte disorders,"Pre-operative central diabetes insipidus has been reported in 8-35% of patients affected with craniopharyngioma, and in 70-90% after surgery. The management of postoperative polyuria and polydipsia can be challenging and fluid balance needs to be closely monitored. The classical triphasic pattern of endogenous vasopressin secretion--an initial phase of symptomatic diabetes insipidus occurring 24 hours after surgery; a second phase of inappropriate vasopressin secretion potentially causing hyponatraemia; and a third phase with a return to diabetes insipidus occurring up to 2 weeks later--is often complicated by cerebral salt wasting and thirst disorders. Inadequate adrenal replacement therapy and anticonvulsant agent treatment may increase the risk of life-threatening hyponatraemia in the course of desmopressin (DDAVP) treatment. Appropriate management, in order to avoid life-threatening or disabling electrolyte disturbances, requires a good grasp of the relevant pathophysiology. We review here the pathophysiology and management of the multiple fluid disorders encountered following surgery for craniopharyngiomas.",,Stefano Ghirardello;Neil Hopper;Assunta Albanese;Mohamad Maghnie,diabetes
https://pubmed.ncbi.nlm.nih.gov/17593623/,Real-time quantitative reverse transcriptase-polymerase chain reaction analysis of melanoma progression-associated genes,"Background: Melanoma is an aggressive disease that spreads quickly and is resistant to most therapeutic agents. In an effort to provide insight into the molecular basis of melanoma progression, the expression of 94 genes in 20 metastatic melanomas using a high-throughput real-time quantitative RT-PCR assay was analysed.",,Mairin Rafferty;William J Faller;Catherine Moss;Janet McCormack;Gunhild M Mãlandsmo;David J Easty;William M Gallagher,melanoma
https://pubmed.ncbi.nlm.nih.gov/8237283/,[The role of current diagnostic measures in hypertension],The problems in diagnostic steps in the hypertensive patient can be grouped in 4 categories: the etiological evaluation concentrates recently especially on renovascular hypertension since. This disorder is getting more common with the ageing population and since diagnosis and treatment have been simplified; the detection of additional risk factors is important to guide individual drug selection; the detection of organ manifestations (e.g. LVH) may help in the therapeutic decision especially in borderline hypertensives; ambulatory blood pressure monitoring is becoming increasingly used despite the lack of standardized and generally accepted means to evaluate the recorded data.,,P Kühn,hypertension
