pmid	title_e	journal
34979577	[Mania after COVID-19 Infection].	Psychiatr Prax
34978377	"Reply to ""Post-COVID 19 neurological syndrome: A new risk factor that modifies the prognosis of patients with dementia""."	Alzheimers Dement
34974434	Telemedicine in French Memory Clinics During the COVID-19 Pandemic.	J Alzheimers Dis
34973027	Cognitive Enhancement Through Mathematical Problem-Solving.	Adv Exp Med Biol
34971298	Being a frail older person at the time of the COVID-19 pandemic.	Alzheimers Dement
34971296	Caring for residents with dementia during a COVID-19 outbreak in a long-term care home.	Alzheimers Dement
34971293	Addressing dementia challenges through international networks: Evidence from the Latin American and Caribbean Consortium on Dementia (LAC-CD).	Alzheimers Dement
34971289	Telehealth outreach programming in the Pacific island of Guam: Providing access to dementia care support services during the COVID-19 pandemic.	Alzheimers Dement
34971287	Dissemination of person-centered community care for mild dementia using local cooperatives in Korea during the COVID-19 pandemic.	Alzheimers Dement
34971285	Effectiveness of home-based telerehabilitation in mild to moderate Alzheimer's disease: A randomised controlled study.	Alzheimers Dement
34971276	Development and dissemination of an ethical guidance and person-centred isolation care planning tool to support the care of people with dementia during the COVID-19 pandemic.	Alzheimers Dement
34971269	UW Project ECHO-Dementia: Implementation of a virtual clinic and telementoring program to improve dementia diagnosis and treatment in rural and under-resourced primary care settings.	Alzheimers Dement
34971266	Person-centered care for family caregivers of people living with dementia: Co-designing an education program for the healthcare workforce.	Alzheimers Dement
34971258	Efficacy of cognitive stimulation therapy virtual program for older adults with dementia in COVID-19 isolation.	Alzheimers Dement
34971256	Lessons from COVID-19 pandemic: Clinical experiences on telemedicine in patients with dementia in Iran.	Alzheimers Dement
34971254	Assessing cognition in the era of COVID19: Do we need methods to assess cognitive function virtually?	Alzheimers Dement
34971249	Fighting social isolation of vulnerable people with dementia through remote group meetings: An experience report.	Alzheimers Dement
34971248	With challenge comes opportunity: Dementia care innovations made in senior living during COVID that will outlast the pandemic.	Alzheimers Dement
34971245	Tactics, teaching and transitioning: Response to the COVID-19 pandemic in the nursing home sector.	Alzheimers Dement
34971241	Clinical experience with polygenic risk score in subjects with early cognitive concerns.	Alzheimers Dement
34971235	Home care becoming essential during pandemic.	Alzheimers Dement
34971221	Patient experience and satisfaction with remote memory assessment: Responding to clinical need in times of COVID-19 restrictions.	Alzheimers Dement
34971212	Feasibility of multidisciplinary telehealth evaluations in atypical dementia.	Alzheimers Dement
34971120	Home monitoring of daily living activities and prediction of agitation risk in a cohort of people living with dementia.	Alzheimers Dement
34971113	Remote cognitive rehabilitation in patients post-cerebrovascular accident: an experience report.	Alzheimers Dement
34971112	ReMember-Me system: Developing a new, remote digital tool for detecting and preventing cognitive decline.	Alzheimers Dement
34971109	Feasibility and evaluation of the Dementia Engagement Modelling Program (DEMP): a novel model of aged care during COVID-19.	Alzheimers Dement
34971091	The impact of presentation modality on cognitive test performance for adults with hearing loss.	Alzheimers Dement
34971088	Effect of COVID-19 on BPSD severity and caregiver distress: Trend data from national dementia-specific behavior support programs in Australia.	Alzheimers Dement
34971087	Latin American Older people and neuropsychiatric symptoms: a mini-systematic review of effects of COVID-19 Pandemic.	Alzheimers Dement
34971068	Developing a digital assistive tool for dementia patients and their caregivers: A qualitative study on needs, potential functions, practical requirements, user acceptance, and ethical considerations.	Alzheimers Dement
34971061	LifeBio memory's technology advancements for capturing life stories and seeing the whole person.	Alzheimers Dement
34971057	Patient attitudes towards remote memory clinic assessment.	Alzheimers Dement
34971052	Leveraging virtual reality to train certified nursing assistants as essential dementia-care personnel in the age of COVID-19.	Alzheimers Dement
34971048	Technology-driven dyadic interaction in caregiving.	Alzheimers Dement
34971042	Smartphone ownership and usage in Chinese- and English-speaking older adults.	Alzheimers Dement
34971039	Type and frequency of social contacts associated with low mood before and during the COVID-19 pandemic in older adults: I-CONECT project.	Alzheimers Dement
34971035	Health care professionals and use of digital technologies in patients with dementia and related disorders.	Alzheimers Dement
34971033	Seas the day: Co-designing immersive virtual reality exergames with exercise professionals and people living with dementia.	Alzheimers Dement
34967216	Graphene-based Nanomaterials in Fighting the Most Challenging Viruses and Immunogenic Disorders.	ACS Biomater Sci Eng
34966022	Long-term Neuropsychiatric Complications and 18F-FDG-PET Hypometabolism in the Brain From Prolonged Infection of COVID-19.	Alzheimer Dis Assoc Disord
34951387	Biomedical Perspectives of Acute and Chronic Neurological and Neuropsychiatric Sequelae of COVID-19.	Curr Neuropharmacol
34948400	SARS-CoV-2 Exacerbates Beta-Amyloid Neurotoxicity, Inflammation and Oxidative Stress in Alzheimer's Disease Patients.	Int J Mol Sci
34945251	How COVID-19 Has Affected Caregivers' Burden of Patients with Dementia: An Exploratory Study Focusing on Coping Strategies and Quality of Life during the Lockdown.	J Clin Med
34942927	Effect of Sensory Deprivation of Nasal Respiratory on Behavior of C57BL/6J Mice.	Brain Sci
34942135	Safety, efficacy, and tolerability of memantine for cognitive and adaptive outcome measures in adolescents and young adults with Down syndrome: a randomised, double-blind, placebo-controlled phase 2 trial.	Lancet Neurol
34930444	Impact of potential modifications to Alzheimer's disease clinical trials in response to disruption by COVID-19: a simulation study.	Alzheimers Res Ther
34926365	Alzheimer's Association Project VITAL: A Florida Statewide Initiative Using Technology to Impact Social Isolation and Well-Being.	Front Public Health
34917575	A Framework of AI-Based Approaches to Improving eHealth Literacy and Combating Infodemic.	Front Public Health
34907696	Apolipoprotein E4 as a Novel Treatment Target for Alzheimer's Disease.	Cell Physiol Biochem
34907049	Lockdown and non-COVID-19 deaths: cause-specific mortality during the first wave of the 2020 pandemic in Norway: a population-based register study.	BMJ Open
34902662	Ictogenesis of viral pneumonia: A comparison between SARS-CoV-2 and H1N1/H3N2.	Epilepsy Behav
34886772	Metabolic Syndrome, Alzheimer's Disease, and Covid 19: A Possible Correlation.	Curr Alzheimer Res
34875696	Opportunities for Drug Repurposing of Serotonin Reuptake Inhibitors: Potential Uses in Inflammation, Infection, Cancer, Neuroprotection, and Alzheimer's Disease Prevention.	Pharmacopsychiatry
34874605	Impact of COVID-19 on the Onset and Progression of Alzheimer's Disease and Related Dementias: A Roadmap for Future Research.	Alzheimers Dement
