pmid	title_e	journal
34622475	Association of proton-pump inhibitor use with adverse health outcomes: A systematic umbrella review of meta-analyses of cohort studies and randomised controlled trials.	Br J Clin Pharmacol
33989694	Genetic correlation analysis does not associate male pattern baldness with COVID-19.	J Am Acad Dermatol
33972825	From Precision Metapharmacology to Patient Empowerment: Delivery of Self-Care Practices for Epilepsy, Pain, Depression and Cancer Using Digital Health Technologies.	Front Pharmacol
33811809	BET inhibition blocks inflammation-induced cardiac dysfunction and SARS-CoV-2 infection.	Cell
33779522	Facilitators and challenges in the adoption of a virtual nurse visit in the home health setting.	Home Health Care Serv Q
33716858	The Impact of Writing About Gratitude on the Intention to Engage in Prosocial Behaviors During the COVID-19 Outbreak.	Front Psychol
33436494	Women's experiences of mistreatment during childbirth and their satisfaction with care: findings from a multicountry community-based study in four countries.	BMJ Glob Health
33357960	"Reply to letter to the editor: ""A response to 'Male balding is a major risk factor for severe COVID-19'""."	J Am Acad Dermatol
33342547	"A response to ""Male balding is a major risk factor for severe COVID-19""."	J Am Acad Dermatol
33285543	High Prevalence of Deep Venous Thrombosis in Non-Severe COVID-19 Patients Hospitalized for a Neurovascular Disease.	Cerebrovasc Dis Extra
33234502	Labour companionship and women's experiences of mistreatment during childbirth: results from a multi-country community-based survey.	BMJ Glob Health
33071020	[Impact of the COVID-19 pandemic on the activities of the cardiology department of the Ignace Deen National Hospital at the Conakry University Hospital].	Ann Cardiol Angeiol (Paris)
32926978	Male balding as a major risk factor for severe COVID-19: A possible role for targeting androgens and transmembrane protease serine 2 to protect vulnerable individuals.	J Am Acad Dermatol
32707256	Male balding is a major risk factor for severe COVID-19.	J Am Acad Dermatol
32528153	Socio-demographic and epidemiological consideration of Africa's COVID-19 response: what is the possible pandemic course?	Nat Med
