pmid	title_e	journal
34998222	BEMD-3DCNN-based method for COVID-19 detection.	Comput Biol Med
34997957	COVID-19: a trigger for severe thrombotic microangiopathy in a patient with complement gene variant.	Rom J Intern Med
34997906	Clinical reasoning in dire times. Analysis of cognitive biases in clinical cases during the COVID-19 pandemic.	Intern Emerg Med
34997875	The Role of Na(+)/K(+)-ATPase in the Development of Hyponatrenemia under Conditions of Hypoxic Stress in Patients with SARS-CoV-2 Infection.	Bull Exp Biol Med
34996750	Effect of media on the mental health of elite athletes.	Br J Sports Med
34996649	The author responds: MPV, cardiovascular risk, and COVID prognosis.	Am J Emerg Med
34996048	Immunogenicity of Oxford-AstraZeneca COVID-19 Vaccine in Vietnamese Health-Care Workers.	Am J Trop Med Hyg
34995988	Health outcomes in redlined versus non-redlined neighborhoods: A systematic review and meta-analysis.	Soc Sci Med
34995029	Rapid Diagnostic Testing for SARS-CoV-2.	N Engl J Med
34994327	Nucleic Acid-Based Vaccines Platform Against Covid-19 Pandemic.	Curr Mol Med
34994081	Decreased memory B cells frequencies in COVID-19 Delta variant vaccine breakthrough infection.	EMBO Mol Med
34993873	Type 2 Diabetes Management, Control and Outcomes During the COVID-19 Pandemic in Older US Veterans: an Observational Study.	J Gen Intern Med
34993868	Minority Healthcare Workers' Perception of Safety and COVID-19 Vaccination Uptake.	J Gen Intern Med
34993866	Loss of Essential Resources During the COVID-19 Pandemic Among Unsheltered and Unstably Housed Women.	J Gen Intern Med
34993862	Association of Race and Neighborhood Disadvantage with Patient Engagement in a Home-Based COVID-19 Remote Monitoring Program.	J Gen Intern Med
34993856	Healthcare Worker Mental Health After the Initial Peak of the COVID-19 Pandemic: a US Medical Center Cross-Sectional Survey.	J Gen Intern Med
34993853	An Analysis COVID-19 in Mexico: a Prediction of Severity.	J Gen Intern Med
34993740	Multi-scale mechanism of antiviral drug-alike phytoligands from Ayurveda in managing COVID-19 and associated metabolic comorbidities: insights from network pharmacology.	Mol Divers
34993712	Essential metals, vitamins and antioxidant enzyme activities in COVID-19 patients and their potential associations with the disease severity.	Biometals
34993416	Repurposable drugs for SARS-CoV-2 and influenza sepsis with scRNA-seq data targeting post-transcription modifications.	Precis Clin Med
34993277	A Phenomenological Content Analysis of Elder Abuse during COVID-19 Pandemic in India.	Gerontol Geriatr Med
