pmid	title_e	journal
34991100	Histopathological and Clinical Analysis of Skin Rashes in Children With Multisystem Inflammatory Syndrome Associated With COVID-19.	Am J Dermatopathol
34984055	De Novo Immunoglobulin A Vasculitis Following Exposure to SARS-CoV-2 Immunization.	Ochsner J
34980966	Adverse Effects of COVID-19 and Face Masks: A Systematic Review.	J Clin Aesthet Dermatol
34976449	Co-infection With Dengue Virus and Extensively Drug-Resistant Salmonella typhi.	Cureus
34972223	From Telemedicine to the ICU-Fever and Rash in a 9-Year-Old Girl.	Pediatrics
34966708	Case Report: Necrotizing Stomatitis as a Manifestation of COVID-19-Associated Vasculopathy.	Front Pediatr
34961833	Is It Stevens-Johnson Syndrome or MIS-C with Mucocutaneous Involvement?	Case Rep Pediatr
34960219	Immunogenicity after Second ChAdOx1 nCoV-19 (AZD1222) Vaccination According to the Individual Reactogenicity, Health Status and Lifestyle.	Vaccines (Basel)
34957385	Effectiveness of rosuvastatin plus colchicine, emtricitabine/tenofovir and combinations thereof in hospitalized patients with COVID-19: a pragmatic, open-label randomized trial.	EClinicalMedicine
34938287	The Impact of Age Difference on the Efficacy and Safety of COVID-19 Vaccines: A Systematic Review and Meta-Analysis.	Front Immunol
34934701	Delayed-type hypersensitivity skin reaction to Covid-19 vaccine.	J Family Med Prim Care
34931412	Leukocytoclastic vasculitis after COVID-19 vaccination.	Dermatol Ther
34903290	Prominent rash and multisystem inflammatory syndrome in a 29-year-old patient with COVID-19: a case report.	J Med Case Rep
34903208	Effect of COVID-19 on Kawasaki Disease: Decrease Age of Onset and Increase Skin Manifestation.	BMC Pediatr
34895325	Macrophage activation syndrome in MDA5 antibody-positive dermatomyositis and COVID-19 infection.	BMC Rheumatol
34894118	SDRIFE-Like Rash with COVID-19.	Indian Pediatr
34887676	A Case of Acute Interstitial Nephritis After Two Doses of the BNT162b2 SARS-CoV-2 Vaccine.	Int J Nephrol Renovasc Dis
34881263	Persistence of Symptoms After Discharge of Patients Hospitalized Due to COVID-19.	Front Med (Lausanne)
34881262	Case Report: Infantile Bullous Pemphigoid: Triggering by COVID-19 Is Speculative.	Front Med (Lausanne)
34881206	An Arab Adolescent with Multisystem Inflammatory Syndrome Associated with COVID-19: A Report from Syria.	Avicenna J Med
34880971	Drug-induced lichenoid exanthema by a vaccine against COVID-19 (Vaxzevria).	Dermatol Reports
34863647	Effectiveness of monoclonal antibody therapy for COVID-19 patients using a risk scoring system.	J Infect Chemother
34855332	Covid 19: A Prospective Observational Study on the Cutaneous Manifestations of Patients in Lagos, Nigeria.	West Afr J Med
34854640	[A red and swollen arm after vaccination for covid-19].	Ned Tijdschr Geneeskd
34853740	Acute Appendicitis Associated With Kawasaki Disease: Case Report and Review of the Literature.	Cureus
34852213	Postvaccination Multisystem Inflammatory Syndrome in Adult with No Evidence of Prior SARS-CoV-2 Infection.	Emerg Infect Dis
34850910	Challenges in Diagnosing COVID-19 Related Disease in Pediatric Patients With Rheumatic Disease.	Mod Rheumatol
34845562	Long COVID from rheumatology perspective - a narrative review.	Clin Rheumatol
34845526	Factors associated with hospital and intensive care admission in paediatric SARS-CoV-2 infection: a prospective nationwide observational cohort study.	Eur J Pediatr
34842283	Cutaneous manifestations of PIMS-TS: a single centre experience.	Br J Dermatol
34838782	Immunogenicity trends one and three months after second BNT162B2 vaccination among healthcare workers in Israel.	Clin Microbiol Infect
34836866	Post-vaccination (COVID-19) impacts in healthcare personnel.	Pak J Pharm Sci
34830627	Cutaneous Adverse Reactions Associated with SARS-CoV-2 Vaccines.	J Clin Med
34820975	Cutaneous adverse events related to COVID-19 vaccines: A cross-sectional questionnaire-based study of 867 patients.	Dermatol Ther
34820228	Dermatological Manifestations of COVID-19 in Patients Reporting to a Tertiary Care Hospital in Rawalpindi, Pakistan.	Cureus
34817811	Pediatric Inflammatory Multisystem Syndrome Temporally Associated with SARS-CoV-2.	Indian J Pediatr
34815671	Safety of Chloroquine or Hydroxychloroquine Plus Azithromycin for the Treatment of COVID-19 Patients in Burkina Faso: An Observational Prospective Cohort Study.	Ther Clin Risk Manag
34813953	Delayed hypersensitivity to the Comirnaty coronavirus disease 2019 vaccine presenting with pneumonitis and rash.	Ann Allergy Asthma Immunol
34813439	Atypical Presentation of Aseptic Meningitis Due to Varicella Zoster: A Case Report.	Clin Pract Cases Emerg Med
34811980	Safety Monitoring after the BNT162b2 COVID-19 Vaccine among Adults Aged 75 Years or Older.	J Korean Med Sci
34811978	Multisystem Inflammatory Syndrome in an Adult after COVID-19 Vaccination: a Case Report and Literature Review.	J Korean Med Sci
34807403	Herpes zoster and COVID-19 infection: a coincidence or a causal relationship?	Infection
34806053	Telemedicine for healthcare: Capabilities, features, barriers, and applications.	Sens Int
34804700	COVID-19 Pneumonia and Dengue Fever Coinfection in an Individual From Southeast Asia.	Cureus
34797392	A flare of Still's disease following COVID-19 vaccination in a 34-year-old patient.	Rheumatol Int
34795537	The Third Wave of the COVID-19 Arrived in Afghanistan: A Severe Case with Skin Manifestation.	Int Med Case Rep J
34790630	Skin Rash and Interstitial Pneumonia Can Be a Fatal Combination: A Rare Case of Anti-Melanoma Differentiation-Associated Gene 5 (MDA5)-Associated Interstitial Lung Disease.	Eur J Case Rep Intern Med
34788266	Zoster Cranial Polyneuropathy in a COVID-19 Patient.	Am J Case Rep
34787262	Systemic inflammatory syndrome in children during COVID-19 pandemic in Ceara state, northeastern Brazil: an observational study.	Rev Soc Bras Med Trop
34778150	Hematuria as an Early Sign of Multisystem Inflammatory Syndrome in Children: A Case Report of a Boy With Multiple Comorbidities and Review of Literature.	Front Pediatr
34742927	A localised vasculitic-like skin rash following the second dose of COVID-19 vaccine.	Int J Infect Dis
34722840	Systemic drug-related intertriginous and flexural exanthema induced by the Pfizer-BioNTech COVID-19 vaccine: A report of 2 cases.	JAAD Case Rep
34722412	Case Report: Kawasaki Shock Syndrome With Polycyclic Eruption: A Peculiar Brain Imaging.	Front Pediatr
34711132	Pneumonia, gastrointestinal symptoms, comorbidities, and coinfections as factors related to a lengthier hospital stay in children with COVID-19-analysis of a paediatric part of Polish register SARSTer.	Infect Dis (Lond)
34705394	Measles: a millennial itch in the COVID-19 era.	Rev Med Inst Mex Seguro Soc
34704088	Multisystem inflammatory syndrome in adults: A case in a previously healthy adult.	J Am Coll Emerg Physicians Open
34703816	Acute urticarial rash after COVID-19 vaccination containing Polysorbate 80.	Clin Exp Vaccine Res
34702284	Acute HIV infection syndrome mimicking COVID-19 vaccination side effects: a case report.	AIDS Res Ther
34699709	A Case of Multisystem Inflammatory Syndrome in Children Presenting as Acute Appendicitis and Pancreatitis.	Pril (Makedon Akad Nauk Umet Odd Med Nauki)
34698279	Multisystem Inflammatory Syndrome Associated with SARS-CoV-2 Infection in an Adult: A Case Report from the Maldives.	Trop Med Infect Dis
34696346	Identification, Mechanism, and Treatment of Skin Lesions in COVID-19: A Review.	Viruses
34696186	Henoch-Schonlein Purpura Following the First Dose of COVID-19 Viral Vector Vaccine: A Case Report.	Vaccines (Basel)
34670262	Cutaneous coronavirus disease 2019 in children: a clinical primer for diagnosis and treatment.	Curr Opin Pediatr
34665296	Outcomes of multisystem inflammatory syndrome in children temporally related to COVID-19: a longitudinal study.	Rheumatol Int
34661942	Generalized erythema multiforme-like skin rash following the first dose of COVID-19 vaccine (Pfizer-BioNTech).	J Eur Acad Dermatol Venereol
34661927	Cutaneous findings following COVID-19 vaccination: review of world literature and own experience.	J Eur Acad Dermatol Venereol
34661633	Multisystem Inflammatory Syndrome in Children in the Critical Care Setting.	Crit Care Nurse
34660078	New-Onset Insulin Allergy After COVID-19 Infection in an Insulin-Dependent Type-2 Diabetic Patient: A Rare Complication.	Cureus
34656181	Anaphylactic and nonanaphylactic reactions to SARS-CoV-2 vaccines: a systematic review and meta-analysis.	Allergy Asthma Clin Immunol
34653529	Medical masks' and respirators' pattern of use, adverse effects and errors among Portuguese health care professionals during the COVID-19 pandemic: A cross-sectional study.	Am J Infect Control
34646566	Five days of fever and myocardial inflammation.	SAGE Open Med Case Rep
34642609	Multisystem Inflammatory Syndrome with Features of Atypical Kawasaki Disease during the COVID-19 Pandemic.	Case Rep Pediatr
34636306	Famotidine Possible Cutaneous Rash in Covid-19 Patients: An Adverse Effect Case Series.	Curr Drug Saf
34622531	Cutaneous adverse reactions after COVID-19 vaccines in a cohort of 2740 Italian subjects: An observational study.	Dermatol Ther
34620638	Haematuria, a widespread petechial rash, and headaches following the Oxford AstraZeneca ChAdOx1 nCoV-19 Vaccination.	BMJ Case Rep
34611200	Differentiating coronavirus disease 2019 (COVID-19) from influenza and dengue.	Sci Rep
34611071	Atypical Exanthem as Cutaneous Manifestation Related to COVID-19 at a Primary Healthcare Facility.	Acta Med Indones
34608003	Peculiar Histopathologic Feature of an Erythematous/Morbilliform Eruption in a COVID-19-Positive Patient.	Am J Dermatopathol
34605352	The clinical course and short-term health outcomes of multisystem inflammatory syndrome in children in the single pediatric rheumatology center.	Postgrad Med
34603573	The impact of the COVID-19 pandemic on measles surveillance in the World Health Organisation African Region, 2020.	Pan Afr Med J
34602936	The pathogenesis of COVID-19-induced IgA nephropathy and IgA vasculitis: A systematic review.	J Taibah Univ Med Sci
34595767	BASCULE syndrome in a child with prior asymptomatic COVID-19 infection.	Pediatr Dermatol
34592766	COVID-19 and Adult-onset Still's Disease as part of Hyperferritinemic Syndromes.	Mod Rheumatol Case Rep
34592006	Favipiravir-induced cutaneous adverse reactions in patients infected with COVID-19.	Clin Exp Dermatol
34568135	Seroprevalence trends of Scrub typhus among the febrile patients of Northern India: A prospective cross-sectional study.	J Family Med Prim Care
34562965	Skin Adverse Reactions to Novel Messenger RNA Coronavirus Vaccination: A Case Series.	Diseases
34556240	Clinical Patterns and Morphology of COVID-19 Dermatology.	Dermatol Clin
34544216	Extrapulmonary manifestations and complications of severe acute respiratory syndrome coronavirus 2 infection: a systematic review.	Singapore Med J
34530537	Acute Morbidity and Mortality Analysis of COVID-19 in Children Receiving Cancer Treatment.	J Coll Physicians Surg Pak
34530491	Cutaneous manifestations in children with SARS-CoV-2 infection and/or COVID-19: what do we know after 10 months under this pandemic?	Int J Dermatol
34527471	A Case of Multisystem Inflammatory Syndrome in a Pediatric Patient With Acute Appendicitis.	Cureus
34526148	International study of 24-h movement behaviors of early years (SUNRISE): a pilot study from Bangladesh.	Pilot Feasibility Stud
34525782	[Cutaneous manifestations in patients with COVID-19 with significant attention to urticaria].	Rev Alerg Mex
34523885	Kawasaki Disease and Multisystem Inflammatory Syndrome in Children: An Overview and Comparison.	Am Fam Physician
34523756	Urticarial vasculitis: A potential signpost for multisystem inflammatory syndrome in children.	J Cutan Pathol
34518812	A Rare Case of Henoch-Schonlein Purpura Following a COVID-19 Vaccine-Case Report.	SN Compr Clin Med
34518788	A case of availability bias for COVID-19 causing scrub typhus diagnostic errors.	J Gen Fam Med
34515364	Recurrent reactive infectious mucocutaneous eruption (RIME) in two adolescents triggered by several distinct pathogens including SARS-CoV-2 and influenza A.	Pediatr Dermatol
34513435	Petechiae and Desquamation of Fingers Following Immunization With BTN162b2 Messenger RNA (mRNA) COVID-19 Vaccine.	Cureus
34513344	Cutaneous Manifestations of COVID-19: An Experience From Oman.	Cureus
34511379	Demographic, clinical, and laboratory characteristics of patients with COVID-19 during the second and third waves of the pandemic in Egypt.	J Infect Public Health
34510156	An 11-Year-Old Saudi Arabian Girl Who Presented with Multisystem Inflammatory Syndrome in Children (MIS-C) Associated with SARS-CoV-2 Infection with Coronary Artery Aneurysm and Cardiac Involvement: A Case Report.	Am J Case Rep
34508542	Morbilliform rashes in a patient with COVID-19 infection: A case report.	JNMA J Nepal Med Assoc
34508357	Pseudotumor Cerebri Syndrome as a Neurologic Involvement of Multisystem Inflammatory Syndrome in Children: A Case Report.	J Trop Pediatr
34505750	Telemedicine in monitoring pediatric LT patients before and during COVID-19 pandemic.	Pediatr Transplant
34497702	Urticaria multiforme in a child with SARS-CoV-2 infection.	Dermatol Reports
34490287	Case Report: Hyperinflammatory Status in an Immunocompromised Child With a Highly Sustained Viral Load of SARS-CoV-2.	Front Med (Lausanne)
34488968	A 24-Year-Old Woman Presenting With Altered Mental Status and Multiorgan Failure.	Chest
34479898	Cutaneous manifestations associated with SARS-CoV-2: an emerging topic in a pandemic era.	BMJ Case Rep
34470202	COVID-19 Presenting as Enanthem and Itchy Exanthem.	J Assoc Physicians India
