pmid	title_e	journal
34998242	Lack of evidence of significant homology of SARS-CoV-2 spike sequences to myocarditis-associated antigens.	EBioMedicine
34997985	Inverse lichen planus post Oxford-AstraZeneca COVID-19 vaccine.	J Cosmet Dermatol
34997810	Global sharing of COVID-19 vaccines: A duty of justice, not charity.	Dev World Bioeth
34997606	Iron dysregulation in COVID-19 and reciprocal evolution of SARS-CoV-2: Natura nihil frustra facit.	J Cell Biochem
34997275	Integration of innovative educational technologies in anatomy teaching: new normal in anatomy education.	Surg Radiol Anat
34996775	Covid-19: Vaccination during pregnancy is safe, finds large US study.	BMJ
34996761	How covid-19 vaccines exposed India's adverse events reporting system.	BMJ
34996757	Covid-19: Fourth vaccine doses-who needs them and why?	BMJ
34996048	Immunogenicity of Oxford-AstraZeneca COVID-19 Vaccine in Vietnamese Health-Care Workers.	Am J Trop Med Hyg
34995958	Mitigating Covid-19 in the face of emerging virus variants, breakthrough infections and vaccine hesitancy.	J Autoimmun
34995838	Paper-based immunoassay based on 96-well wax-printed paper plate combined with magnetic beads and colorimetric smartphone-assisted measure for reliable detection of SARS-CoV-2 in saliva.	Biosens Bioelectron
34995651	REGEN-Cov antibody combination to prevent COVID-19 infection in kidney transplant recipient without detectable antibody response to optimal vaccine scheme.	Kidney Int
34995650	Collapsing Glomerulopathy following SARS-CoV-2 adenovirus-vector based vaccine: report of two cases.	Kidney Int
34995649	SARS-CoV-2 vaccination-associated collapsing glomerulopathy in a kidney transplant recipient.	Kidney Int
34995482	mRNA-based COVID-19 vaccine boosters induce neutralizing immunity against SARS-CoV-2 Omicron variant.	Cell
34995021	Antibody-dependent enhancement of virus infection and disease: implications in COVID-19.	J Basic Clin Physiol Pharmacol
34994913	COVID-19 Vaccine Uptake Among People Living with HIV.	AIDS Behav
34994801	COVID-19 vaccination uptake amongst ethnic minority communities in England: a linked study exploring the drivers of differential vaccination rates.	J Public Health (Oxf)
34994793	SARS-CoV-2 Reinfection Rate and Estimated Effectiveness of the Inactivated Whole Virion Vaccine BBV152 Against Reinfection Among Health Care Workers in New Delhi, India.	JAMA Netw Open
